id,alder,gender,GSE_mean,NPI_mean,obj_mean,subj_mean,diff_mean,tal_raw,tal_skala,tal_indeks,tal_perc,tal_selv_perc,tal_selv_indeks,tal_diff,regn_raw,regn_skala,regn_indeks,regn_perc,regn_selv_perc,regn_selv_indeks,regn_diff,kod_raw,kod_skala,kod_indeks,kod_perc,kod_selv_perc,kod_selv_indeks,symbol_diff,symbol_raw,symbol_skala,symbol_indeks,symbol_perc,symbol_selv_perc,symbol_selv_indeks,symbol_diff
Rotte,23,mand,3.30,0.500,113.75,110,-3.50,31,12,110,75%,70%,108,-2,18,13,115,84%,80%,113,-2,77,12,110,75%,70%,108,-2,45,14,120,91%,80%,113,-7
Mus,20,kvinde,2.50,0.125,101.25,99,-2.20,21,7,85,16%,40%,96,11,11,8,90,25%,30%,92,2,93,15,125,95%,70%,108,-17,37,11,105,63%,50%,100,-5
Trane,24,kvinde,2.20,0.000,101.25,94,-7.08,28,11,105,63%,40%,96,-9,16,12,110,75%,30%,92,-18,72,11,105,63%,40%,96,-9,25,7,85,16%,30%,92,7
Edderkop,22,mand,2.70,0.188,101.25,100,-1.25,24,9,95,37%,50%,100,5,14,10,100,50%,50%,100,0,60,9,95,37%,50%,100,5,41,13,115,84%,50%,100,-15
Isbjørn,22,kvinde,2.40,0.188,96.25,98,1.78,25,9,95,37%,40%,96,1,12,9,95,37%,30%,92,-3,75,11,105,63%,60%,104,-1,29,8,90,25%,50%,100,10
Igle,21,kvinde,2.70,0.063,92.5,101,8.45,25,9,95,37%,60%,104,9,10,7,85,16%,20%,87,2,68,10,100,50%,50%,100,0,28,8,90,25%,80%,113,23
Hammerhaj,21,kvinde,3.00,0.250,100,95,-5.06,22,8,90,25%,50%,100,10,13,9,95,37%,20%,87,-8,68,10,100,50%,40%,96,-4,41,13,115,84%,40%,96,-19
Bogfinke,21,kvinde,3.00,0.188,92.5,97,4.58,18,6,80,9%,50%,100,20,14,10,100,50%,40%,96,-4,58,8,90,25%,30%,92,2,34,10,100,50%,50%,100,0
Sværdfisk,23,mand,2.80,0.250,115,105,-9.88,23,8,90,25%,30%,92,2,19,14,120,91%,70%,108,-12,87,14,120,91%,80%,113,-7,48,16,130,98%,70%,108,-22
Grindehval,21,kvinde,2.70,0.188,91.25,91,-0.48,18,6,80,9%,40%,96,16,13,9,95,37%,20%,87,-8,68,10,100,50%,30%,92,-8,29,8,90,25%,20%,87,-3
