id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,timestamp,sound_target,figure_target,position_response,position_target,occupation,figure_score,figure_response,sound_tested,sound_score,sound_response,color_score,simulate,color_target,position_score,position_tested,color_tested,color_response,figure_tested
alligator,female,27,training_transfer,practice,p1,1,1,1,2,white,circle,,1554889028504,,,0,0,I arbejde,,,0,,,,no,,1,1,0,,0
alligator,female,27,training_transfer,practice,p1,1,1,2,2,white,circle,,1554889031104,,,0,1,I arbejde,,,0,,,,no,,0,1,0,,0
alligator,female,27,training_transfer,practice,p1,1,1,3,2,white,circle,,1554889033699,,,0,1,I arbejde,,,0,,,,no,,0,1,0,,0
alligator,female,27,training_transfer,practice,p1,1,1,4,3,white,circle,,1554889036271,,,0,0,I arbejde,,,0,,,,no,,1,1,0,,0
alligator,female,27,training_transfer,practice,p1,1,1,5,3,white,circle,,1554889038851,,,0,1,I arbejde,,,0,,,,no,,0,1,0,,0
alligator,female,27,training_transfer,practice,p1,1,1,6,8,white,circle,,1554889041423,,,0,0,I arbejde,,,0,,,,no,,1,1,0,,0
alligator,female,27,training_transfer,practice,p1,1,1,7,1,white,circle,,1554889044006,,,0,0,I arbejde,,,0,,,,no,,1,1,0,,0
alligator,female,27,training_transfer,practice,p1,1,1,8,2,white,circle,,1554889046572,,,0,0,I arbejde,,,0,,,,no,,1,1,0,,0
alligator,female,27,training_transfer,practice,p1,1,1,9,4,white,circle,,1554889049156,,,0,0,I arbejde,,,0,,,,no,,1,1,0,,0
alligator,female,27,training_transfer,practice,p1,1,1,10,2,white,circle,,1554889051739,,,0,0,I arbejde,,,0,,,,no,,1,1,0,,0
alligator,female,27,training_transfer,practice,p1,1,1,11,2,white,circle,,1554889054325,,,0,1,I arbejde,,,0,,,,no,,0,1,0,,0
alligator,female,27,training_transfer,practice,p1,1,1,12,0,white,circle,,1554889056906,,,0,0,I arbejde,,,0,,,,no,,1,1,0,,0
alligator,female,27,training_transfer,practice,p1,1,1,13,0,white,circle,,1554889059495,,,0,1,I arbejde,,,0,,,,no,,0,1,0,,0
alligator,female,27,training_transfer,practice,p1,1,1,14,4,white,circle,,1554889062075,,,0,0,I arbejde,,,0,,,,no,,1,1,0,,0
alligator,female,27,training_transfer,practice,p1,1,1,15,3,white,circle,,1554889064641,,,0,0,I arbejde,,,0,,,,no,,1,1,0,,0
alligator,female,27,training_transfer,practice,p1,1,1,16,6,white,circle,,1554889067242,,,0,0,I arbejde,,,0,,,,no,,1,1,0,,0
alligator,female,27,training_transfer,practice,p1,1,1,17,1,white,circle,,1554889069846,,,1,0,I arbejde,,,0,,,,no,,0,1,0,,0
alligator,female,27,training_transfer,practice,p1,1,1,18,4,white,circle,,1554889072426,,,0,0,I arbejde,,,0,,,,no,,1,1,0,,0
alligator,female,27,training_transfer,practice,p1,1,1,19,7,white,circle,,1554889075009,,,0,0,I arbejde,,,0,,,,no,,1,1,0,,0
alligator,female,27,training_transfer,practice,p1,1,1,20,7,white,circle,,1554889077578,,,0,1,I arbejde,,,0,,,,no,,0,1,0,,0
alligator,female,27,training_transfer,practice,p1,1,1,21,3,white,circle,,1554889080170,,,1,0,I arbejde,,,0,,,,no,,0,1,0,,0
alligator,female,27,training_transfer,practice,p1,1,1,22,1,white,circle,,1554889082754,,,1,0,I arbejde,,,0,,,,no,,0,1,0,,0
alligator,female,27,training_transfer,practice,p1,1,1,23,1,white,circle,,1554889085363,,,1,1,I arbejde,,,0,,,,no,,1,1,0,,0
alligator,female,27,training_transfer,practice,p1,1,1,24,5,white,circle,,1554889087951,,,0,0,I arbejde,,,0,,,,no,,1,1,0,,0
alligator,female,27,training_transfer,practice,p1,1,1,25,0,white,circle,,1554889090579,,,1,0,I arbejde,,,0,,,,no,,0,1,0,,0
alligator,female,27,training_transfer,practice,p1,1,1,26,6,white,circle,,1554889093162,,,0,0,I arbejde,,,0,,,,no,,1,1,0,,0
alligator,female,27,training_transfer,practice,p1,1,1,27,0,white,circle,,1554889095728,,,0,0,I arbejde,,,0,,,,no,,1,1,0,,0
alligator,female,27,training_transfer,practice,p1,1,1,28,0,white,circle,,1554889098338,,,1,1,I arbejde,,,0,,,,no,,1,1,0,,0
alligator,female,27,training_transfer,practice,p1,1,1,29,7,white,circle,,1554889100941,,,0,0,I arbejde,,,0,,,,no,,1,1,0,,0
alligator,female,27,training_transfer,practice,p1,1,1,30,5,white,circle,,1554889103490,,,1,0,I arbejde,,,0,,,,no,,0,1,0,,0
alligator,female,27,training_transfer,practice,p1,1,1,31,2,white,circle,,1554889106065,,,0,0,I arbejde,,,0,,,,no,,1,1,0,,0
alligator,female,27,training_transfer,practice,f2,1,2,1,4,white,star,,1554889217193,,0,,,I arbejde,1,0,0,,,,no,,,0,0,,1
alligator,female,27,training_transfer,practice,f2,1,2,2,4,white,triangle,,1554889219775,,0,,,I arbejde,1,0,0,,,,no,,,0,0,,1
alligator,female,27,training_transfer,practice,f2,1,2,3,4,white,square,,1554889222359,,0,,,I arbejde,1,0,0,,,,no,,,0,0,,1
alligator,female,27,training_transfer,practice,f2,1,2,4,4,white,square,,1554889224943,,0,,,I arbejde,1,0,0,,,,no,,,0,0,,1
alligator,female,27,training_transfer,practice,f2,1,2,5,4,white,square,,1554889227546,,1,,,I arbejde,1,1,0,,,,no,,,0,0,,1
alligator,female,27,training_transfer,practice,f2,1,2,6,4,white,triangle,,1554889230127,,0,,,I arbejde,1,0,0,,,,no,,,0,0,,1
alligator,female,27,training_transfer,practice,f2,1,2,7,4,white,triangle,,1554889232710,,0,,,I arbejde,1,0,0,,,,no,,,0,0,,1
alligator,female,27,training_transfer,practice,f2,1,2,8,4,white,triangle,,1554889235293,,1,,,I arbejde,1,1,0,,,,no,,,0,0,,1
alligator,female,27,training_transfer,practice,f2,1,2,9,4,white,square,,1554889237888,,0,,,I arbejde,0,1,0,,,,no,,,0,0,,1
alligator,female,27,training_transfer,practice,f2,1,2,10,4,white,triangle,,1554889240480,,1,,,I arbejde,1,1,0,,,,no,,,0,0,,1
alligator,female,27,training_transfer,practice,f2,1,2,11,4,white,triangle,,1554889243061,,0,,,I arbejde,1,0,0,,,,no,,,0,0,,1
alligator,female,27,training_transfer,practice,f2,1,2,12,4,white,star,,1554889245647,,0,,,I arbejde,1,0,0,,,,no,,,0,0,,1
alligator,female,27,training_transfer,practice,f2,1,2,13,4,white,circle,,1554889248227,,0,,,I arbejde,1,0,0,,,,no,,,0,0,,1
alligator,female,27,training_transfer,practice,f2,1,2,14,4,white,star,,1554889250805,,1,,,I arbejde,1,1,0,,,,no,,,0,0,,1
alligator,female,27,training_transfer,practice,f2,1,2,15,4,white,square,,1554889253380,,0,,,I arbejde,1,0,0,,,,no,,,0,0,,1
alligator,female,27,training_transfer,practice,f2,1,2,16,4,white,star,,1554889255960,,1,,,I arbejde,1,1,0,,,,no,,,0,0,,1
alligator,female,27,training_transfer,practice,f2,1,2,17,4,white,star,,1554889258532,,0,,,I arbejde,1,0,0,,,,no,,,0,0,,1
alligator,female,27,training_transfer,practice,f2,1,2,18,4,white,circle,,1554889261115,,0,,,I arbejde,1,0,0,,,,no,,,0,0,,1
alligator,female,27,training_transfer,practice,f2,1,2,19,4,white,circle,,1554889263713,,0,,,I arbejde,0,1,0,,,,no,,,0,0,,1
alligator,female,27,training_transfer,practice,f2,1,2,20,4,white,circle,,1554889266310,,1,,,I arbejde,1,1,0,,,,no,,,0,0,,1
alligator,female,27,training_transfer,practice,f2,1,2,21,4,white,circle,,1554889268900,,1,,,I arbejde,1,1,0,,,,no,,,0,0,,1
alligator,female,27,training_transfer,practice,f2,1,2,22,4,white,triangle,,1554889271480,,0,,,I arbejde,1,0,0,,,,no,,,0,0,,1
alligator,female,27,training_transfer,practice,f2,1,2,23,4,white,square,,1554889274049,,0,,,I arbejde,1,0,0,,,,no,,,0,0,,1
alligator,female,27,training_transfer,practice,f2,1,2,24,4,white,circle,,1554889276633,,0,,,I arbejde,1,0,0,,,,no,,,0,0,,1
alligator,female,27,training_transfer,practice,f2,1,2,25,4,white,circle,,1554889279216,,0,,,I arbejde,1,0,0,,,,no,,,0,0,,1
alligator,female,27,training_transfer,practice,f2,1,2,26,4,white,square,,1554889281799,,0,,,I arbejde,1,0,0,,,,no,,,0,0,,1
alligator,female,27,training_transfer,practice,f2,1,2,27,4,white,triangle,,1554889284383,,0,,,I arbejde,1,0,0,,,,no,,,0,0,,1
alligator,female,27,training_transfer,practice,f2,1,2,28,4,white,triangle,,1554889286983,,0,,,I arbejde,0,1,0,,,,no,,,0,0,,1
alligator,female,27,training_transfer,practice,f2,1,2,29,4,white,circle,,1554889289567,,0,,,I arbejde,1,0,0,,,,no,,,0,0,,1
alligator,female,27,training_transfer,practice,f2,1,2,30,4,white,circle,,1554889292150,,0,,,I arbejde,1,0,0,,,,no,,,0,0,,1
alligator,female,27,training_transfer,practice,f2,1,2,31,4,white,circle,,1554889294751,,1,,,I arbejde,1,1,0,,,,no,,,0,0,,1
