id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,occupation,figure_target,figure_tested,sound_tested,position_target,color_target,position_tested,simulate,sound_response,timestamp,color_response,sound_target,position_score,sound_score,color_score,color_tested,position_response,figure_score,figure_response
and,female,18,training_transfer,practice,p1,1,1,1,2,white,circle,,Studerende,,0,0,0,,1,no,,1555316492208,,,1,,,0,0,,
and,female,18,training_transfer,practice,p1,1,1,2,4,white,circle,,Studerende,,0,0,0,,1,no,,1555316494788,,,1,,,0,0,,
and,female,18,training_transfer,practice,p1,1,1,3,4,white,circle,,Studerende,,0,0,1,,1,no,,1555316497372,,,1,,,0,1,,
and,female,18,training_transfer,practice,p1,1,1,4,0,white,circle,,Studerende,,0,0,0,,1,no,,1555316499940,,,1,,,0,0,,
and,female,18,training_transfer,practice,p1,1,1,5,8,white,circle,,Studerende,,0,0,0,,1,no,,1555316502524,,,1,,,0,0,,
and,female,18,training_transfer,practice,p1,1,1,6,8,white,circle,,Studerende,,0,0,1,,1,no,,1555316505125,,,1,,,0,1,,
and,female,18,training_transfer,practice,p1,1,1,7,2,white,circle,,Studerende,,0,0,0,,1,no,,1555316507708,,,1,,,0,0,,
and,female,18,training_transfer,practice,p1,1,1,8,5,white,circle,,Studerende,,0,0,0,,1,no,,1555316510294,,,1,,,0,0,,
and,female,18,training_transfer,practice,p1,1,1,9,5,white,circle,,Studerende,,0,0,1,,1,no,,1555316512889,,,1,,,0,1,,
and,female,18,training_transfer,practice,p1,1,1,10,4,white,circle,,Studerende,,0,0,0,,1,no,,1555316515461,,,1,,,0,0,,
and,female,18,training_transfer,practice,p1,1,1,11,4,white,circle,,Studerende,,0,0,1,,1,no,,1555316518059,,,1,,,0,1,,
and,female,18,training_transfer,practice,p1,1,1,12,4,white,circle,,Studerende,,0,0,1,,1,no,,1555316520641,,,0,,,0,0,,
and,female,18,training_transfer,practice,p1,1,1,13,5,white,circle,,Studerende,,0,0,0,,1,no,,1555316523211,,,1,,,0,0,,
and,female,18,training_transfer,practice,p1,1,1,14,5,white,circle,,Studerende,,0,0,1,,1,no,,1555316525811,,,1,,,0,1,,
and,female,18,training_transfer,practice,p1,1,1,15,4,white,circle,,Studerende,,0,0,0,,1,no,,1555316528378,,,1,,,0,0,,
and,female,18,training_transfer,practice,p1,1,1,16,6,white,circle,,Studerende,,0,0,0,,1,no,,1555316530961,,,1,,,0,0,,
and,female,18,training_transfer,practice,p1,1,1,17,5,white,circle,,Studerende,,0,0,0,,1,no,,1555316533544,,,1,,,0,0,,
and,female,18,training_transfer,practice,p1,1,1,18,8,white,circle,,Studerende,,0,0,0,,1,no,,1555316536131,,,1,,,0,0,,
and,female,18,training_transfer,practice,p1,1,1,19,7,white,circle,,Studerende,,0,0,0,,1,no,,1555316538714,,,1,,,0,0,,
and,female,18,training_transfer,practice,p1,1,1,20,5,white,circle,,Studerende,,0,0,0,,1,no,,1555316541297,,,1,,,0,0,,
and,female,18,training_transfer,practice,p1,1,1,21,5,white,circle,,Studerende,,0,0,1,,1,no,,1555316543898,,,1,,,0,1,,
and,female,18,training_transfer,practice,p1,1,1,22,5,white,circle,,Studerende,,0,0,1,,1,no,,1555316546470,,,1,,,0,1,,
and,female,18,training_transfer,practice,p1,1,1,23,8,white,circle,,Studerende,,0,0,0,,1,no,,1555316549047,,,1,,,0,0,,
and,female,18,training_transfer,practice,p1,1,1,24,7,white,circle,,Studerende,,0,0,0,,1,no,,1555316551631,,,1,,,0,0,,
and,female,18,training_transfer,practice,p1,1,1,25,6,white,circle,,Studerende,,0,0,0,,1,no,,1555316554199,,,1,,,0,0,,
and,female,18,training_transfer,practice,p1,1,1,26,1,white,circle,,Studerende,,0,0,0,,1,no,,1555316556780,,,1,,,0,0,,
and,female,18,training_transfer,practice,p1,1,1,27,2,white,circle,,Studerende,,0,0,0,,1,no,,1555316559349,,,1,,,0,0,,
and,female,18,training_transfer,practice,p1,1,1,28,4,white,circle,,Studerende,,0,0,0,,1,no,,1555316561931,,,1,,,0,0,,
and,female,18,training_transfer,practice,p1,1,1,29,2,white,circle,,Studerende,,0,0,0,,1,no,,1555316564515,,,1,,,0,0,,
