id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,simulate,sound_tested,position_score,figure_score,figure_target,position_target,color_tested,timestamp,figure_response,sound_score,sound_response,color_target,sound_target,position_response,occupation,figure_tested,color_response,position_tested,color_score
bogfinke,male,24,training_train,practice,p1,1,1,1,2,white,circle,,no,0,1,,,0,0,1554894092401,,,,,,0,Ledig,0,,1,
bogfinke,male,24,training_train,practice,p1,1,1,2,2,white,circle,,no,0,1,,,1,0,1554894095037,,,,,,1,Ledig,0,,1,
bogfinke,male,24,training_train,practice,p1,1,1,3,6,white,circle,,no,0,0,,,0,0,1554894097635,,,,,,1,Ledig,0,,1,
bogfinke,male,24,training_train,practice,p1,1,1,4,6,white,circle,,no,0,0,,,1,0,1554894100236,,,,,,0,Ledig,0,,1,
bogfinke,male,24,training_train,practice,p1,1,1,5,3,white,circle,,no,0,1,,,0,0,1554894102819,,,,,,0,Ledig,0,,1,
bogfinke,male,24,training_train,practice,p1,1,1,6,3,white,circle,,no,0,0,,,1,0,1554894105405,,,,,,0,Ledig,0,,1,
bogfinke,male,24,training_train,practice,p1,1,1,7,3,white,circle,,no,0,0,,,1,0,1554894107994,,,,,,0,Ledig,0,,1,
bogfinke,male,24,training_train,practice,p1,1,1,8,1,white,circle,,no,0,0,,,0,0,1554894110586,,,,,,1,Ledig,0,,1,
bogfinke,male,24,training_train,practice,p1,1,1,9,7,white,circle,,no,0,0,,,0,0,1554894113190,,,,,,1,Ledig,0,,1,
bogfinke,male,24,training_train,practice,p1,1,1,10,0,white,circle,,no,0,1,,,0,0,1554894115791,,,,,,0,Ledig,0,,1,
bogfinke,male,24,training_train,practice,p1,1,1,11,4,white,circle,,no,0,1,,,0,0,1554894118371,,,,,,0,Ledig,0,,1,
bogfinke,male,24,training_train,practice,p1,1,1,12,3,white,circle,,no,0,1,,,0,0,1554894120954,,,,,,0,Ledig,0,,1,
bogfinke,male,24,training_train,practice,p1,1,1,13,5,white,circle,,no,0,1,,,0,0,1554894123558,,,,,,0,Ledig,0,,1,
bogfinke,male,24,training_train,practice,p1,1,1,14,6,white,circle,,no,0,1,,,0,0,1554894126141,,,,,,0,Ledig,0,,1,
bogfinke,male,24,training_train,practice,p1,1,1,15,7,white,circle,,no,0,1,,,0,0,1554894128722,,,,,,0,Ledig,0,,1,
bogfinke,male,24,training_train,practice,p1,1,1,16,3,white,circle,,no,0,1,,,0,0,1554894131305,,,,,,0,Ledig,0,,1,
bogfinke,male,24,training_train,practice,p1,1,1,17,2,white,circle,,no,0,1,,,0,0,1554894133889,,,,,,0,Ledig,0,,1,
bogfinke,male,24,training_train,practice,p1,1,1,18,4,white,circle,,no,0,1,,,0,0,1554894136455,,,,,,0,Ledig,0,,1,
bogfinke,male,24,training_train,practice,p1,1,1,19,6,white,circle,,no,0,1,,,0,0,1554894139038,,,,,,0,Ledig,0,,1,
bogfinke,male,24,training_train,practice,p1,1,1,20,6,white,circle,,no,0,0,,,1,0,1554894141607,,,,,,0,Ledig,0,,1,
bogfinke,male,24,training_train,practice,p1,1,1,21,6,white,circle,,no,0,0,,,1,0,1554894144190,,,,,,0,Ledig,0,,1,
bogfinke,male,24,training_train,practice,p1,1,1,22,7,white,circle,,no,0,1,,,0,0,1554894146773,,,,,,0,Ledig,0,,1,
bogfinke,male,24,training_train,practice,p1,1,1,23,3,white,circle,,no,0,1,,,0,0,1554894149357,,,,,,0,Ledig,0,,1,
bogfinke,male,24,training_train,practice,p1,1,1,24,8,white,circle,,no,0,1,,,0,0,1554894151940,,,,,,0,Ledig,0,,1,
bogfinke,male,24,training_train,practice,p1,1,1,25,4,white,circle,,no,0,1,,,0,0,1554894154509,,,,,,0,Ledig,0,,1,
bogfinke,male,24,training_train,practice,p1,1,1,26,3,white,circle,,no,0,1,,,0,0,1554894157093,,,,,,0,Ledig,0,,1,
bogfinke,male,24,training_train,practice,p1,1,1,27,4,white,circle,,no,0,1,,,0,0,1554894159658,,,,,,0,Ledig,0,,1,
bogfinke,male,24,training_train,practice,p1,1,1,28,4,white,circle,,no,0,0,,,1,0,1554894162239,,,,,,0,Ledig,0,,1,
bogfinke,male,24,training_train,practice,p1,1,1,29,6,white,circle,,no,0,1,,,0,0,1554894164810,,,,,,0,Ledig,0,,1,
bogfinke,male,24,training_train,practice,p1,1,1,30,5,white,circle,,no,0,1,,,0,0,1554894167393,,,,,,0,Ledig,0,,1,
bogfinke,male,24,training_train,practice,p1,1,1,31,5,white,circle,,no,0,0,,,1,0,1554894169960,,,,,,0,Ledig,0,,1,
bogfinke,male,24,training_train,practice,f2,1,2,1,4,white,circle,,no,0,,1,0,,0,1554894182694,0,,,,,,Ledig,1,,0,
bogfinke,male,24,training_train,practice,f2,1,2,2,4,white,triangle,,no,0,,1,0,,0,1554894185277,0,,,,,,Ledig,1,,0,
bogfinke,male,24,training_train,practice,f2,1,2,3,4,white,circle,,no,0,,0,1,,0,1554894187878,0,,,,,,Ledig,1,,0,
bogfinke,male,24,training_train,practice,f2,1,2,4,4,white,square,,no,0,,1,0,,0,1554894190461,0,,,,,,Ledig,1,,0,
bogfinke,male,24,training_train,practice,f2,1,2,5,4,white,triangle,,no,0,,0,0,,0,1554894193056,1,,,,,,Ledig,1,,0,
bogfinke,male,24,training_train,practice,f2,1,2,6,4,white,circle,,no,0,,0,0,,0,1554894195663,1,,,,,,Ledig,1,,0,
bogfinke,male,24,training_train,practice,f2,1,2,7,4,white,square,,no,0,,1,0,,0,1554894198229,0,,,,,,Ledig,1,,0,
bogfinke,male,24,training_train,practice,f2,1,2,8,4,white,triangle,,no,0,,0,0,,0,1554894200827,1,,,,,,Ledig,1,,0,
bogfinke,male,24,training_train,practice,f2,1,2,9,4,white,square,,no,0,,0,1,,0,1554894203413,0,,,,,,Ledig,1,,0,
bogfinke,male,24,training_train,practice,f2,1,2,10,4,white,square,,no,0,,0,0,,0,1554894206017,1,,,,,,Ledig,1,,0,
bogfinke,male,24,training_train,practice,f2,1,2,11,4,white,triangle,,no,0,,0,0,,0,1554894208614,1,,,,,,Ledig,1,,0,
bogfinke,male,24,training_train,practice,f2,1,2,12,4,white,triangle,,no,0,,0,0,,0,1554894211212,1,,,,,,Ledig,1,,0,
bogfinke,male,24,training_train,practice,f2,1,2,13,4,white,triangle,,no,0,,1,1,,0,1554894213796,1,,,,,,Ledig,1,,0,
bogfinke,male,24,training_train,practice,f2,1,2,14,4,white,star,,no,0,,1,0,,0,1554894216364,0,,,,,,Ledig,1,,0,
bogfinke,male,24,training_train,practice,f2,1,2,15,4,white,triangle,,no,0,,1,1,,0,1554894218965,1,,,,,,Ledig,1,,0,
bogfinke,male,24,training_train,practice,f2,1,2,16,4,white,circle,,no,0,,0,0,,0,1554894221566,1,,,,,,Ledig,1,,0,
bogfinke,male,24,training_train,practice,f2,1,2,17,4,white,square,,no,0,,0,0,,0,1554894224164,1,,,,,,Ledig,1,,0,
bogfinke,male,24,training_train,practice,f2,1,2,18,4,white,star,,no,0,,0,0,,0,1554894226762,1,,,,,,Ledig,1,,0,
bogfinke,male,24,training_train,practice,f2,1,2,19,4,white,circle,,no,0,,0,0,,0,1554894229351,1,,,,,,Ledig,1,,0,
bogfinke,male,24,training_train,practice,f2,1,2,20,4,white,square,,no,0,,0,0,,0,1554894231952,1,,,,,,Ledig,1,,0,
bogfinke,male,24,training_train,practice,f2,1,2,21,4,white,square,,no,0,,1,0,,0,1554894234517,0,,,,,,Ledig,1,,0,
bogfinke,male,24,training_train,practice,f2,1,2,22,4,white,square,,no,0,,0,1,,0,1554894237101,0,,,,,,Ledig,1,,0,
bogfinke,male,24,training_train,practice,f2,1,2,23,4,white,circle,,no,0,,0,0,,0,1554894239701,1,,,,,,Ledig,1,,0,
bogfinke,male,24,training_train,practice,f2,1,2,24,4,white,star,,no,0,,1,0,,0,1554894242285,0,,,,,,Ledig,1,,0,
bogfinke,male,24,training_train,practice,f2,1,2,25,4,white,circle,,no,0,,1,1,,0,1554894244883,1,,,,,,Ledig,1,,0,
bogfinke,male,24,training_train,practice,f2,1,2,26,4,white,square,,no,0,,0,0,,0,1554894247472,1,,,,,,Ledig,1,,0,
bogfinke,male,24,training_train,practice,f2,1,2,27,4,white,circle,,no,0,,1,1,,0,1554894250070,1,,,,,,Ledig,1,,0,
