id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,figure_tested,color_response,figure_response,figure_score,position_target,sound_target,sound_tested,sound_score,position_tested,position_response,position_score,color_tested,color_target,figure_target,simulate,occupation,color_score,sound_response,timestamp
chihuahua,female,24,training_transfer,practice,p1,1,1,1,3,white,circle,,0,,,,0,,0,,1,0,1,0,,,no,Studerende,,,1554899325865
chihuahua,female,24,training_transfer,practice,p1,1,1,2,7,white,circle,,0,,,,0,,0,,1,0,1,0,,,no,Studerende,,,1554899328448
chihuahua,female,24,training_transfer,practice,p1,1,1,3,7,white,circle,,0,,,,1,,0,,1,1,1,0,,,no,Studerende,,,1554899331049
chihuahua,female,24,training_transfer,practice,p1,1,1,4,8,white,circle,,0,,,,0,,0,,1,0,1,0,,,no,Studerende,,,1554899333615
chihuahua,female,24,training_transfer,practice,p1,1,1,5,5,white,circle,,0,,,,0,,0,,1,0,1,0,,,no,Studerende,,,1554899336181
chihuahua,female,24,training_transfer,practice,p1,1,1,6,5,white,circle,,0,,,,1,,0,,1,1,1,0,,,no,Studerende,,,1554899338775
chihuahua,female,24,training_transfer,practice,p1,1,1,7,3,white,circle,,0,,,,0,,0,,1,0,1,0,,,no,Studerende,,,1554899341348
chihuahua,female,24,training_transfer,practice,p1,1,1,8,3,white,circle,,0,,,,1,,0,,1,1,1,0,,,no,Studerende,,,1554899343943
chihuahua,female,24,training_transfer,practice,p1,1,1,9,2,white,circle,,0,,,,0,,0,,1,0,1,0,,,no,Studerende,,,1554899346517
chihuahua,female,24,training_transfer,practice,p1,1,1,10,1,white,circle,,0,,,,0,,0,,1,0,1,0,,,no,Studerende,,,1554899349101
chihuahua,female,24,training_transfer,practice,p1,1,1,11,1,white,circle,,0,,,,1,,0,,1,1,1,0,,,no,Studerende,,,1554899351678
chihuahua,female,24,training_transfer,practice,p1,1,1,12,3,white,circle,,0,,,,0,,0,,1,0,1,0,,,no,Studerende,,,1554899354250
chihuahua,female,24,training_transfer,practice,p1,1,1,13,2,white,circle,,0,,,,0,,0,,1,0,1,0,,,no,Studerende,,,1554899356833
chihuahua,female,24,training_transfer,practice,p1,1,1,14,4,white,circle,,0,,,,0,,0,,1,0,1,0,,,no,Studerende,,,1554899359402
chihuahua,female,24,training_transfer,practice,p1,1,1,15,1,white,circle,,0,,,,0,,0,,1,0,1,0,,,no,Studerende,,,1554899361985
chihuahua,female,24,training_transfer,practice,p1,1,1,16,6,white,circle,,0,,,,0,,0,,1,0,1,0,,,no,Studerende,,,1554899364551
chihuahua,female,24,training_transfer,practice,p1,1,1,17,1,white,circle,,0,,,,0,,0,,1,0,1,0,,,no,Studerende,,,1554899367134
chihuahua,female,24,training_transfer,practice,p1,1,1,18,7,white,circle,,0,,,,0,,0,,1,0,1,0,,,no,Studerende,,,1554899369721
chihuahua,female,24,training_transfer,practice,p1,1,1,19,4,white,circle,,0,,,,0,,0,,1,0,1,0,,,no,Studerende,,,1554899372287
chihuahua,female,24,training_transfer,practice,p1,1,1,20,4,white,circle,,0,,,,1,,0,,1,1,1,0,,,no,Studerende,,,1554899374879
chihuahua,female,24,training_transfer,practice,p1,1,1,21,6,white,circle,,0,,,,0,,0,,1,0,1,0,,,no,Studerende,,,1554899377453
chihuahua,female,24,training_transfer,practice,p1,1,1,22,6,white,circle,,0,,,,1,,0,,1,1,1,0,,,no,Studerende,,,1554899380048
chihuahua,female,24,training_transfer,practice,p1,1,1,23,0,white,circle,,0,,,,0,,0,,1,0,1,0,,,no,Studerende,,,1554899382620
chihuahua,female,24,training_transfer,practice,p1,1,1,24,7,white,circle,,0,,,,0,,0,,1,0,1,0,,,no,Studerende,,,1554899385203
chihuahua,female,24,training_transfer,practice,p1,1,1,25,7,white,circle,,0,,,,1,,0,,1,1,1,0,,,no,Studerende,,,1554899387798
chihuahua,female,24,training_transfer,practice,p1,1,1,26,7,white,circle,,0,,,,1,,0,,1,0,0,0,,,no,Studerende,,,1554899390373
chihuahua,female,24,training_transfer,practice,p1,1,1,27,6,white,circle,,0,,,,0,,0,,1,0,1,0,,,no,Studerende,,,1554899392953
chihuahua,female,24,training_transfer,practice,p1,1,1,28,8,white,circle,,0,,,,0,,0,,1,0,1,0,,,no,Studerende,,,1554899395522
