id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,figure_tested,sound_response,timestamp,color_response,position_response,position_target,figure_score,sound_score,color_score,sound_target,simulate,figure_target,color_target,position_tested,sound_tested,position_score,occupation,figure_response,color_tested
delfin,male,26,training_train,practice,p1,1,1,1,2,white,circle,,0,,1555250450536,,0,0,,,,,no,,,1,0,1,I arbejde,,0
delfin,male,26,training_train,practice,p1,1,1,2,1,white,circle,,0,,1555250453137,,0,0,,,,,no,,,1,0,1,I arbejde,,0
delfin,male,26,training_train,practice,p1,1,1,3,5,white,circle,,0,,1555250455735,,0,0,,,,,no,,,1,0,1,I arbejde,,0
delfin,male,26,training_train,practice,p1,1,1,4,5,white,circle,,0,,1555250458318,,0,1,,,,,no,,,1,0,0,I arbejde,,0
delfin,male,26,training_train,practice,p1,1,1,5,4,white,circle,,0,,1555250460890,,0,0,,,,,no,,,1,0,1,I arbejde,,0
delfin,male,26,training_train,practice,p1,1,1,6,4,white,circle,,0,,1555250463473,,0,1,,,,,no,,,1,0,0,I arbejde,,0
delfin,male,26,training_train,practice,p1,1,1,7,4,white,circle,,0,,1555250466057,,0,1,,,,,no,,,1,0,0,I arbejde,,0
delfin,male,26,training_train,practice,p1,1,1,8,3,white,circle,,0,,1555250468646,,0,0,,,,,no,,,1,0,1,I arbejde,,0
delfin,male,26,training_train,practice,p1,1,1,9,8,white,circle,,0,,1555250471224,,0,0,,,,,no,,,1,0,1,I arbejde,,0
delfin,male,26,training_train,practice,p1,1,1,10,8,white,circle,,0,,1555250473824,,1,1,,,,,no,,,1,0,1,I arbejde,,0
delfin,male,26,training_train,practice,p1,1,1,11,8,white,circle,,0,,1555250476408,,0,1,,,,,no,,,1,0,0,I arbejde,,0
delfin,male,26,training_train,practice,p1,1,1,12,2,white,circle,,0,,1555250479010,,0,0,,,,,no,,,1,0,1,I arbejde,,0
delfin,male,26,training_train,practice,p1,1,1,13,8,white,circle,,0,,1555250481611,,1,0,,,,,no,,,1,0,0,I arbejde,,0
