id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,figure_response,sound_score,position_tested,figure_tested,simulate,position_response,sound_tested,sound_response,figure_score,position_target,color_response,occupation,color_target,position_score,color_tested,figure_target,sound_target,timestamp,color_score
Desmerdyr,male,24,training_transfer,practice,p1,1,1,1,7,white,circle,,,,1,0,no,0,0,,,0,,Studerende,,1,0,,,1554888195162,
Desmerdyr,male,24,training_transfer,practice,p1,1,1,2,5,white,circle,,,,1,0,no,0,0,,,0,,Studerende,,1,0,,,1554888197712,
Desmerdyr,male,24,training_transfer,practice,p1,1,1,3,7,white,circle,,,,1,0,no,1,0,,,0,,Studerende,,0,0,,,1554888200280,
Desmerdyr,male,24,training_transfer,practice,p1,1,1,4,0,white,circle,,,,1,0,no,0,0,,,0,,Studerende,,1,0,,,1554888202829,
Desmerdyr,male,24,training_transfer,practice,p1,1,1,5,4,white,circle,,,,1,0,no,0,0,,,0,,Studerende,,1,0,,,1554888205379,
Desmerdyr,male,24,training_transfer,practice,p1,1,1,6,6,white,circle,,,,1,0,no,0,0,,,0,,Studerende,,1,0,,,1554888207929,
Desmerdyr,male,24,training_transfer,practice,p1,1,1,7,6,white,circle,,,,1,0,no,1,0,,,1,,Studerende,,1,0,,,1554888210495,
Desmerdyr,male,24,training_transfer,practice,p1,1,1,8,0,white,circle,,,,1,0,no,0,0,,,0,,Studerende,,1,0,,,1554888213045,
Desmerdyr,male,24,training_transfer,practice,p1,1,1,9,6,white,circle,,,,1,0,no,0,0,,,0,,Studerende,,1,0,,,1554888215595,
Desmerdyr,male,24,training_transfer,practice,p1,1,1,10,6,white,circle,,,,1,0,no,1,0,,,1,,Studerende,,1,0,,,1554888218163,
Desmerdyr,male,24,training_transfer,practice,p1,1,1,11,2,white,circle,,,,1,0,no,0,0,,,0,,Studerende,,1,0,,,1554888220713,
Desmerdyr,male,24,training_transfer,practice,p1,1,1,12,0,white,circle,,,,1,0,no,0,0,,,0,,Studerende,,1,0,,,1554888223263,
