id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,occupation,figure_score,color_score,sound_target,figure_response,timestamp,color_target,position_score,position_target,color_response,color_tested,simulate,position_tested,sound_score,figure_target,position_response,sound_response,figure_tested,sound_tested
Due,male,22,training_train,practice,p1,1,1,1,1,white,circle,,Ledig,,,,,1555326711736,,1,0,,0,no,1,,,0,,0,0
Due,male,22,training_train,practice,p1,1,1,2,3,white,circle,,Ledig,,,,,1555326714307,,1,0,,0,no,1,,,0,,0,0
Due,male,22,training_train,practice,p1,1,1,3,7,white,circle,,Ledig,,,,,1555326716882,,1,0,,0,no,1,,,0,,0,0
Due,male,22,training_train,practice,p1,1,1,4,6,white,circle,,Ledig,,,,,1555326719456,,1,0,,0,no,1,,,0,,0,0
Due,male,22,training_train,practice,p1,1,1,5,6,white,circle,,Ledig,,,,,1555326722058,,1,1,,0,no,1,,,1,,0,0
Due,male,22,training_train,practice,p1,1,1,6,2,white,circle,,Ledig,,,,,1555326724636,,1,0,,0,no,1,,,0,,0,0
Due,male,22,training_train,practice,p1,1,1,7,2,white,circle,,Ledig,,,,,1555326727227,,1,1,,0,no,1,,,1,,0,0
Due,male,22,training_train,practice,p1,1,1,8,7,white,circle,,Ledig,,,,,1555326729801,,1,0,,0,no,1,,,0,,0,0
Due,male,22,training_train,practice,p1,1,1,9,4,white,circle,,Ledig,,,,,1555326732373,,1,0,,0,no,1,,,0,,0,0
Due,male,22,training_train,practice,p1,1,1,10,8,white,circle,,Ledig,,,,,1555326734948,,1,0,,0,no,1,,,0,,0,0
Due,male,22,training_train,practice,p1,1,1,11,7,white,circle,,Ledig,,,,,1555326737522,,1,0,,0,no,1,,,0,,0,0
Due,male,22,training_train,practice,p1,1,1,12,7,white,circle,,Ledig,,,,,1555326740111,,1,1,,0,no,1,,,1,,0,0
Due,male,22,training_train,practice,p1,1,1,13,7,white,circle,,Ledig,,,,,1555326742700,,1,1,,0,no,1,,,1,,0,0
Due,male,22,training_train,practice,p1,1,1,14,6,white,circle,,Ledig,,,,,1555326745278,,1,0,,0,no,1,,,0,,0,0
Due,male,22,training_train,practice,p1,1,1,15,1,white,circle,,Ledig,,,,,1555326747850,,1,0,,0,no,1,,,0,,0,0
Due,male,22,training_train,practice,p1,1,1,16,7,white,circle,,Ledig,,,,,1555326750439,,1,0,,0,no,1,,,0,,0,0
Due,male,22,training_train,practice,p1,1,1,17,7,white,circle,,Ledig,,,,,1555326753028,,1,1,,0,no,1,,,1,,0,0
Due,male,22,training_train,practice,p1,1,1,18,5,white,circle,,Ledig,,,,,1555326755602,,1,0,,0,no,1,,,0,,0,0
Due,male,22,training_train,practice,p1,1,1,19,4,white,circle,,Ledig,,,,,1555326758176,,1,0,,0,no,1,,,0,,0,0
Due,male,22,training_train,practice,p1,1,1,20,7,white,circle,,Ledig,,,,,1555326760752,,1,0,,0,no,1,,,0,,0,0
Due,male,22,training_train,practice,p1,1,1,21,1,white,circle,,Ledig,,,,,1555326763326,,1,0,,0,no,1,,,0,,0,0
Due,male,22,training_train,practice,p1,1,1,22,0,white,circle,,Ledig,,,,,1555326765898,,1,0,,0,no,1,,,0,,0,0
Due,male,22,training_train,practice,p1,1,1,23,5,white,circle,,Ledig,,,,,1555326768470,,1,0,,0,no,1,,,0,,0,0
Due,male,22,training_train,practice,p1,1,1,24,8,white,circle,,Ledig,,,,,1555326771047,,1,0,,0,no,1,,,0,,0,0
Due,male,22,training_train,practice,p1,1,1,25,8,white,circle,,Ledig,,,,,1555326773636,,1,1,,0,no,1,,,1,,0,0
Due,male,22,training_train,practice,p1,1,1,26,2,white,circle,,Ledig,,,,,1555326776208,,1,0,,0,no,1,,,0,,0,0
Due,male,22,training_train,practice,p1,1,1,27,2,white,circle,,Ledig,,,,,1555326778800,,1,1,,0,no,1,,,1,,0,0
Due,male,22,training_train,practice,p1,1,1,28,8,white,circle,,Ledig,,,,,1555326781371,,1,0,,0,no,1,,,0,,0,0
Due,male,22,training_train,practice,p1,1,1,29,8,white,circle,,Ledig,,,,,1555326783963,,1,1,,0,no,1,,,1,,0,0
Due,male,22,training_train,practice,p1,1,1,30,6,white,circle,,Ledig,,,,,1555326786535,,1,0,,0,no,1,,,0,,0,0
Due,male,22,training_train,practice,p1,1,1,31,3,white,circle,,Ledig,,,,,1555326789110,,1,0,,0,no,1,,,0,,0,0
Due,male,22,training_train,practice,f2,1,2,1,4,white,triangle,,Ledig,1,,,0,1555326822067,,,,,0,no,0,,0,,,1,0
Due,male,22,training_train,practice,f2,1,2,2,4,white,square,,Ledig,1,,,0,1555326824639,,,,,0,no,0,,0,,,1,0
Due,male,22,training_train,practice,f2,1,2,3,4,white,circle,,Ledig,1,,,0,1555326827213,,,,,0,no,0,,0,,,1,0
Due,male,22,training_train,practice,f2,1,2,4,4,white,square,,Ledig,1,,,1,1555326829802,,,,,0,no,0,,1,,,1,0
Due,male,22,training_train,practice,f2,1,2,5,4,white,square,,Ledig,1,,,0,1555326832377,,,,,0,no,0,,0,,,1,0
Due,male,22,training_train,practice,f2,1,2,6,4,white,circle,,Ledig,0,,,1,1555326834969,,,,,0,no,0,,0,,,1,0
Due,male,22,training_train,practice,f2,1,2,7,4,white,triangle,,Ledig,1,,,0,1555326837541,,,,,0,no,0,,0,,,1,0
Due,male,22,training_train,practice,f2,1,2,8,4,white,star,,Ledig,1,,,0,1555326840115,,,,,0,no,0,,0,,,1,0
Due,male,22,training_train,practice,f2,1,2,9,4,white,triangle,,Ledig,1,,,1,1555326842707,,,,,0,no,0,,1,,,1,0
Due,male,22,training_train,practice,f2,1,2,10,4,white,triangle,,Ledig,1,,,0,1555326845279,,,,,0,no,0,,0,,,1,0
Due,male,22,training_train,practice,f2,1,2,11,4,white,triangle,,Ledig,1,,,1,1555326847868,,,,,0,no,0,,1,,,1,0
Due,male,22,training_train,practice,f2,1,2,12,4,white,square,,Ledig,1,,,0,1555326850446,,,,,0,no,0,,0,,,1,0
Due,male,22,training_train,practice,f2,1,2,13,4,white,star,,Ledig,1,,,0,1555326853014,,,,,0,no,0,,0,,,1,0
Due,male,22,training_train,practice,f2,1,2,14,4,white,star,,Ledig,1,,,0,1555326855592,,,,,0,no,0,,0,,,1,0
Due,male,22,training_train,practice,f2,1,2,15,4,white,star,,Ledig,1,,,1,1555326858175,,,,,0,no,0,,1,,,1,0
Due,male,22,training_train,practice,f2,1,2,16,4,white,star,,Ledig,1,,,1,1555326860767,,,,,0,no,0,,1,,,1,0
Due,male,22,training_train,practice,f2,1,2,17,4,white,circle,,Ledig,1,,,0,1555326863345,,,,,0,no,0,,0,,,1,0
Due,male,22,training_train,practice,f2,1,2,18,4,white,circle,,Ledig,1,,,0,1555326865919,,,,,0,no,0,,0,,,1,0
Due,male,22,training_train,practice,f2,1,2,19,4,white,triangle,,Ledig,1,,,0,1555326868494,,,,,0,no,0,,0,,,1,0
Due,male,22,training_train,practice,f2,1,2,20,4,white,square,,Ledig,1,,,0,1555326871065,,,,,0,no,0,,0,,,1,0
Due,male,22,training_train,practice,f2,1,2,21,4,white,circle,,Ledig,1,,,0,1555326873640,,,,,0,no,0,,0,,,1,0
Due,male,22,training_train,practice,f2,1,2,22,4,white,circle,,Ledig,1,,,0,1555326876215,,,,,0,no,0,,0,,,1,0
Due,male,22,training_train,practice,f2,1,2,23,4,white,square,,Ledig,1,,,0,1555326878786,,,,,0,no,0,,0,,,1,0
Due,male,22,training_train,practice,f2,1,2,24,4,white,circle,,Ledig,1,,,1,1555326881375,,,,,0,no,0,,1,,,1,0
Due,male,22,training_train,practice,f2,1,2,25,4,white,triangle,,Ledig,0,,,1,1555326883956,,,,,0,no,0,,0,,,1,0
Due,male,22,training_train,practice,f2,1,2,26,4,white,square,,Ledig,1,,,0,1555326886525,,,,,0,no,0,,0,,,1,0
Due,male,22,training_train,practice,f2,1,2,27,4,white,star,,Ledig,1,,,0,1555326889096,,,,,0,no,0,,0,,,1,0
Due,male,22,training_train,practice,f2,1,2,28,4,white,square,,Ledig,0,,,0,1555326891674,,,,,0,no,0,,1,,,1,0
Due,male,22,training_train,practice,f2,1,2,29,4,white,circle,,Ledig,1,,,0,1555326894245,,,,,0,no,0,,0,,,1,0
Due,male,22,training_train,practice,f2,1,2,30,4,white,square,,Ledig,0,,,0,1555326896823,,,,,0,no,0,,1,,,1,0
Due,male,22,training_train,practice,f2,1,2,31,4,white,star,,Ledig,1,,,0,1555326899392,,,,,0,no,0,,0,,,1,0
