id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_tested,position_score,simulate,figure_response,figure_score,sound_tested,color_tested,sound_target,position_target,figure_target,position_response,color_target,sound_response,color_response,sound_score,occupation,figure_tested,color_score,timestamp
Egern,male,23,training_train,practice,p1,1,1,1,6,white,circle,,1,1,no,,,0,0,,0,,0,,,,,I arbejde,0,,1555351670495
Egern,male,23,training_train,practice,p1,1,1,2,5,white,circle,,1,1,no,,,0,0,,0,,0,,,,,I arbejde,0,,1555351673066
Egern,male,23,training_train,practice,p1,1,1,3,6,white,circle,,1,1,no,,,0,0,,0,,0,,,,,I arbejde,0,,1555351675641
Egern,male,23,training_train,practice,p1,1,1,4,6,white,circle,,1,0,no,,,0,0,,1,,0,,,,,I arbejde,0,,1555351678216
Egern,male,23,training_train,practice,p1,1,1,5,7,white,circle,,1,1,no,,,0,0,,0,,0,,,,,I arbejde,0,,1555351680787
Egern,male,23,training_train,practice,p1,1,1,6,4,white,circle,,1,1,no,,,0,0,,0,,0,,,,,I arbejde,0,,1555351683362
Egern,male,23,training_train,practice,p1,1,1,7,1,white,circle,,1,1,no,,,0,0,,0,,0,,,,,I arbejde,0,,1555351685934
Egern,male,23,training_train,practice,p1,1,1,8,2,white,circle,,1,1,no,,,0,0,,0,,0,,,,,I arbejde,0,,1555351688508
Egern,male,23,training_train,practice,p1,1,1,9,2,white,circle,,1,1,no,,,0,0,,1,,1,,,,,I arbejde,0,,1555351691115
Egern,male,23,training_train,practice,p1,1,1,10,1,white,circle,,1,1,no,,,0,0,,0,,0,,,,,I arbejde,0,,1555351693689
Egern,male,23,training_train,practice,p1,1,1,11,3,white,circle,,1,1,no,,,0,0,,0,,0,,,,,I arbejde,0,,1555351696264
Egern,male,23,training_train,practice,p1,1,1,12,1,white,circle,,1,0,no,,,0,0,,0,,1,,,,,I arbejde,0,,1555351698856
Egern,male,23,training_train,practice,p1,1,1,13,1,white,circle,,1,1,no,,,0,0,,1,,1,,,,,I arbejde,0,,1555351701439
Egern,male,23,training_train,practice,p1,1,1,14,2,white,circle,,1,1,no,,,0,0,,0,,0,,,,,I arbejde,0,,1555351704017
Egern,male,23,training_train,practice,p1,1,1,15,1,white,circle,,1,1,no,,,0,0,,0,,0,,,,,I arbejde,0,,1555351706591
Egern,male,23,training_train,practice,p1,1,1,16,6,white,circle,,1,1,no,,,0,0,,0,,0,,,,,I arbejde,0,,1555351709163
Egern,male,23,training_train,practice,p1,1,1,17,5,white,circle,,1,1,no,,,0,0,,0,,0,,,,,I arbejde,0,,1555351711737
Egern,male,23,training_train,practice,p1,1,1,18,1,white,circle,,1,1,no,,,0,0,,0,,0,,,,,I arbejde,0,,1555351714312
Egern,male,23,training_train,practice,p1,1,1,19,1,white,circle,,1,1,no,,,0,0,,1,,1,,,,,I arbejde,0,,1555351716890
Egern,male,23,training_train,practice,p1,1,1,20,2,white,circle,,1,1,no,,,0,0,,0,,0,,,,,I arbejde,0,,1555351719458
Egern,male,23,training_train,practice,p1,1,1,21,7,white,circle,,1,1,no,,,0,0,,0,,0,,,,,I arbejde,0,,1555351722033
Egern,male,23,training_train,practice,p1,1,1,22,7,white,circle,,1,1,no,,,0,0,,1,,1,,,,,I arbejde,0,,1555351724619
Egern,male,23,training_train,practice,p1,1,1,23,7,white,circle,,1,1,no,,,0,0,,1,,1,,,,,I arbejde,0,,1555351727217
Egern,male,23,training_train,practice,p1,1,1,24,2,white,circle,,1,1,no,,,0,0,,0,,0,,,,,I arbejde,0,,1555351729786
Egern,male,23,training_train,practice,p1,1,1,25,5,white,circle,,1,1,no,,,0,0,,0,,0,,,,,I arbejde,0,,1555351732360
Egern,male,23,training_train,practice,p1,1,1,26,5,white,circle,,1,1,no,,,0,0,,1,,1,,,,,I arbejde,0,,1555351734955
Egern,male,23,training_train,practice,p1,1,1,27,8,white,circle,,1,1,no,,,0,0,,0,,0,,,,,I arbejde,0,,1555351737524
Egern,male,23,training_train,practice,p1,1,1,28,7,white,circle,,1,1,no,,,0,0,,0,,0,,,,,I arbejde,0,,1555351740099
Egern,male,23,training_train,practice,p1,1,1,29,6,white,circle,,1,1,no,,,0,0,,0,,0,,,,,I arbejde,0,,1555351742673
Egern,male,23,training_train,practice,p1,1,1,30,0,white,circle,,1,1,no,,,0,0,,0,,0,,,,,I arbejde,0,,1555351745245
Egern,male,23,training_train,practice,p1,1,1,31,0,white,circle,,1,1,no,,,0,0,,1,,1,,,,,I arbejde,0,,1555351747834
Egern,male,23,training_train,practice,f2,1,2,1,4,white,star,,0,,no,0,1,0,0,,,0,,,,,,I arbejde,1,,1555351780489
Egern,male,23,training_train,practice,f2,1,2,2,4,white,circle,,0,,no,0,1,0,0,,,0,,,,,,I arbejde,1,,1555351783064
Egern,male,23,training_train,practice,f2,1,2,3,4,white,triangle,,0,,no,0,1,0,0,,,0,,,,,,I arbejde,1,,1555351785638
Egern,male,23,training_train,practice,f2,1,2,4,4,white,triangle,,0,,no,0,1,0,0,,,0,,,,,,I arbejde,1,,1555351788230
Egern,male,23,training_train,practice,f2,1,2,5,4,white,star,,0,,no,1,0,0,0,,,0,,,,,,I arbejde,1,,1555351790813
Egern,male,23,training_train,practice,f2,1,2,6,4,white,triangle,,0,,no,0,0,0,0,,,1,,,,,,I arbejde,1,,1555351793391
Egern,male,23,training_train,practice,f2,1,2,7,4,white,square,,0,,no,0,1,0,0,,,0,,,,,,I arbejde,1,,1555351795966
Egern,male,23,training_train,practice,f2,1,2,8,4,white,circle,,0,,no,0,1,0,0,,,0,,,,,,I arbejde,1,,1555351798540
Egern,male,23,training_train,practice,f2,1,2,9,4,white,star,,0,,no,0,1,0,0,,,0,,,,,,I arbejde,1,,1555351801112
Egern,male,23,training_train,practice,f2,1,2,10,4,white,triangle,,0,,no,1,0,0,0,,,0,,,,,,I arbejde,1,,1555351803704
Egern,male,23,training_train,practice,f2,1,2,11,4,white,star,,0,,no,0,0,0,0,,,1,,,,,,I arbejde,1,,1555351806275
Egern,male,23,training_train,practice,f2,1,2,12,4,white,star,,0,,no,0,1,0,0,,,0,,,,,,I arbejde,1,,1555351808850
Egern,male,23,training_train,practice,f2,1,2,13,4,white,circle,,0,,no,0,1,0,0,,,0,,,,,,I arbejde,1,,1555351811425
Egern,male,23,training_train,practice,f2,1,2,14,4,white,star,,0,,no,1,1,0,0,,,1,,,,,,I arbejde,1,,1555351814011
Egern,male,23,training_train,practice,f2,1,2,15,4,white,circle,,0,,no,0,0,0,0,,,1,,,,,,I arbejde,1,,1555351816588
Egern,male,23,training_train,practice,f2,1,2,16,4,white,square,,0,,no,0,1,0,0,,,0,,,,,,I arbejde,1,,1555351819163
Egern,male,23,training_train,practice,f2,1,2,17,4,white,triangle,,0,,no,0,1,0,0,,,0,,,,,,I arbejde,1,,1555351821735
Egern,male,23,training_train,practice,f2,1,2,18,4,white,triangle,,0,,no,1,0,0,0,,,0,,,,,,I arbejde,1,,1555351824324
Egern,male,23,training_train,practice,f2,1,2,19,4,white,circle,,0,,no,1,0,0,0,,,0,,,,,,I arbejde,1,,1555351826913
Egern,male,23,training_train,practice,f2,1,2,20,4,white,square,,0,,no,0,1,0,0,,,0,,,,,,I arbejde,1,,1555351829487
Egern,male,23,training_train,practice,f2,1,2,21,4,white,triangle,,0,,no,0,1,0,0,,,0,,,,,,I arbejde,1,,1555351832062
Egern,male,23,training_train,practice,f2,1,2,22,4,white,star,,0,,no,1,0,0,0,,,0,,,,,,I arbejde,1,,1555351834651
