id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,occupation,position_target,position_tested,sound_tested,timestamp,figure_target,position_score,color_target,position_response,simulate,figure_tested,figure_response,sound_response,figure_score,sound_score,color_tested,sound_target,color_response,color_score
Elefant,female,23,training_transfer,practice,p1,1,1,1,4,white,circle,,Studerende,0,1,0,1555055732826,,1,,0,no,0,,,,,0,,,
Elefant,female,23,training_transfer,practice,p1,1,1,2,4,white,circle,,Studerende,1,1,0,1555055735441,,1,,1,no,0,,,,,0,,,
Elefant,female,23,training_transfer,practice,p1,1,1,3,0,white,circle,,Studerende,0,1,0,1555055738004,,1,,0,no,0,,,,,0,,,
Elefant,female,23,training_transfer,practice,p1,1,1,4,4,white,circle,,Studerende,0,1,0,1555055740581,,1,,0,no,0,,,,,0,,,
Elefant,female,23,training_transfer,practice,p1,1,1,5,4,white,circle,,Studerende,1,1,0,1555055743147,,0,,0,no,0,,,,,0,,,
Elefant,female,23,training_transfer,practice,p1,1,1,6,6,white,circle,,Studerende,0,1,0,1555055745725,,1,,0,no,0,,,,,0,,,
Elefant,female,23,training_transfer,practice,p1,1,1,7,0,white,circle,,Studerende,0,1,0,1555055748302,,1,,0,no,0,,,,,0,,,
Elefant,female,23,training_transfer,practice,p1,1,1,8,0,white,circle,,Studerende,1,1,0,1555055750888,,1,,1,no,0,,,,,0,,,
Elefant,female,23,training_transfer,practice,p1,1,1,9,1,white,circle,,Studerende,0,1,0,1555055753466,,1,,0,no,0,,,,,0,,,
Elefant,female,23,training_transfer,practice,p1,1,1,10,4,white,circle,,Studerende,0,1,0,1555055756034,,1,,0,no,0,,,,,0,,,
Elefant,female,23,training_transfer,practice,p1,1,1,11,0,white,circle,,Studerende,0,1,0,1555055758612,,1,,0,no,0,,,,,0,,,
Elefant,female,23,training_transfer,practice,p1,1,1,12,6,white,circle,,Studerende,0,1,0,1555055761186,,1,,0,no,0,,,,,0,,,
Elefant,female,23,training_transfer,practice,p1,1,1,13,5,white,circle,,Studerende,0,1,0,1555055763761,,1,,0,no,0,,,,,0,,,
Elefant,female,23,training_transfer,practice,p1,1,1,14,7,white,circle,,Studerende,0,1,0,1555055766335,,1,,0,no,0,,,,,0,,,
Elefant,female,23,training_transfer,practice,p1,1,1,15,7,white,circle,,Studerende,1,1,0,1555055768924,,1,,1,no,0,,,,,0,,,
Elefant,female,23,training_transfer,practice,p1,1,1,16,5,white,circle,,Studerende,0,1,0,1555055771499,,1,,0,no,0,,,,,0,,,
Elefant,female,23,training_transfer,practice,p1,1,1,17,6,white,circle,,Studerende,0,1,0,1555055774070,,1,,0,no,0,,,,,0,,,
Elefant,female,23,training_transfer,practice,p1,1,1,18,8,white,circle,,Studerende,0,1,0,1555055776644,,1,,0,no,0,,,,,0,,,
Elefant,female,23,training_transfer,practice,p1,1,1,19,8,white,circle,,Studerende,1,1,0,1555055779234,,1,,1,no,0,,,,,0,,,
Elefant,female,23,training_transfer,practice,p1,1,1,20,8,white,circle,,Studerende,1,1,0,1555055781820,,1,,1,no,0,,,,,0,,,
Elefant,female,23,training_transfer,practice,p1,1,1,21,5,white,circle,,Studerende,0,1,0,1555055784398,,1,,0,no,0,,,,,0,,,
Elefant,female,23,training_transfer,practice,p1,1,1,22,0,white,circle,,Studerende,0,1,0,1555055786972,,1,,0,no,0,,,,,0,,,
