id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,timestamp,sound_target,color_target,position_tested,color_score,sound_score,sound_tested,figure_tested,occupation,position_target,color_tested,figure_score,figure_target,sound_response,position_score,simulate,position_response,color_response,figure_response
Emu,female,19,training_train,practice,p1,1,1,1,3,white,circle,,1554811433076,,,1,,,0,0,Studerende,0,0,,,,1,no,0,,
Emu,female,19,training_train,practice,p1,1,1,2,3,white,circle,,1554811435656,,,1,,,0,0,Studerende,1,0,,,,1,no,1,,
Emu,female,19,training_train,practice,p1,1,1,3,1,white,circle,,1554811438222,,,1,,,0,0,Studerende,0,0,,,,1,no,0,,
Emu,female,19,training_train,practice,p1,1,1,4,7,white,circle,,1554811440796,,,1,,,0,0,Studerende,0,0,,,,1,no,0,,
Emu,female,19,training_train,practice,p1,1,1,5,5,white,circle,,1554811443365,,,1,,,0,0,Studerende,0,0,,,,1,no,0,,
Emu,female,19,training_train,practice,p1,1,1,6,2,white,circle,,1554811445943,,,1,,,0,0,Studerende,0,0,,,,1,no,0,,
Emu,female,19,training_train,practice,p1,1,1,7,7,white,circle,,1554811448517,,,1,,,0,0,Studerende,0,0,,,,1,no,0,,
Emu,female,19,training_train,practice,p1,1,1,8,8,white,circle,,1554811451091,,,1,,,0,0,Studerende,0,0,,,,1,no,0,,
Emu,female,19,training_train,practice,p1,1,1,9,8,white,circle,,1554811453701,,,1,,,0,0,Studerende,1,0,,,,1,no,1,,
Emu,female,19,training_train,practice,p1,1,1,10,7,white,circle,,1554811456273,,,1,,,0,0,Studerende,0,0,,,,1,no,0,,
Emu,female,19,training_train,practice,p1,1,1,11,1,white,circle,,1554811458845,,,1,,,0,0,Studerende,0,0,,,,1,no,0,,
Emu,female,19,training_train,practice,p1,1,1,12,8,white,circle,,1554811461419,,,1,,,0,0,Studerende,0,0,,,,1,no,0,,
Emu,female,19,training_train,practice,p1,1,1,13,8,white,circle,,1554811464002,,,1,,,0,0,Studerende,1,0,,,,1,no,1,,
Emu,female,19,training_train,practice,p1,1,1,14,7,white,circle,,1554811466583,,,1,,,0,0,Studerende,0,0,,,,1,no,0,,
Emu,female,19,training_train,practice,p1,1,1,15,5,white,circle,,1554811469158,,,1,,,0,0,Studerende,0,0,,,,1,no,0,,
Emu,female,19,training_train,practice,p1,1,1,16,0,white,circle,,1554811471729,,,1,,,0,0,Studerende,0,0,,,,1,no,0,,
Emu,female,19,training_train,practice,p1,1,1,17,2,white,circle,,1554811474304,,,1,,,0,0,Studerende,0,0,,,,1,no,0,,
Emu,female,19,training_train,practice,p1,1,1,18,7,white,circle,,1554811476878,,,1,,,0,0,Studerende,0,0,,,,1,no,0,,
Emu,female,19,training_train,practice,p1,1,1,19,3,white,circle,,1554811479453,,,1,,,0,0,Studerende,0,0,,,,1,no,0,,
Emu,female,19,training_train,practice,p1,1,1,20,4,white,circle,,1554811482024,,,1,,,0,0,Studerende,0,0,,,,1,no,0,,
Emu,female,19,training_train,practice,p1,1,1,21,2,white,circle,,1554811484599,,,1,,,0,0,Studerende,0,0,,,,1,no,0,,
