id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,simulate,sound_tested,color_score,position_target,figure_target,color_tested,color_target,sound_target,color_response,sound_score,sound_response,position_score,figure_response,figure_tested,figure_score,position_tested,timestamp,position_response,occupation
Fisk,female,22,training_transfer,practice,p1,1,1,1,7,white,circle,,no,0,,0,,0,,,,,,1,,0,,1,1554899432363,0,Studerende
Fisk,female,22,training_transfer,practice,p1,1,1,2,8,white,circle,,no,0,,0,,0,,,,,,1,,0,,1,1554899434913,0,Studerende
Fisk,female,22,training_transfer,practice,p1,1,1,3,4,white,circle,,no,0,,0,,0,,,,,,1,,0,,1,1554899437463,0,Studerende
Fisk,female,22,training_transfer,practice,p1,1,1,4,4,white,circle,,no,0,,1,,0,,,,,,0,,0,,1,1554899440014,0,Studerende
Fisk,female,22,training_transfer,practice,p1,1,1,5,0,white,circle,,no,0,,0,,0,,,,,,1,,0,,1,1554899442564,0,Studerende
Fisk,female,22,training_transfer,practice,p1,1,1,6,3,white,circle,,no,0,,0,,0,,,,,,1,,0,,1,1554899445114,0,Studerende
Fisk,female,22,training_transfer,practice,p1,1,1,7,0,white,circle,,no,0,,0,,0,,,,,,1,,0,,1,1554899447664,0,Studerende
Fisk,female,22,training_transfer,practice,p1,1,1,8,2,white,circle,,no,0,,0,,0,,,,,,1,,0,,1,1554899450214,0,Studerende
Fisk,female,22,training_transfer,practice,p1,1,1,9,2,white,circle,,no,0,,1,,0,,,,,,0,,0,,1,1554899452764,0,Studerende
Fisk,female,22,training_transfer,practice,p1,1,1,10,5,white,circle,,no,0,,0,,0,,,,,,1,,0,,1,1554899455314,0,Studerende
Fisk,female,22,training_transfer,practice,p1,1,1,11,6,white,circle,,no,0,,0,,0,,,,,,1,,0,,1,1554899457864,0,Studerende
Fisk,female,22,training_transfer,practice,p1,1,1,12,1,white,circle,,no,0,,0,,0,,,,,,1,,0,,1,1554899460414,0,Studerende
Fisk,female,22,training_transfer,practice,p1,1,1,13,6,white,circle,,no,0,,0,,0,,,,,,1,,0,,1,1554899462964,0,Studerende
Fisk,female,22,training_transfer,practice,p1,1,1,14,6,white,circle,,no,0,,1,,0,,,,,,1,,0,,1,1554899465531,1,Studerende
Fisk,female,22,training_transfer,practice,p1,1,1,15,6,white,circle,,no,0,,1,,0,,,,,,1,,0,,1,1554899468097,1,Studerende
Fisk,female,22,training_transfer,practice,p1,1,1,16,5,white,circle,,no,0,,0,,0,,,,,,1,,0,,1,1554899470647,0,Studerende
Fisk,female,22,training_transfer,practice,p1,1,1,17,0,white,circle,,no,0,,0,,0,,,,,,1,,0,,1,1554899473197,0,Studerende
Fisk,female,22,training_transfer,practice,p1,1,1,18,7,white,circle,,no,0,,0,,0,,,,,,1,,0,,1,1554899475748,0,Studerende
Fisk,female,22,training_transfer,practice,p1,1,1,19,7,white,circle,,no,0,,1,,0,,,,,,1,,0,,1,1554899478315,1,Studerende
Fisk,female,22,training_transfer,practice,p1,1,1,20,6,white,circle,,no,0,,0,,0,,,,,,0,,0,,1,1554899480881,1,Studerende
Fisk,female,22,training_transfer,practice,p1,1,1,21,5,white,circle,,no,0,,0,,0,,,,,,1,,0,,1,1554899483431,0,Studerende
Fisk,female,22,training_transfer,practice,p1,1,1,22,0,white,circle,,no,0,,0,,0,,,,,,1,,0,,1,1554899485981,0,Studerende
Fisk,female,22,training_transfer,practice,p1,1,1,23,4,white,circle,,no,0,,0,,0,,,,,,1,,0,,1,1554899488531,0,Studerende
Fisk,female,22,training_transfer,practice,p1,1,1,24,4,white,circle,,no,0,,1,,0,,,,,,1,,0,,1,1554899491098,1,Studerende
Fisk,female,22,training_transfer,practice,p1,1,1,25,2,white,circle,,no,0,,0,,0,,,,,,1,,0,,1,1554899493649,0,Studerende
Fisk,female,22,training_transfer,practice,p1,1,1,26,2,white,circle,,no,0,,1,,0,,,,,,1,,0,,1,1554899496216,1,Studerende
Fisk,female,22,training_transfer,practice,p1,1,1,27,2,white,circle,,no,0,,1,,0,,,,,,1,,0,,1,1554899498782,1,Studerende
Fisk,female,22,training_transfer,practice,p1,1,1,28,7,white,circle,,no,0,,0,,0,,,,,,1,,0,,1,1554899501332,0,Studerende
Fisk,female,22,training_transfer,practice,p1,1,1,29,2,white,circle,,no,0,,0,,0,,,,,,1,,0,,1,1554899503882,0,Studerende
Fisk,female,22,training_transfer,practice,p1,1,1,30,0,white,circle,,no,0,,0,,0,,,,,,1,,0,,1,1554899506432,0,Studerende
Fisk,female,22,training_transfer,practice,p1,1,1,31,3,white,circle,,no,0,,0,,0,,,,,,1,,0,,1,1554899508982,0,Studerende
Fisk,female,22,training_transfer,practice,f2,1,2,1,4,white,star,,no,0,,,0,0,,,,,,,0,1,1,0,1554899554884,,Studerende
Fisk,female,22,training_transfer,practice,f2,1,2,2,4,white,circle,,no,0,,,0,0,,,,,,,0,1,1,0,1554899557434,,Studerende
Fisk,female,22,training_transfer,practice,f2,1,2,3,4,white,triangle,,no,0,,,0,0,,,,,,,0,1,1,0,1554899559983,,Studerende
Fisk,female,22,training_transfer,practice,f2,1,2,4,4,white,square,,no,0,,,0,0,,,,,,,0,1,1,0,1554899562534,,Studerende
Fisk,female,22,training_transfer,practice,f2,1,2,5,4,white,circle,,no,0,,,0,0,,,,,,,1,1,0,0,1554899565101,,Studerende
Fisk,female,22,training_transfer,practice,f2,1,2,6,4,white,star,,no,0,,,0,0,,,,,,,0,1,1,0,1554899567651,,Studerende
Fisk,female,22,training_transfer,practice,f2,1,2,7,4,white,triangle,,no,0,,,0,0,,,,,,,0,1,1,0,1554899570201,,Studerende
Fisk,female,22,training_transfer,practice,f2,1,2,8,4,white,triangle,,no,0,,,0,0,,,,,,,0,1,1,0,1554899572751,,Studerende
Fisk,female,22,training_transfer,practice,f2,1,2,9,4,white,circle,,no,0,,,0,0,,,,,,,0,1,1,0,1554899575301,,Studerende
Fisk,female,22,training_transfer,practice,f2,1,2,10,4,white,square,,no,0,,,0,0,,,,,,,0,1,1,0,1554899577851,,Studerende
Fisk,female,22,training_transfer,practice,f2,1,2,11,4,white,square,,no,0,,,0,0,,,,,,,0,1,1,0,1554899580402,,Studerende
Fisk,female,22,training_transfer,practice,f2,1,2,12,4,white,triangle,,no,0,,,0,0,,,,,,,0,1,1,0,1554899582952,,Studerende
Fisk,female,22,training_transfer,practice,f2,1,2,13,4,white,triangle,,no,0,,,0,0,,,,,,,1,1,0,0,1554899585518,,Studerende
Fisk,female,22,training_transfer,practice,f2,1,2,14,4,white,triangle,,no,0,,,1,0,,,,,,,1,1,1,0,1554899588085,,Studerende
Fisk,female,22,training_transfer,practice,f2,1,2,15,4,white,square,,no,0,,,0,0,,,,,,,0,1,1,0,1554899590635,,Studerende
Fisk,female,22,training_transfer,practice,f2,1,2,16,4,white,square,,no,0,,,0,0,,,,,,,0,1,1,0,1554899593185,,Studerende
Fisk,female,22,training_transfer,practice,f2,1,2,17,4,white,circle,,no,0,,,0,0,,,,,,,0,1,1,0,1554899595735,,Studerende
Fisk,female,22,training_transfer,practice,f2,1,2,18,4,white,circle,,no,0,,,0,0,,,,,,,1,1,0,0,1554899598302,,Studerende
Fisk,female,22,training_transfer,practice,f2,1,2,19,4,white,star,,no,0,,,0,0,,,,,,,0,1,1,0,1554899600852,,Studerende
Fisk,female,22,training_transfer,practice,f2,1,2,20,4,white,circle,,no,0,,,1,0,,,,,,,1,1,1,0,1554899603419,,Studerende
Fisk,female,22,training_transfer,practice,f2,1,2,21,4,white,square,,no,0,,,0,0,,,,,,,0,1,1,0,1554899605969,,Studerende
Fisk,female,22,training_transfer,practice,f2,1,2,22,4,white,circle,,no,0,,,1,0,,,,,,,1,1,1,0,1554899608535,,Studerende
Fisk,female,22,training_transfer,practice,f2,1,2,23,4,white,square,,no,0,,,1,0,,,,,,,0,1,0,0,1554899611085,,Studerende
Fisk,female,22,training_transfer,practice,f2,1,2,24,4,white,star,,no,0,,,0,0,,,,,,,0,1,1,0,1554899613635,,Studerende
Fisk,female,22,training_transfer,practice,f2,1,2,25,4,white,square,,no,0,,,1,0,,,,,,,0,1,0,0,1554899616186,,Studerende
Fisk,female,22,training_transfer,practice,f2,1,2,26,4,white,star,,no,0,,,1,0,,,,,,,0,1,0,0,1554899618736,,Studerende
Fisk,female,22,training_transfer,practice,f2,1,2,27,4,white,star,,no,0,,,0,0,,,,,,,1,1,0,0,1554899621303,,Studerende
Fisk,female,22,training_transfer,practice,f2,1,2,28,4,white,triangle,,no,0,,,0,0,,,,,,,0,1,1,0,1554899623853,,Studerende
Fisk,female,22,training_transfer,practice,f2,1,2,29,4,white,star,,no,0,,,1,0,,,,,,,0,1,0,0,1554899626405,,Studerende
Fisk,female,22,training_transfer,practice,f2,1,2,30,4,white,square,,no,0,,,0,0,,,,,,,0,1,1,0,1554899628954,,Studerende
Fisk,female,22,training_transfer,practice,f2,1,2,31,4,white,circle,,no,0,,,0,0,,,,,,,0,1,1,0,1554899631504,,Studerende
Fisk,female,22,training_transfer,practice,f2,1,2,32,4,white,square,,no,0,,,1,0,,,,,,,1,1,1,0,1554899634071,,Studerende
Fisk,female,22,training_transfer,practice,sc2,2,2,1,4,darkorange,circle,sounds\G.wav,no,1,1,,,1,0,0,0,1,0,,,0,,0,1554899659538,,Studerende
Fisk,female,22,training_transfer,practice,sc2,2,2,2,4,red,circle,sounds\P.wav,no,1,1,,,1,0,0,0,0,1,,,0,,0,1554899662105,,Studerende
Fisk,female,22,training_transfer,practice,sc2,2,2,3,4,white,circle,sounds\C.wav,no,1,1,,,1,0,0,0,1,0,,,0,,0,1554899664655,,Studerende
Fisk,female,22,training_transfer,practice,sc2,2,2,4,4,darkorange,circle,sounds\E.wav,no,1,1,,,1,0,0,0,1,0,,,0,,0,1554899667206,,Studerende
Fisk,female,22,training_transfer,practice,sc2,2,2,5,4,white,circle,sounds\C.wav,no,1,0,,,1,1,1,0,1,1,,,0,,0,1554899669772,,Studerende
Fisk,female,22,training_transfer,practice,sc2,2,2,6,4,darkorange,circle,sounds\E.wav,no,1,0,,,1,1,1,0,0,0,,,0,,0,1554899672322,,Studerende
Fisk,female,22,training_transfer,practice,sc2,2,2,7,4,green,circle,sounds\B.wav,no,1,1,,,1,0,0,0,1,0,,,0,,0,1554899674873,,Studerende
Fisk,female,22,training_transfer,practice,sc2,2,2,8,4,darkorange,circle,sounds\E.wav,no,1,0,,,1,1,1,0,0,0,,,0,,0,1554899677422,,Studerende
Fisk,female,22,training_transfer,practice,sc2,2,2,9,4,yellow,circle,sounds\V.wav,no,1,1,,,1,0,0,0,1,0,,,0,,0,1554899679972,,Studerende
Fisk,female,22,training_transfer,practice,sc2,2,2,10,4,yellow,circle,sounds\G.wav,no,1,0,,,1,0,0,1,1,0,,,0,,0,1554899682539,,Studerende
Fisk,female,22,training_transfer,practice,sc2,2,2,11,4,dimgray,circle,sounds\G.wav,no,1,1,,,1,0,0,0,1,0,,,0,,0,1554899685090,,Studerende
Fisk,female,22,training_transfer,practice,sc2,2,2,12,4,yellow,circle,sounds\T.wav,no,1,1,,,1,1,0,1,1,0,,,0,,0,1554899687656,,Studerende
Fisk,female,22,training_transfer,practice,sc2,2,2,13,4,yellow,circle,sounds\B.wav,no,1,1,,,1,0,0,0,1,0,,,0,,0,1554899690206,,Studerende
Fisk,female,22,training_transfer,practice,sc2,2,2,14,4,white,circle,sounds\T.wav,no,1,1,,,1,0,1,0,0,0,,,0,,0,1554899692756,,Studerende
Fisk,female,22,training_transfer,practice,sc2,2,2,15,4,darkorange,circle,sounds\C.wav,no,1,1,,,1,0,0,0,1,0,,,0,,0,1554899695306,,Studerende
Fisk,female,22,training_transfer,practice,sc2,2,2,16,4,darkorange,circle,sounds\T.wav,no,1,1,,,1,0,1,0,0,0,,,0,,0,1554899697856,,Studerende
Fisk,female,22,training_transfer,practice,sc2,2,2,17,4,green,circle,sounds\P.wav,no,1,1,,,1,0,0,0,1,0,,,0,,0,1554899700406,,Studerende
Fisk,female,22,training_transfer,practice,sc2,2,2,18,4,dimgray,circle,sounds\E.wav,no,1,1,,,1,0,0,0,1,0,,,0,,0,1554899702957,,Studerende
Fisk,female,22,training_transfer,practice,sc2,2,2,19,4,yellow,circle,sounds\V.wav,no,1,1,,,1,0,0,0,1,0,,,0,,0,1554899705507,,Studerende
Fisk,female,22,training_transfer,practice,sc2,2,2,20,4,red,circle,sounds\T.wav,no,1,1,,,1,0,0,0,1,0,,,0,,0,1554899708057,,Studerende
Fisk,female,22,training_transfer,practice,sc2,2,2,21,4,white,circle,sounds\E.wav,no,1,1,,,1,0,0,0,1,0,,,0,,0,1554899710607,,Studerende
Fisk,female,22,training_transfer,practice,sc2,2,2,22,4,blue,circle,sounds\B.wav,no,1,1,,,1,0,0,0,1,0,,,0,,0,1554899713157,,Studerende
Fisk,female,22,training_transfer,practice,sc2,2,2,23,4,green,circle,sounds\E.wav,no,1,1,,,1,0,1,0,0,0,,,0,,0,1554899715707,,Studerende
Fisk,female,22,training_transfer,practice,sc2,2,2,24,4,blue,circle,sounds\G.wav,no,1,0,,,1,1,0,0,1,0,,,0,,0,1554899718257,,Studerende
Fisk,female,22,training_transfer,practice,sc2,2,2,25,4,dimgray,circle,sounds\T.wav,no,1,1,,,1,0,0,0,1,0,,,0,,0,1554899720807,,Studerende
Fisk,female,22,training_transfer,practice,sc2,2,2,26,4,yellow,circle,sounds\C.wav,no,1,1,,,1,0,0,0,1,0,,,0,,0,1554899723357,,Studerende
Fisk,female,22,training_transfer,practice,sc2,2,2,27,4,blue,circle,sounds\B.wav,no,1,1,,,1,0,0,0,1,0,,,0,,0,1554899725907,,Studerende
Fisk,female,22,training_transfer,practice,sc2,2,2,28,4,yellow,circle,sounds\V.wav,no,1,0,,,1,1,0,0,1,0,,,0,,0,1554899728457,,Studerende
Fisk,female,22,training_transfer,practice,sc2,2,2,29,4,white,circle,sounds\B.wav,no,1,1,,,1,0,1,0,0,0,,,0,,0,1554899731007,,Studerende
Fisk,female,22,training_transfer,practice,sc2,2,2,30,4,yellow,circle,sounds\V.wav,no,1,0,,,1,1,1,0,0,0,,,0,,0,1554899733557,,Studerende
Fisk,female,22,training_transfer,practice,sc2,2,2,31,4,white,circle,sounds\C.wav,no,1,0,,,1,1,0,0,1,0,,,0,,0,1554899736107,,Studerende
Fisk,female,22,training_transfer,practice,sc2,2,2,32,4,darkorange,circle,sounds\E.wav,no,1,1,,,1,0,0,0,1,0,,,0,,0,1554899738658,,Studerende
Fisk,female,22,training_transfer,practice,pcfs1,4,1,1,5,yellow,square,sounds\C.wav,no,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1554899766908,0,Studerende
Fisk,female,22,training_transfer,practice,pcfs1,4,1,2,0,yellow,star,sounds\G.wav,no,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1554899770458,0,Studerende
Fisk,female,22,training_transfer,practice,pcfs1,4,1,3,5,white,star,sounds\V.wav,no,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1554899774009,0,Studerende
Fisk,female,22,training_transfer,practice,pcfs1,4,1,4,1,green,triangle,sounds\V.wav,no,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1554899777560,0,Studerende
