id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,color_tested,sound_target,figure_response,occupation,figure_target,figure_score,color_target,timestamp,simulate,figure_tested,position_target,color_response,sound_tested,sound_response,position_response,position_tested,position_score,sound_score,color_score
fugl ,female,28,training_transfer,practice,p1,1,1,1,5,white,circle,,0,,,Studerende,,,,1554965503948,no,0,0,,0,,0,1,1,,
fugl ,female,28,training_transfer,practice,p1,1,1,2,8,white,circle,,0,,,Studerende,,,,1554965506508,no,0,0,,0,,0,1,1,,
fugl ,female,28,training_transfer,practice,p1,1,1,3,4,white,circle,,0,,,Studerende,,,,1554965509068,no,0,0,,0,,0,1,1,,
fugl ,female,28,training_transfer,practice,p1,1,1,4,7,white,circle,,0,,,Studerende,,,,1554965511628,no,0,0,,0,,0,1,1,,
fugl ,female,28,training_transfer,practice,p1,1,1,5,5,white,circle,,0,,,Studerende,,,,1554965514188,no,0,0,,0,,0,1,1,,
fugl ,female,28,training_transfer,practice,p1,1,1,6,0,white,circle,,0,,,Studerende,,,,1554965516748,no,0,0,,0,,0,1,1,,
fugl ,female,28,training_transfer,practice,p1,1,1,7,0,white,circle,,0,,,Studerende,,,,1554965519308,no,0,1,,0,,0,1,0,,
fugl ,female,28,training_transfer,practice,p1,1,1,8,5,white,circle,,0,,,Studerende,,,,1554965521868,no,0,0,,0,,0,1,1,,
fugl ,female,28,training_transfer,practice,p1,1,1,9,1,white,circle,,0,,,Studerende,,,,1554965524428,no,0,0,,0,,0,1,1,,
fugl ,female,28,training_transfer,practice,p1,1,1,10,3,white,circle,,0,,,Studerende,,,,1554965526988,no,0,0,,0,,0,1,1,,
fugl ,female,28,training_transfer,practice,p1,1,1,11,5,white,circle,,0,,,Studerende,,,,1554965529548,no,0,0,,0,,0,1,1,,
fugl ,female,28,training_transfer,practice,p1,1,1,12,2,white,circle,,0,,,Studerende,,,,1554965532108,no,0,0,,0,,0,1,1,,
fugl ,female,28,training_transfer,practice,p1,1,1,13,7,white,circle,,0,,,Studerende,,,,1554965534668,no,0,0,,0,,0,1,1,,
fugl ,female,28,training_transfer,practice,p1,1,1,14,1,white,circle,,0,,,Studerende,,,,1554965537268,no,0,0,,0,,1,1,0,,
fugl ,female,28,training_transfer,practice,p1,1,1,15,5,white,circle,,0,,,Studerende,,,,1554965539848,no,0,0,,0,,0,1,1,,
fugl ,female,28,training_transfer,practice,p1,1,1,16,4,white,circle,,0,,,Studerende,,,,1554965542408,no,0,0,,0,,0,1,1,,
fugl ,female,28,training_transfer,practice,p1,1,1,17,5,white,circle,,0,,,Studerende,,,,1554965544988,no,0,0,,0,,0,1,1,,
fugl ,female,28,training_transfer,practice,p1,1,1,18,1,white,circle,,0,,,Studerende,,,,1554965547608,no,0,0,,0,,0,1,1,,
fugl ,female,28,training_transfer,practice,p1,1,1,19,1,white,circle,,0,,,Studerende,,,,1554965550168,no,0,1,,0,,0,1,0,,
fugl ,female,28,training_transfer,practice,p1,1,1,20,1,white,circle,,0,,,Studerende,,,,1554965552728,no,0,1,,0,,0,1,0,,
fugl ,female,28,training_transfer,practice,p1,1,1,21,5,white,circle,,0,,,Studerende,,,,1554965555308,no,0,0,,0,,0,1,1,,
fugl ,female,28,training_transfer,practice,p1,1,1,22,6,white,circle,,0,,,Studerende,,,,1554965557888,no,0,0,,0,,0,1,1,,
fugl ,female,28,training_transfer,practice,p1,1,1,23,6,white,circle,,0,,,Studerende,,,,1554965560448,no,0,1,,0,,0,1,0,,
fugl ,female,28,training_transfer,practice,p1,1,1,24,6,white,circle,,0,,,Studerende,,,,1554965563008,no,0,1,,0,,0,1,0,,
fugl ,female,28,training_transfer,practice,p1,1,1,25,4,white,circle,,0,,,Studerende,,,,1554965565608,no,0,0,,0,,0,1,1,,
fugl ,female,28,training_transfer,practice,p1,1,1,26,4,white,circle,,0,,,Studerende,,,,1554965568168,no,0,1,,0,,0,1,0,,
fugl ,female,28,training_transfer,practice,p1,1,1,27,4,white,circle,,0,,,Studerende,,,,1554965570728,no,0,1,,0,,0,1,0,,
fugl ,female,28,training_transfer,practice,p1,1,1,28,1,white,circle,,0,,,Studerende,,,,1554965573308,no,0,0,,0,,0,1,1,,
fugl ,female,28,training_transfer,practice,p1,1,1,29,1,white,circle,,0,,,Studerende,,,,1554965575888,no,0,1,,0,,0,1,0,,
fugl ,female,28,training_transfer,practice,p1,1,1,30,6,white,circle,,0,,,Studerende,,,,1554965578488,no,0,0,,0,,1,1,0,,
fugl ,female,28,training_transfer,practice,p1,1,1,31,8,white,circle,,0,,,Studerende,,,,1554965581088,no,0,0,,0,,0,1,1,,
fugl ,female,28,training_transfer,practice,f2,1,2,1,4,white,square,,0,,0,Studerende,0,1,,1554965619418,no,1,,,0,,,0,,,
fugl ,female,28,training_transfer,practice,f2,1,2,2,4,white,square,,0,,0,Studerende,0,1,,1554965621978,no,1,,,0,,,0,,,
fugl ,female,28,training_transfer,practice,f2,1,2,3,4,white,circle,,0,,0,Studerende,0,1,,1554965624538,no,1,,,0,,,0,,,
fugl ,female,28,training_transfer,practice,f2,1,2,4,4,white,star,,0,,0,Studerende,0,1,,1554965627098,no,1,,,0,,,0,,,
fugl ,female,28,training_transfer,practice,f2,1,2,5,4,white,star,,0,,0,Studerende,0,1,,1554965629658,no,1,,,0,,,0,,,
fugl ,female,28,training_transfer,practice,f2,1,2,6,4,white,triangle,,0,,0,Studerende,0,1,,1554965632218,no,1,,,0,,,0,,,
fugl ,female,28,training_transfer,practice,f2,1,2,7,4,white,triangle,,0,,0,Studerende,0,1,,1554965634778,no,1,,,0,,,0,,,
fugl ,female,28,training_transfer,practice,f2,1,2,8,4,white,star,,0,,0,Studerende,0,1,,1554965637338,no,1,,,0,,,0,,,
fugl ,female,28,training_transfer,practice,f2,1,2,9,4,white,circle,,0,,0,Studerende,0,1,,1554965639898,no,1,,,0,,,0,,,
fugl ,female,28,training_transfer,practice,f2,1,2,10,4,white,star,,0,,0,Studerende,1,0,,1554965642458,no,1,,,0,,,0,,,
fugl ,female,28,training_transfer,practice,f2,1,2,11,4,white,star,,0,,0,Studerende,0,1,,1554965645018,no,1,,,0,,,0,,,
fugl ,female,28,training_transfer,practice,f2,1,2,12,4,white,triangle,,0,,0,Studerende,0,1,,1554965647578,no,1,,,0,,,0,,,
fugl ,female,28,training_transfer,practice,f2,1,2,13,4,white,star,,0,,0,Studerende,1,0,,1554965650138,no,1,,,0,,,0,,,
fugl ,female,28,training_transfer,practice,f2,1,2,14,4,white,circle,,0,,0,Studerende,0,1,,1554965652698,no,1,,,0,,,0,,,
fugl ,female,28,training_transfer,practice,f2,1,2,15,4,white,triangle,,0,,0,Studerende,0,1,,1554965655258,no,1,,,0,,,0,,,
fugl ,female,28,training_transfer,practice,f2,1,2,16,4,white,circle,,0,,0,Studerende,1,0,,1554965657818,no,1,,,0,,,0,,,
fugl ,female,28,training_transfer,practice,f2,1,2,17,4,white,star,,0,,0,Studerende,0,1,,1554965660378,no,1,,,0,,,0,,,
fugl ,female,28,training_transfer,practice,f2,1,2,18,4,white,star,,0,,0,Studerende,0,1,,1554965662938,no,1,,,0,,,0,,,
fugl ,female,28,training_transfer,practice,f2,1,2,19,4,white,star,,0,,0,Studerende,1,0,,1554965665498,no,1,,,0,,,0,,,
fugl ,female,28,training_transfer,practice,f2,1,2,20,4,white,square,,0,,0,Studerende,0,1,,1554965668058,no,1,,,0,,,0,,,
fugl ,female,28,training_transfer,practice,f2,1,2,21,4,white,star,,0,,0,Studerende,1,0,,1554965670618,no,1,,,0,,,0,,,
fugl ,female,28,training_transfer,practice,f2,1,2,22,4,white,star,,0,,0,Studerende,0,1,,1554965673178,no,1,,,0,,,0,,,
fugl ,female,28,training_transfer,practice,f2,1,2,23,4,white,star,,0,,0,Studerende,1,0,,1554965675738,no,1,,,0,,,0,,,
fugl ,female,28,training_transfer,practice,f2,1,2,24,4,white,square,,0,,0,Studerende,0,1,,1554965678298,no,1,,,0,,,0,,,
fugl ,female,28,training_transfer,practice,f2,1,2,25,4,white,circle,,0,,0,Studerende,0,1,,1554965680858,no,1,,,0,,,0,,,
fugl ,female,28,training_transfer,practice,f2,1,2,26,4,white,circle,,0,,0,Studerende,0,1,,1554965683418,no,1,,,0,,,0,,,
fugl ,female,28,training_transfer,practice,f2,1,2,27,4,white,square,,0,,0,Studerende,0,1,,1554965685978,no,1,,,0,,,0,,,
fugl ,female,28,training_transfer,practice,f2,1,2,28,4,white,triangle,,0,,0,Studerende,0,1,,1554965688538,no,1,,,0,,,0,,,
fugl ,female,28,training_transfer,practice,f2,1,2,29,4,white,star,,0,,0,Studerende,0,1,,1554965691098,no,1,,,0,,,0,,,
fugl ,female,28,training_transfer,practice,f2,1,2,30,4,white,triangle,,0,,0,Studerende,1,0,,1554965693658,no,1,,,0,,,0,,,
fugl ,female,28,training_transfer,practice,f2,1,2,31,4,white,star,,0,,0,Studerende,1,0,,1554965696218,no,1,,,0,,,0,,,
fugl ,female,28,training_transfer,practice,f2,1,2,32,4,white,circle,,0,,0,Studerende,0,1,,1554965698778,no,1,,,0,,,0,,,
fugl ,female,28,training_transfer,practice,sc2,2,2,1,4,blue,circle,sounds\C.wav,1,0,,Studerende,,,0,1554965740638,no,0,,0,1,0,,0,,1,1
fugl ,female,28,training_transfer,practice,sc2,2,2,2,4,red,circle,sounds\T.wav,1,0,,Studerende,,,0,1554965743218,no,0,,0,1,1,,0,,0,1
fugl ,female,28,training_transfer,practice,sc2,2,2,3,4,yellow,circle,sounds\B.wav,1,0,,Studerende,,,0,1554965745778,no,0,,0,1,0,,0,,1,1
fugl ,female,28,training_transfer,practice,sc2,2,2,4,4,dimgray,circle,sounds\T.wav,1,1,,Studerende,,,0,1554965748338,no,0,,0,1,0,,0,,0,1
fugl ,female,28,training_transfer,practice,sc2,2,2,5,4,yellow,circle,sounds\P.wav,1,0,,Studerende,,,1,1554965750898,no,0,,0,1,0,,0,,1,0
fugl ,female,28,training_transfer,practice,sc2,2,2,6,4,yellow,circle,sounds\G.wav,1,0,,Studerende,,,0,1554965753478,no,0,,0,1,1,,0,,0,1
fugl ,female,28,training_transfer,practice,sc2,2,2,7,4,white,circle,sounds\B.wav,1,0,,Studerende,,,0,1554965756038,no,0,,0,1,0,,0,,1,1
fugl ,female,28,training_transfer,practice,sc2,2,2,8,4,blue,circle,sounds\G.wav,1,1,,Studerende,,,0,1554965758618,no,0,,1,1,0,,0,,0,0
fugl ,female,28,training_transfer,practice,sc2,2,2,9,4,red,circle,sounds\T.wav,1,0,,Studerende,,,0,1554965761178,no,0,,0,1,0,,0,,1,1
fugl ,female,28,training_transfer,practice,sc2,2,2,10,4,darkorange,circle,sounds\B.wav,1,0,,Studerende,,,0,1554965763738,no,0,,0,1,0,,0,,1,1
fugl ,female,28,training_transfer,practice,sc2,2,2,11,4,red,circle,sounds\V.wav,1,0,,Studerende,,,1,1554965766298,no,0,,0,1,0,,0,,1,0
fugl ,female,28,training_transfer,practice,sc2,2,2,12,4,red,circle,sounds\B.wav,1,1,,Studerende,,,0,1554965768858,no,0,,0,1,0,,0,,0,1
fugl ,female,28,training_transfer,practice,sc2,2,2,13,4,blue,circle,sounds\G.wav,1,0,,Studerende,,,0,1554965771418,no,0,,0,1,0,,0,,1,1
fugl ,female,28,training_transfer,practice,sc2,2,2,14,4,white,circle,sounds\G.wav,1,0,,Studerende,,,0,1554965773978,no,0,,0,1,0,,0,,1,1
fugl ,female,28,training_transfer,practice,sc2,2,2,15,4,blue,circle,sounds\G.wav,1,1,,Studerende,,,1,1554965776538,no,0,,0,1,0,,0,,0,0
fugl ,female,28,training_transfer,practice,sc2,2,2,16,4,dimgray,circle,sounds\E.wav,1,0,,Studerende,,,0,1554965779098,no,0,,0,1,0,,0,,1,1
fugl ,female,28,training_transfer,practice,sc2,2,2,17,4,dimgray,circle,sounds\C.wav,1,0,,Studerende,,,0,1554965781678,no,0,,1,1,0,,0,,1,0
fugl ,female,28,training_transfer,practice,sc2,2,2,18,4,dimgray,circle,sounds\P.wav,1,0,,Studerende,,,1,1554965784258,no,0,,1,1,0,,0,,1,1
fugl ,female,28,training_transfer,practice,sc2,2,2,19,4,dimgray,circle,sounds\V.wav,1,0,,Studerende,,,1,1554965786818,no,0,,0,1,0,,0,,1,0
fugl ,female,28,training_transfer,practice,sc2,2,2,20,4,darkorange,circle,sounds\T.wav,1,0,,Studerende,,,0,1554965789378,no,0,,0,1,0,,0,,1,1
fugl ,female,28,training_transfer,practice,sc2,2,2,21,4,dimgray,circle,sounds\V.wav,1,1,,Studerende,,,1,1554965791958,no,0,,0,1,1,,0,,1,0
fugl ,female,28,training_transfer,practice,sc2,2,2,22,4,red,circle,sounds\D.wav,1,0,,Studerende,,,0,1554965794518,no,0,,0,1,0,,0,,1,1
fugl ,female,28,training_transfer,practice,sc2,2,2,23,4,darkorange,circle,sounds\B.wav,1,0,,Studerende,,,0,1554965797078,no,0,,0,1,0,,0,,1,1
fugl ,female,28,training_transfer,practice,sc2,2,2,24,4,darkorange,circle,sounds\D.wav,1,1,,Studerende,,,0,1554965799638,no,0,,0,1,0,,0,,0,1
fugl ,female,28,training_transfer,practice,sc2,2,2,25,4,darkorange,circle,sounds\E.wav,1,0,,Studerende,,,1,1554965802218,no,0,,1,1,0,,0,,1,1
fugl ,female,28,training_transfer,practice,sc2,2,2,26,4,dimgray,circle,sounds\G.wav,1,0,,Studerende,,,0,1554965804778,no,0,,0,1,0,,0,,1,1
fugl ,female,28,training_transfer,practice,sc2,2,2,27,4,darkorange,circle,sounds\T.wav,1,0,,Studerende,,,1,1554965807368,no,0,,0,1,0,,0,,1,0
fugl ,female,28,training_transfer,practice,sc2,2,2,28,4,darkorange,circle,sounds\V.wav,1,0,,Studerende,,,0,1554965809928,no,0,,0,1,0,,0,,1,1
fugl ,female,28,training_transfer,practice,sc2,2,2,29,4,dimgray,circle,sounds\T.wav,1,1,,Studerende,,,0,1554965812488,no,0,,0,1,0,,0,,0,1
fugl ,female,28,training_transfer,practice,sc2,2,2,30,4,dimgray,circle,sounds\P.wav,1,0,,Studerende,,,0,1554965815048,no,0,,0,1,0,,0,,1,1
fugl ,female,28,training_transfer,practice,sc2,2,2,31,4,red,circle,sounds\T.wav,1,1,,Studerende,,,0,1554965817608,no,0,,0,1,0,,0,,0,1
fugl ,female,28,training_transfer,practice,sc2,2,2,32,4,darkorange,circle,sounds\G.wav,1,0,,Studerende,,,0,1554965820168,no,0,,0,1,0,,0,,1,1
fugl ,female,28,training_transfer,practice,pcfs1,4,1,1,7,green,circle,sounds\D.wav,1,0,0,Studerende,0,1,0,1554965837978,no,1,0,0,1,0,0,1,1,1,1
fugl ,female,28,training_transfer,practice,pcfs1,4,1,2,5,green,star,sounds\D.wav,1,1,0,Studerende,0,1,1,1554965841558,no,1,0,1,1,0,0,1,1,0,1
fugl ,female,28,training_transfer,practice,pcfs1,4,1,3,2,red,star,sounds\E.wav,1,0,0,Studerende,1,0,0,1554965845118,no,1,0,0,1,0,0,1,1,1,1
fugl ,female,28,training_transfer,practice,pcfs1,4,1,4,4,white,square,sounds\E.wav,1,1,0,Studerende,0,1,0,1554965848678,no,1,0,0,1,0,0,1,1,0,1
fugl ,female,28,training_transfer,practice,pcfs1,4,1,5,0,white,star,sounds\D.wav,1,0,0,Studerende,0,1,1,1554965852238,no,1,0,0,1,0,0,1,1,1,0
fugl ,female,28,training_transfer,practice,pcfs1,4,1,6,8,white,circle,sounds\D.wav,1,1,0,Studerende,0,1,1,1554965855818,no,1,0,0,1,1,0,1,1,1,0
fugl ,female,28,training_transfer,practice,pcfs1,4,1,7,4,red,triangle,sounds\D.wav,1,1,0,Studerende,0,1,0,1554965859378,no,1,0,0,1,0,0,1,1,0,1
fugl ,female,28,training_transfer,practice,pcfs1,4,1,8,5,red,star,sounds\V.wav,1,0,0,Studerende,0,1,1,1554965862958,no,1,0,1,1,0,0,1,1,1,1
