id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_score,simulate,position_target,sound_target,figure_target,timestamp,figure_score,figure_tested,figure_response,color_tested,color_target,sound_tested,position_tested,sound_response,sound_score,position_response,occupation,color_score,color_response
Gnu,male,22,training_train,practice,p1,1,1,1,3,white,circle,,1,no,0,,,1554986030887,,0,,0,,0,1,,,0,Studerende,,
Gnu,male,22,training_train,practice,p1,1,1,2,4,white,circle,,1,no,0,,,1554986033467,,0,,0,,0,1,,,0,Studerende,,
Gnu,male,22,training_train,practice,p1,1,1,3,4,white,circle,,0,no,1,,,1554986036039,,0,,0,,0,1,,,0,Studerende,,
Gnu,male,22,training_train,practice,p1,1,1,4,0,white,circle,,1,no,0,,,1554986038616,,0,,0,,0,1,,,0,Studerende,,
Gnu,male,22,training_train,practice,p1,1,1,5,0,white,circle,,0,no,1,,,1554986041185,,0,,0,,0,1,,,0,Studerende,,
Gnu,male,22,training_train,practice,p1,1,1,6,5,white,circle,,1,no,0,,,1554986043777,,0,,0,,0,1,,,0,Studerende,,
Gnu,male,22,training_train,practice,p1,1,1,7,6,white,circle,,1,no,0,,,1554986046352,,0,,0,,0,1,,,0,Studerende,,
Gnu,male,22,training_train,practice,p1,1,1,8,2,white,circle,,1,no,0,,,1554986048944,,0,,0,,0,1,,,0,Studerende,,
Gnu,male,22,training_train,practice,p1,1,1,9,6,white,circle,,1,no,0,,,1554986051516,,0,,0,,0,1,,,0,Studerende,,
Gnu,male,22,training_train,practice,p1,1,1,10,2,white,circle,,1,no,0,,,1554986054090,,0,,0,,0,1,,,0,Studerende,,
Gnu,male,22,training_train,practice,p1,1,1,11,3,white,circle,,1,no,0,,,1554986056665,,0,,0,,0,1,,,0,Studerende,,
Gnu,male,22,training_train,practice,p1,1,1,12,0,white,circle,,1,no,0,,,1554986059239,,0,,0,,0,1,,,0,Studerende,,
Gnu,male,22,training_train,practice,p1,1,1,13,7,white,circle,,1,no,0,,,1554986061811,,0,,0,,0,1,,,0,Studerende,,
Gnu,male,22,training_train,practice,p1,1,1,14,4,white,circle,,1,no,0,,,1554986064386,,0,,0,,0,1,,,0,Studerende,,
Gnu,male,22,training_train,practice,p1,1,1,15,4,white,circle,,0,no,1,,,1554986066960,,0,,0,,0,1,,,0,Studerende,,
Gnu,male,22,training_train,practice,p1,1,1,16,4,white,circle,,0,no,1,,,1554986069532,,0,,0,,0,1,,,0,Studerende,,
Gnu,male,22,training_train,practice,p1,1,1,17,8,white,circle,,1,no,0,,,1554986072106,,0,,0,,0,1,,,0,Studerende,,
Gnu,male,22,training_train,practice,p1,1,1,18,8,white,circle,,0,no,1,,,1554986074678,,0,,0,,0,1,,,0,Studerende,,
Gnu,male,22,training_train,practice,p1,1,1,19,1,white,circle,,1,no,0,,,1554986077265,,0,,0,,0,1,,,0,Studerende,,
Gnu,male,22,training_train,practice,p1,1,1,20,2,white,circle,,1,no,0,,,1554986079871,,0,,0,,0,1,,,0,Studerende,,
Gnu,male,22,training_train,practice,p1,1,1,21,0,white,circle,,1,no,0,,,1554986082451,,0,,0,,0,1,,,0,Studerende,,
Gnu,male,22,training_train,practice,p1,1,1,22,3,white,circle,,1,no,0,,,1554986085026,,0,,0,,0,1,,,0,Studerende,,
Gnu,male,22,training_train,practice,p1,1,1,23,7,white,circle,,0,no,0,,,1554986087606,,0,,0,,0,1,,,1,Studerende,,
Gnu,male,22,training_train,practice,p1,1,1,24,8,white,circle,,0,no,0,,,1554986090224,,0,,0,,0,1,,,1,Studerende,,
Gnu,male,22,training_train,practice,p1,1,1,25,2,white,circle,,1,no,0,,,1554986092793,,0,,0,,0,1,,,0,Studerende,,
Gnu,male,22,training_train,practice,p1,1,1,26,2,white,circle,,0,no,1,,,1554986095371,,0,,0,,0,1,,,0,Studerende,,
Gnu,male,22,training_train,practice,p1,1,1,27,5,white,circle,,1,no,0,,,1554986097953,,0,,0,,0,1,,,0,Studerende,,
Gnu,male,22,training_train,practice,p1,1,1,28,2,white,circle,,1,no,0,,,1554986100534,,0,,0,,0,1,,,0,Studerende,,
Gnu,male,22,training_train,practice,p1,1,1,29,2,white,circle,,0,no,1,,,1554986103106,,0,,0,,0,1,,,0,Studerende,,
Gnu,male,22,training_train,practice,p1,1,1,30,8,white,circle,,1,no,0,,,1554986105681,,0,,0,,0,1,,,0,Studerende,,
Gnu,male,22,training_train,practice,p1,1,1,31,8,white,circle,,0,no,1,,,1554986108252,,0,,0,,0,1,,,0,Studerende,,
Gnu,male,22,training_train,practice,f2,1,2,1,4,white,circle,,,no,,,0,1554986177862,1,1,0,0,,0,0,,,,Studerende,,
Gnu,male,22,training_train,practice,f2,1,2,2,4,white,square,,,no,,,0,1554986180434,1,1,0,0,,0,0,,,,Studerende,,
Gnu,male,22,training_train,practice,f2,1,2,3,4,white,square,,,no,,,0,1554986183029,0,1,1,0,,0,0,,,,Studerende,,
Gnu,male,22,training_train,practice,f2,1,2,4,4,white,square,,,no,,,1,1554986185615,1,1,1,0,,0,0,,,,Studerende,,
Gnu,male,22,training_train,practice,f2,1,2,5,4,white,square,,,no,,,1,1554986188189,0,1,0,0,,0,0,,,,Studerende,,
Gnu,male,22,training_train,practice,f2,1,2,6,4,white,triangle,,,no,,,0,1554986190764,1,1,0,0,,0,0,,,,Studerende,,
Gnu,male,22,training_train,practice,f2,1,2,7,4,white,circle,,,no,,,0,1554986193339,1,1,0,0,,0,0,,,,Studerende,,
Gnu,male,22,training_train,practice,f2,1,2,8,4,white,star,,,no,,,0,1554986195913,1,1,0,0,,0,0,,,,Studerende,,
Gnu,male,22,training_train,practice,f2,1,2,9,4,white,circle,,,no,,,1,1554986198499,1,1,1,0,,0,0,,,,Studerende,,
Gnu,male,22,training_train,practice,f2,1,2,10,4,white,star,,,no,,,1,1554986201091,1,1,1,0,,0,0,,,,Studerende,,
Gnu,male,22,training_train,practice,f2,1,2,11,4,white,square,,,no,,,0,1554986203678,0,1,1,0,,0,0,,,,Studerende,,
Gnu,male,22,training_train,practice,f2,1,2,12,4,white,star,,,no,,,1,1554986206258,0,1,0,0,,0,0,,,,Studerende,,
Gnu,male,22,training_train,practice,f2,1,2,13,4,white,circle,,,no,,,0,1554986208841,0,1,1,0,,0,0,,,,Studerende,,
Gnu,male,22,training_train,practice,f2,1,2,14,4,white,square,,,no,,,0,1554986211436,0,1,1,0,,0,0,,,,Studerende,,
Gnu,male,22,training_train,practice,f2,1,2,15,4,white,star,,,no,,,0,1554986214011,1,1,0,0,,0,0,,,,Studerende,,
Gnu,male,22,training_train,practice,f2,1,2,16,4,white,star,,,no,,,0,1554986216600,0,1,1,0,,0,0,,,,Studerende,,
