id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,occupation,sound_response,position_tested,color_score,figure_target,position_score,simulate,color_target,position_response,figure_tested,position_target,color_response,figure_score,sound_score,color_tested,sound_target,timestamp,figure_response,sound_tested
Gorilla,female,22,training_transfer,practice,p1,1,1,1,7,white,circle,,Studerende,,1,,,1,no,,0,0,0,,,,0,,1554982535192,,0
Gorilla,female,22,training_transfer,practice,p1,1,1,2,8,white,circle,,Studerende,,1,,,1,no,,0,0,0,,,,0,,1554982537767,,0
Gorilla,female,22,training_transfer,practice,p1,1,1,3,8,white,circle,,Studerende,,1,,,1,no,,1,0,1,,,,0,,1554982540365,,0
Gorilla,female,22,training_transfer,practice,p1,1,1,4,1,white,circle,,Studerende,,1,,,1,no,,0,0,0,,,,0,,1554982542945,,0
Gorilla,female,22,training_transfer,practice,p1,1,1,5,4,white,circle,,Studerende,,1,,,1,no,,0,0,0,,,,0,,1554982545520,,0
Gorilla,female,22,training_transfer,practice,p1,1,1,6,0,white,circle,,Studerende,,1,,,1,no,,0,0,0,,,,0,,1554982548094,,0
Gorilla,female,22,training_transfer,practice,p1,1,1,7,2,white,circle,,Studerende,,1,,,1,no,,0,0,0,,,,0,,1554982550668,,0
Gorilla,female,22,training_transfer,practice,p1,1,1,8,5,white,circle,,Studerende,,1,,,1,no,,0,0,0,,,,0,,1554982553240,,0
Gorilla,female,22,training_transfer,practice,p1,1,1,9,6,white,circle,,Studerende,,1,,,1,no,,0,0,0,,,,0,,1554982555812,,0
Gorilla,female,22,training_transfer,practice,p1,1,1,10,7,white,circle,,Studerende,,1,,,1,no,,0,0,0,,,,0,,1554982558386,,0
Gorilla,female,22,training_transfer,practice,p1,1,1,11,5,white,circle,,Studerende,,1,,,1,no,,0,0,0,,,,0,,1554982560961,,0
Gorilla,female,22,training_transfer,practice,p1,1,1,12,8,white,circle,,Studerende,,1,,,1,no,,0,0,0,,,,0,,1554982563535,,0
Gorilla,female,22,training_transfer,practice,p1,1,1,13,8,white,circle,,Studerende,,1,,,1,no,,1,0,1,,,,0,,1554982566124,,0
Gorilla,female,22,training_transfer,practice,p1,1,1,14,5,white,circle,,Studerende,,1,,,1,no,,0,0,0,,,,0,,1554982568699,,0
Gorilla,female,22,training_transfer,practice,p1,1,1,15,7,white,circle,,Studerende,,1,,,1,no,,0,0,0,,,,0,,1554982571273,,0
Gorilla,female,22,training_transfer,practice,p1,1,1,16,2,white,circle,,Studerende,,1,,,1,no,,0,0,0,,,,0,,1554982573845,,0
Gorilla,female,22,training_transfer,practice,p1,1,1,17,2,white,circle,,Studerende,,1,,,1,no,,1,0,1,,,,0,,1554982576434,,0
Gorilla,female,22,training_transfer,practice,p1,1,1,18,7,white,circle,,Studerende,,1,,,1,no,,0,0,0,,,,0,,1554982579008,,0
Gorilla,female,22,training_transfer,practice,p1,1,1,19,7,white,circle,,Studerende,,1,,,1,no,,1,0,1,,,,0,,1554982581595,,0
Gorilla,female,22,training_transfer,practice,p1,1,1,20,1,white,circle,,Studerende,,1,,,1,no,,0,0,0,,,,0,,1554982584174,,0
Gorilla,female,22,training_transfer,practice,p1,1,1,21,5,white,circle,,Studerende,,1,,,1,no,,0,0,0,,,,0,,1554982586747,,0
Gorilla,female,22,training_transfer,practice,p1,1,1,22,5,white,circle,,Studerende,,1,,,1,no,,1,0,1,,,,0,,1554982589333,,0
Gorilla,female,22,training_transfer,practice,p1,1,1,23,7,white,circle,,Studerende,,1,,,1,no,,0,0,0,,,,0,,1554982591910,,0
Gorilla,female,22,training_transfer,practice,p1,1,1,24,4,white,circle,,Studerende,,1,,,1,no,,0,0,0,,,,0,,1554982594485,,0
Gorilla,female,22,training_transfer,practice,p1,1,1,25,4,white,circle,,Studerende,,1,,,1,no,,1,0,1,,,,0,,1554982597071,,0
Gorilla,female,22,training_transfer,practice,p1,1,1,26,7,white,circle,,Studerende,,1,,,1,no,,0,0,0,,,,0,,1554982599648,,0
Gorilla,female,22,training_transfer,practice,p1,1,1,27,6,white,circle,,Studerende,,1,,,1,no,,0,0,0,,,,0,,1554982602223,,0
Gorilla,female,22,training_transfer,practice,p1,1,1,28,5,white,circle,,Studerende,,1,,,1,no,,0,0,0,,,,0,,1554982604794,,0
Gorilla,female,22,training_transfer,practice,p1,1,1,29,1,white,circle,,Studerende,,1,,,1,no,,0,0,0,,,,0,,1554982607369,,0
Gorilla,female,22,training_transfer,practice,p1,1,1,30,1,white,circle,,Studerende,,1,,,1,no,,1,0,1,,,,0,,1554982609958,,0
Gorilla,female,22,training_transfer,practice,p1,1,1,31,1,white,circle,,Studerende,,1,,,1,no,,1,0,1,,,,0,,1554982612550,,0
Gorilla,female,22,training_transfer,practice,f2,1,2,1,4,white,triangle,,Studerende,,0,,0,,no,,,1,,,1,,0,,1554982653708,0,0
Gorilla,female,22,training_transfer,practice,f2,1,2,2,4,white,triangle,,Studerende,,0,,0,,no,,,1,,,1,,0,,1554982656283,0,0
Gorilla,female,22,training_transfer,practice,f2,1,2,3,4,white,star,,Studerende,,0,,0,,no,,,1,,,1,,0,,1554982658857,0,0
Gorilla,female,22,training_transfer,practice,f2,1,2,4,4,white,square,,Studerende,,0,,0,,no,,,1,,,1,,0,,1554982661429,0,0
Gorilla,female,22,training_transfer,practice,f2,1,2,5,4,white,square,,Studerende,,0,,0,,no,,,1,,,1,,0,,1554982664003,0,0
Gorilla,female,22,training_transfer,practice,f2,1,2,6,4,white,circle,,Studerende,,0,,0,,no,,,1,,,1,,0,,1554982666578,0,0
Gorilla,female,22,training_transfer,practice,f2,1,2,7,4,white,circle,,Studerende,,0,,0,,no,,,1,,,1,,0,,1554982669152,0,0
Gorilla,female,22,training_transfer,practice,f2,1,2,8,4,white,circle,,Studerende,,0,,1,,no,,,1,,,1,,0,,1554982671741,1,0
Gorilla,female,22,training_transfer,practice,f2,1,2,9,4,white,circle,,Studerende,,0,,1,,no,,,1,,,1,,0,,1554982674325,1,0
Gorilla,female,22,training_transfer,practice,f2,1,2,10,4,white,triangle,,Studerende,,0,,0,,no,,,1,,,1,,0,,1554982676905,0,0
Gorilla,female,22,training_transfer,practice,f2,1,2,11,4,white,circle,,Studerende,,0,,1,,no,,,1,,,1,,0,,1554982679497,1,0
Gorilla,female,22,training_transfer,practice,f2,1,2,12,4,white,triangle,,Studerende,,0,,1,,no,,,1,,,1,,0,,1554982682080,1,0
Gorilla,female,22,training_transfer,practice,f2,1,2,13,4,white,triangle,,Studerende,,0,,0,,no,,,1,,,0,,0,,1554982684669,1,0
Gorilla,female,22,training_transfer,practice,f2,1,2,14,4,white,circle,,Studerende,,0,,0,,no,,,1,,,0,,0,,1554982687264,1,0
Gorilla,female,22,training_transfer,practice,f2,1,2,15,4,white,star,,Studerende,,0,,0,,no,,,1,,,1,,0,,1554982689838,0,0
Gorilla,female,22,training_transfer,practice,f2,1,2,16,4,white,circle,,Studerende,,0,,1,,no,,,1,,,1,,0,,1554982692425,1,0
Gorilla,female,22,training_transfer,practice,f2,1,2,17,4,white,triangle,,Studerende,,0,,0,,no,,,1,,,1,,0,,1554982695002,0,0
Gorilla,female,22,training_transfer,practice,f2,1,2,18,4,white,circle,,Studerende,,0,,1,,no,,,1,,,1,,0,,1554982697588,1,0
Gorilla,female,22,training_transfer,practice,f2,1,2,19,4,white,square,,Studerende,,0,,0,,no,,,1,,,1,,0,,1554982700166,0,0
Gorilla,female,22,training_transfer,practice,f2,1,2,20,4,white,star,,Studerende,,0,,0,,no,,,1,,,1,,0,,1554982702740,0,0
Gorilla,female,22,training_transfer,practice,f2,1,2,21,4,white,circle,,Studerende,,0,,0,,no,,,1,,,0,,0,,1554982705326,1,0
Gorilla,female,22,training_transfer,practice,f2,1,2,22,4,white,circle,,Studerende,,0,,0,,no,,,1,,,1,,0,,1554982707904,0,0
Gorilla,female,22,training_transfer,practice,f2,1,2,23,4,white,triangle,,Studerende,,0,,0,,no,,,1,,,1,,0,,1554982710478,0,0
Gorilla,female,22,training_transfer,practice,f2,1,2,24,4,white,circle,,Studerende,,0,,1,,no,,,1,,,1,,0,,1554982713067,1,0
Gorilla,female,22,training_transfer,practice,f2,1,2,25,4,white,square,,Studerende,,0,,0,,no,,,1,,,1,,0,,1554982715642,0,0
Gorilla,female,22,training_transfer,practice,f2,1,2,26,4,white,star,,Studerende,,0,,0,,no,,,1,,,1,,0,,1554982718216,0,0
Gorilla,female,22,training_transfer,practice,f2,1,2,27,4,white,circle,,Studerende,,0,,0,,no,,,1,,,1,,0,,1554982720788,0,0
Gorilla,female,22,training_transfer,practice,f2,1,2,28,4,white,triangle,,Studerende,,0,,0,,no,,,1,,,1,,0,,1554982723362,0,0
Gorilla,female,22,training_transfer,practice,f2,1,2,29,4,white,triangle,,Studerende,,0,,0,,no,,,1,,,1,,0,,1554982725937,0,0
Gorilla,female,22,training_transfer,practice,f2,1,2,30,4,white,circle,,Studerende,,0,,0,,no,,,1,,,1,,0,,1554982728508,0,0
Gorilla,female,22,training_transfer,practice,f2,1,2,31,4,white,circle,,Studerende,,0,,0,,no,,,1,,,1,,0,,1554982731083,0,0
Gorilla,female,22,training_transfer,practice,f2,1,2,32,4,white,circle,,Studerende,,0,,1,,no,,,1,,,1,,0,,1554982733669,1,0
Gorilla,female,22,training_transfer,practice,sc2,2,2,1,4,blue,circle,sounds/T.wav,Studerende,0,0,1,,,no,0,,0,,0,,1,1,0,1554982750219,,1
Gorilla,female,22,training_transfer,practice,sc2,2,2,2,4,red,circle,sounds/C.wav,Studerende,0,0,1,,,no,0,,0,,0,,1,1,0,1554982752791,,1
Gorilla,female,22,training_transfer,practice,sc2,2,2,3,4,dimgray,circle,sounds/E.wav,Studerende,0,0,1,,,no,0,,0,,0,,1,1,0,1554982755365,,1
