id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,figure_target,occupation,position_tested,position_score,sound_target,figure_tested,position_response,figure_score,color_score,figure_response,timestamp,position_target,sound_score,simulate,sound_tested,color_target,color_response,color_tested,sound_response
Hest,male,20,training_transfer,practice,p1,1,1,1,7,white,circle,,,Studerende,1,1,,0,0,,,,1554976175948,0,,no,0,,,0,
Hest,male,20,training_transfer,practice,p1,1,1,2,7,white,circle,,,Studerende,1,0,,0,0,,,,1554976178517,1,,no,0,,,0,
Hest,male,20,training_transfer,practice,p1,1,1,3,4,white,circle,,,Studerende,1,1,,0,0,,,,1554976181094,0,,no,0,,,0,
Hest,male,20,training_transfer,practice,p1,1,1,4,4,white,circle,,,Studerende,1,1,,0,1,,,,1554976183683,1,,no,0,,,0,
Hest,male,20,training_transfer,practice,p1,1,1,5,5,white,circle,,,Studerende,1,1,,0,0,,,,1554976186258,0,,no,0,,,0,
Hest,male,20,training_transfer,practice,p1,1,1,6,6,white,circle,,,Studerende,1,1,,0,0,,,,1554976188830,0,,no,0,,,0,
Hest,male,20,training_transfer,practice,p1,1,1,7,7,white,circle,,,Studerende,1,1,,0,0,,,,1554976191404,0,,no,0,,,0,
Hest,male,20,training_transfer,practice,p1,1,1,8,8,white,circle,,,Studerende,1,1,,0,0,,,,1554976193979,0,,no,0,,,0,
Hest,male,20,training_transfer,practice,p1,1,1,9,5,white,circle,,,Studerende,1,1,,0,0,,,,1554976196551,0,,no,0,,,0,
Hest,male,20,training_transfer,practice,p1,1,1,10,1,white,circle,,,Studerende,1,1,,0,0,,,,1554976199125,0,,no,0,,,0,
Hest,male,20,training_transfer,practice,p1,1,1,11,1,white,circle,,,Studerende,1,1,,0,1,,,,1554976201713,1,,no,0,,,0,
Hest,male,20,training_transfer,practice,p1,1,1,12,1,white,circle,,,Studerende,1,0,,0,0,,,,1554976204289,1,,no,0,,,0,
Hest,male,20,training_transfer,practice,p1,1,1,13,0,white,circle,,,Studerende,1,1,,0,0,,,,1554976206864,0,,no,0,,,0,
Hest,male,20,training_transfer,practice,p1,1,1,14,7,white,circle,,,Studerende,1,1,,0,0,,,,1554976209438,0,,no,0,,,0,
Hest,male,20,training_transfer,practice,p1,1,1,15,7,white,circle,,,Studerende,1,1,,0,1,,,,1554976212027,1,,no,0,,,0,
Hest,male,20,training_transfer,practice,p1,1,1,16,5,white,circle,,,Studerende,1,1,,0,0,,,,1554976214599,0,,no,0,,,0,
Hest,male,20,training_transfer,practice,p1,1,1,17,6,white,circle,,,Studerende,1,1,,0,0,,,,1554976217173,0,,no,0,,,0,
Hest,male,20,training_transfer,practice,p1,1,1,18,0,white,circle,,,Studerende,1,1,,0,0,,,,1554976219748,0,,no,0,,,0,
Hest,male,20,training_transfer,practice,p1,1,1,19,0,white,circle,,,Studerende,1,1,,0,1,,,,1554976222340,1,,no,0,,,0,
Hest,male,20,training_transfer,practice,p1,1,1,20,5,white,circle,,,Studerende,1,1,,0,0,,,,1554976224912,0,,no,0,,,0,
Hest,male,20,training_transfer,practice,p1,1,1,21,7,white,circle,,,Studerende,1,1,,0,0,,,,1554976227486,0,,no,0,,,0,
Hest,male,20,training_transfer,practice,p1,1,1,22,1,white,circle,,,Studerende,1,1,,0,0,,,,1554976230058,0,,no,0,,,0,
Hest,male,20,training_transfer,practice,p1,1,1,23,8,white,circle,,,Studerende,1,1,,0,0,,,,1554976232633,0,,no,0,,,0,
Hest,male,20,training_transfer,practice,p1,1,1,24,4,white,circle,,,Studerende,1,1,,0,0,,,,1554976235207,0,,no,0,,,0,
Hest,male,20,training_transfer,practice,p1,1,1,25,0,white,circle,,,Studerende,1,1,,0,0,,,,1554976237779,0,,no,0,,,0,
Hest,male,20,training_transfer,practice,p1,1,1,26,0,white,circle,,,Studerende,1,1,,0,1,,,,1554976240371,1,,no,0,,,0,
Hest,male,20,training_transfer,practice,p1,1,1,27,4,white,circle,,,Studerende,1,1,,0,0,,,,1554976242946,0,,no,0,,,0,
Hest,male,20,training_transfer,practice,p1,1,1,28,8,white,circle,,,Studerende,1,1,,0,0,,,,1554976245517,0,,no,0,,,0,
Hest,male,20,training_transfer,practice,p1,1,1,29,8,white,circle,,,Studerende,1,1,,0,1,,,,1554976248106,1,,no,0,,,0,
Hest,male,20,training_transfer,practice,p1,1,1,30,3,white,circle,,,Studerende,1,1,,0,0,,,,1554976250681,0,,no,0,,,0,
Hest,male,20,training_transfer,practice,p1,1,1,31,5,white,circle,,,Studerende,1,1,,0,0,,,,1554976253255,0,,no,0,,,0,
Hest,male,20,training_transfer,practice,f2,1,2,1,4,white,triangle,,0,Studerende,0,,,1,,1,,0,1554976300333,,,no,0,,,0,
Hest,male,20,training_transfer,practice,f2,1,2,2,4,white,square,,0,Studerende,0,,,1,,1,,0,1554976302907,,,no,0,,,0,
Hest,male,20,training_transfer,practice,f2,1,2,3,4,white,star,,0,Studerende,0,,,1,,1,,0,1554976305477,,,no,0,,,0,
Hest,male,20,training_transfer,practice,f2,1,2,4,4,white,square,,1,Studerende,0,,,1,,1,,1,1554976308065,,,no,0,,,0,
Hest,male,20,training_transfer,practice,f2,1,2,5,4,white,circle,,0,Studerende,0,,,1,,1,,0,1554976310643,,,no,0,,,0,
Hest,male,20,training_transfer,practice,f2,1,2,6,4,white,star,,0,Studerende,0,,,1,,1,,0,1554976313217,,,no,0,,,0,
Hest,male,20,training_transfer,practice,f2,1,2,7,4,white,circle,,1,Studerende,0,,,1,,1,,1,1554976315800,,,no,0,,,0,
Hest,male,20,training_transfer,practice,f2,1,2,8,4,white,circle,,0,Studerende,0,,,1,,1,,0,1554976318381,,,no,0,,,0,
Hest,male,20,training_transfer,practice,f2,1,2,9,4,white,circle,,1,Studerende,0,,,1,,0,,0,1554976320955,,,no,0,,,0,
Hest,male,20,training_transfer,practice,f2,1,2,10,4,white,square,,0,Studerende,0,,,1,,1,,0,1554976323530,,,no,0,,,0,
Hest,male,20,training_transfer,practice,f2,1,2,11,4,white,circle,,1,Studerende,0,,,1,,0,,0,1554976326101,,,no,0,,,0,
Hest,male,20,training_transfer,practice,f2,1,2,12,4,white,triangle,,0,Studerende,0,,,1,,1,,0,1554976328676,,,no,0,,,0,
Hest,male,20,training_transfer,practice,f2,1,2,13,4,white,circle,,1,Studerende,0,,,1,,0,,0,1554976331248,,,no,0,,,0,
Hest,male,20,training_transfer,practice,f2,1,2,14,4,white,square,,0,Studerende,0,,,1,,1,,0,1554976333823,,,no,0,,,0,
Hest,male,20,training_transfer,practice,f2,1,2,15,4,white,triangle,,0,Studerende,0,,,1,,0,,1,1554976336412,,,no,0,,,0,
Hest,male,20,training_transfer,practice,f2,1,2,16,4,white,triangle,,0,Studerende,0,,,1,,1,,0,1554976338981,,,no,0,,,0,
Hest,male,20,training_transfer,practice,f2,1,2,17,4,white,square,,0,Studerende,0,,,1,,1,,0,1554976341561,,,no,0,,,0,
Hest,male,20,training_transfer,practice,f2,1,2,18,4,white,square,,0,Studerende,0,,,1,,1,,0,1554976344132,,,no,0,,,0,
Hest,male,20,training_transfer,practice,f2,1,2,19,4,white,star,,0,Studerende,0,,,1,,1,,0,1554976346706,,,no,0,,,0,
Hest,male,20,training_transfer,practice,f2,1,2,20,4,white,triangle,,0,Studerende,0,,,1,,1,,0,1554976349295,,,no,0,,,0,
Hest,male,20,training_transfer,practice,f2,1,2,21,4,white,star,,1,Studerende,0,,,1,,1,,1,1554976351885,,,no,0,,,0,
Hest,male,20,training_transfer,practice,f2,1,2,22,4,white,square,,0,Studerende,0,,,1,,1,,0,1554976354460,,,no,0,,,0,
Hest,male,20,training_transfer,practice,f2,1,2,23,4,white,star,,1,Studerende,0,,,1,,1,,1,1554976357049,,,no,0,,,0,
Hest,male,20,training_transfer,practice,f2,1,2,24,4,white,star,,0,Studerende,0,,,1,,1,,0,1554976359625,,,no,0,,,0,
Hest,male,20,training_transfer,practice,f2,1,2,25,4,white,square,,0,Studerende,0,,,1,,1,,0,1554976362198,,,no,0,,,0,
Hest,male,20,training_transfer,practice,f2,1,2,26,4,white,circle,,0,Studerende,0,,,1,,1,,0,1554976364773,,,no,0,,,0,
Hest,male,20,training_transfer,practice,f2,1,2,27,4,white,star,,0,Studerende,0,,,1,,1,,0,1554976367347,,,no,0,,,0,
