id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,figure_score,position_score,sound_target,sound_response,position_target,figure_tested,timestamp,simulate,occupation,sound_score,position_tested,position_response,figure_response,sound_tested,color_tested,color_target,color_response,color_score,figure_target
hyane,female,21,training_transfer,practice,p1,1,1,1,4,white,circle,,,1,,,0,0,1555072777219,no,Studerende,,1,0,,0,0,,,,
hyane,female,21,training_transfer,practice,p1,1,1,2,2,white,circle,,,1,,,0,0,1555072779793,no,Studerende,,1,0,,0,0,,,,
hyane,female,21,training_transfer,practice,p1,1,1,3,2,white,circle,,,1,,,1,0,1555072782394,no,Studerende,,1,1,,0,0,,,,
hyane,female,21,training_transfer,practice,p1,1,1,4,3,white,circle,,,1,,,0,0,1555072784963,no,Studerende,,1,0,,0,0,,,,
hyane,female,21,training_transfer,practice,p1,1,1,5,5,white,circle,,,1,,,0,0,1555072787531,no,Studerende,,1,0,,0,0,,,,
hyane,female,21,training_transfer,practice,p1,1,1,6,3,white,circle,,,0,,,0,0,1555072790114,no,Studerende,,1,1,,0,0,,,,
hyane,female,21,training_transfer,practice,p1,1,1,7,4,white,circle,,,1,,,0,0,1555072792678,no,Studerende,,1,0,,0,0,,,,
hyane,female,21,training_transfer,practice,p1,1,1,8,0,white,circle,,,1,,,0,0,1555072795252,no,Studerende,,1,0,,0,0,,,,
hyane,female,21,training_transfer,practice,p1,1,1,9,7,white,circle,,,1,,,0,0,1555072797818,no,Studerende,,1,0,,0,0,,,,
hyane,female,21,training_transfer,practice,p1,1,1,10,1,white,circle,,,1,,,0,0,1555072800386,no,Studerende,,1,0,,0,0,,,,
hyane,female,21,training_transfer,practice,p1,1,1,11,8,white,circle,,,1,,,0,0,1555072802952,no,Studerende,,1,0,,0,0,,,,
hyane,female,21,training_transfer,practice,p1,1,1,12,8,white,circle,,,1,,,1,0,1555072805538,no,Studerende,,1,1,,0,0,,,,
hyane,female,21,training_transfer,practice,p1,1,1,13,2,white,circle,,,1,,,0,0,1555072808107,no,Studerende,,1,0,,0,0,,,,
