id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_response,color_response,position_tested,timestamp,figure_target,sound_target,figure_response,sound_score,occupation,color_tested,color_score,simulate,position_target,color_target,position_score,sound_tested,figure_score,figure_tested,sound_response
Igle,male,27,training_train,practice,p1,1,1,1,2,white,circle,,0,,1,1555586730206,,,,,I arbejde,0,,no,0,,1,0,,0,
Igle,male,27,training_train,practice,p1,1,1,2,0,white,circle,,0,,1,1555586732774,,,,,I arbejde,0,,no,0,,1,0,,0,
Igle,male,27,training_train,practice,p1,1,1,3,0,white,circle,,1,,1,1555586735367,,,,,I arbejde,0,,no,1,,1,0,,0,
Igle,male,27,training_train,practice,p1,1,1,4,0,white,circle,,1,,1,1555586737958,,,,,I arbejde,0,,no,1,,1,0,,0,
Igle,male,27,training_train,practice,p1,1,1,5,8,white,circle,,0,,1,1555586740533,,,,,I arbejde,0,,no,0,,1,0,,0,
Igle,male,27,training_train,practice,p1,1,1,6,1,white,circle,,0,,1,1555586743108,,,,,I arbejde,0,,no,0,,1,0,,0,
Igle,male,27,training_train,practice,p1,1,1,7,2,white,circle,,0,,1,1555586745683,,,,,I arbejde,0,,no,0,,1,0,,0,
Igle,male,27,training_train,practice,p1,1,1,8,1,white,circle,,0,,1,1555586748254,,,,,I arbejde,0,,no,0,,1,0,,0,
Igle,male,27,training_train,practice,p1,1,1,9,1,white,circle,,1,,1,1555586750843,,,,,I arbejde,0,,no,1,,1,0,,0,
Igle,male,27,training_train,practice,p1,1,1,10,8,white,circle,,0,,1,1555586753420,,,,,I arbejde,0,,no,0,,1,0,,0,
Igle,male,27,training_train,practice,p1,1,1,11,6,white,circle,,1,,1,1555586756010,,,,,I arbejde,0,,no,0,,0,0,,0,
Igle,male,27,training_train,practice,p1,1,1,12,6,white,circle,,1,,1,1555586758599,,,,,I arbejde,0,,no,1,,1,0,,0,
Igle,male,27,training_train,practice,p1,1,1,13,0,white,circle,,0,,1,1555586761173,,,,,I arbejde,0,,no,0,,1,0,,0,
Igle,male,27,training_train,practice,p1,1,1,14,0,white,circle,,1,,1,1555586763763,,,,,I arbejde,0,,no,1,,1,0,,0,
Igle,male,27,training_train,practice,p1,1,1,15,0,white,circle,,1,,1,1555586766355,,,,,I arbejde,0,,no,1,,1,0,,0,
Igle,male,27,training_train,practice,p1,1,1,16,5,white,circle,,0,,1,1555586768944,,,,,I arbejde,0,,no,0,,1,0,,0,
Igle,male,27,training_train,practice,p1,1,1,17,2,white,circle,,0,,1,1555586771518,,,,,I arbejde,0,,no,0,,1,0,,0,
Igle,male,27,training_train,practice,p1,1,1,18,2,white,circle,,1,,1,1555586774108,,,,,I arbejde,0,,no,1,,1,0,,0,
Igle,male,27,training_train,practice,p1,1,1,19,8,white,circle,,0,,1,1555586776682,,,,,I arbejde,0,,no,0,,1,0,,0,
Igle,male,27,training_train,practice,p1,1,1,20,4,white,circle,,0,,1,1555586779257,,,,,I arbejde,0,,no,0,,1,0,,0,
Igle,male,27,training_train,practice,p1,1,1,21,3,white,circle,,0,,1,1555586781843,,,,,I arbejde,0,,no,0,,1,0,,0,
Igle,male,27,training_train,practice,p1,1,1,22,4,white,circle,,0,,1,1555586784420,,,,,I arbejde,0,,no,0,,1,0,,0,
Igle,male,27,training_train,practice,p1,1,1,23,6,white,circle,,0,,1,1555586786992,,,,,I arbejde,0,,no,0,,1,0,,0,
Igle,male,27,training_train,practice,p1,1,1,24,4,white,circle,,0,,1,1555586789567,,,,,I arbejde,0,,no,0,,1,0,,0,
Igle,male,27,training_train,practice,p1,1,1,25,4,white,circle,,1,,1,1555586792156,,,,,I arbejde,0,,no,1,,1,0,,0,
Igle,male,27,training_train,practice,p1,1,1,26,5,white,circle,,0,,1,1555586794730,,,,,I arbejde,0,,no,0,,1,0,,0,
Igle,male,27,training_train,practice,p1,1,1,27,2,white,circle,,0,,1,1555586797305,,,,,I arbejde,0,,no,0,,1,0,,0,
Igle,male,27,training_train,practice,p1,1,1,28,8,white,circle,,0,,1,1555586799877,,,,,I arbejde,0,,no,0,,1,0,,0,
Igle,male,27,training_train,practice,p1,1,1,29,2,white,circle,,0,,1,1555586802451,,,,,I arbejde,0,,no,0,,1,0,,0,
Igle,male,27,training_train,practice,p1,1,1,30,4,white,circle,,0,,1,1555586805026,,,,,I arbejde,0,,no,0,,1,0,,0,
Igle,male,27,training_train,practice,p1,1,1,31,7,white,circle,,1,,1,1555586807612,,,,,I arbejde,0,,no,0,,0,0,,0,
Igle,male,27,training_train,practice,f2,1,2,1,4,white,circle,,,,0,1555586818747,0,,0,,I arbejde,0,,no,,,,0,1,1,
Igle,male,27,training_train,practice,f2,1,2,2,4,white,star,,,,0,1555586821318,0,,0,,I arbejde,0,,no,,,,0,1,1,
Igle,male,27,training_train,practice,f2,1,2,3,4,white,square,,,,0,1555586823893,0,,0,,I arbejde,0,,no,,,,0,1,1,
Igle,male,27,training_train,practice,f2,1,2,4,4,white,circle,,,,0,1555586826462,0,,0,,I arbejde,0,,no,,,,0,1,1,
Igle,male,27,training_train,practice,f2,1,2,5,4,white,star,,,,0,1555586829042,0,,0,,I arbejde,0,,no,,,,0,1,1,
Igle,male,27,training_train,practice,f2,1,2,6,4,white,triangle,,,,0,1555586831614,0,,0,,I arbejde,0,,no,,,,0,1,1,
Igle,male,27,training_train,practice,f2,1,2,7,4,white,circle,,,,0,1555586834188,0,,0,,I arbejde,0,,no,,,,0,1,1,
Igle,male,27,training_train,practice,f2,1,2,8,4,white,square,,,,0,1555586836760,0,,0,,I arbejde,0,,no,,,,0,1,1,
Igle,male,27,training_train,practice,f2,1,2,9,4,white,square,,,,0,1555586839346,0,,1,,I arbejde,0,,no,,,,0,0,1,
Igle,male,27,training_train,practice,f2,1,2,10,4,white,square,,,,0,1555586841941,1,,1,,I arbejde,0,,no,,,,0,1,1,
Igle,male,27,training_train,practice,f2,1,2,11,4,white,square,,,,0,1555586844533,1,,1,,I arbejde,0,,no,,,,0,1,1,
Igle,male,27,training_train,practice,f2,1,2,12,4,white,circle,,,,0,1555586847105,0,,0,,I arbejde,0,,no,,,,0,1,1,
Igle,male,27,training_train,practice,f2,1,2,13,4,white,circle,,,,0,1555586849694,0,,1,,I arbejde,0,,no,,,,0,0,1,
Igle,male,27,training_train,practice,f2,1,2,14,4,white,star,,,,0,1555586852266,0,,0,,I arbejde,0,,no,,,,0,1,1,
Igle,male,27,training_train,practice,f2,1,2,15,4,white,star,,,,0,1555586854861,0,,1,,I arbejde,0,,no,,,,0,0,1,
Igle,male,27,training_train,practice,f2,1,2,16,4,white,star,,,,0,1555586857444,1,,1,,I arbejde,0,,no,,,,0,1,1,
Igle,male,27,training_train,practice,f2,1,2,17,4,white,square,,,,0,1555586860024,0,,0,,I arbejde,0,,no,,,,0,1,1,
Igle,male,27,training_train,practice,f2,1,2,18,4,white,star,,,,0,1555586862610,1,,1,,I arbejde,0,,no,,,,0,1,1,
Igle,male,27,training_train,practice,f2,1,2,19,4,white,star,,,,0,1555586865194,0,,1,,I arbejde,0,,no,,,,0,0,1,
Igle,male,27,training_train,practice,f2,1,2,20,4,white,circle,,,,0,1555586867760,0,,0,,I arbejde,0,,no,,,,0,1,1,
Igle,male,27,training_train,practice,f2,1,2,21,4,white,triangle,,,,0,1555586870334,0,,0,,I arbejde,0,,no,,,,0,1,1,
Igle,male,27,training_train,practice,f2,1,2,22,4,white,circle,,,,0,1555586872926,1,,1,,I arbejde,0,,no,,,,0,1,1,
Igle,male,27,training_train,practice,f2,1,2,23,4,white,circle,,,,0,1555586875510,0,,1,,I arbejde,0,,no,,,,0,0,1,
Igle,male,27,training_train,practice,f2,1,2,24,4,white,circle,,,,0,1555586878102,1,,1,,I arbejde,0,,no,,,,0,1,1,
Igle,male,27,training_train,practice,f2,1,2,25,4,white,square,,,,0,1555586880676,0,,0,,I arbejde,0,,no,,,,0,1,1,
Igle,male,27,training_train,practice,f2,1,2,26,4,white,star,,,,0,1555586883254,0,,0,,I arbejde,0,,no,,,,0,1,1,
Igle,male,27,training_train,practice,f2,1,2,27,4,white,circle,,,,0,1555586885843,0,,1,,I arbejde,0,,no,,,,0,0,1,
Igle,male,27,training_train,practice,f2,1,2,28,4,white,star,,,,0,1555586888432,1,,1,,I arbejde,0,,no,,,,0,1,1,
Igle,male,27,training_train,practice,f2,1,2,29,4,white,star,,,,0,1555586891009,0,,0,,I arbejde,0,,no,,,,0,1,1,
Igle,male,27,training_train,practice,f2,1,2,30,4,white,circle,,,,0,1555586893596,0,,1,,I arbejde,0,,no,,,,0,0,1,
Igle,male,27,training_train,practice,f2,1,2,31,4,white,star,,,,0,1555586896170,1,,0,,I arbejde,0,,no,,,,0,0,1,
Igle,male,27,training_train,practice,f2,1,2,32,4,white,square,,,,0,1555586898745,0,,0,,I arbejde,0,,no,,,,0,1,1,
Igle,male,27,training_train,practice,sc2,2,2,1,4,yellow,circle,sounds/P.wav,,0,0,1555586911178,,0,,1,I arbejde,1,1,no,,0,,1,,0,0
Igle,male,27,training_train,practice,sc2,2,2,2,4,blue,circle,sounds/C.wav,,0,0,1555586913755,,0,,1,I arbejde,1,1,no,,0,,1,,0,0
Igle,male,27,training_train,practice,sc2,2,2,3,4,darkorange,circle,sounds/V.wav,,0,0,1555586916327,,0,,1,I arbejde,1,1,no,,0,,1,,0,0
Igle,male,27,training_train,practice,sc2,2,2,4,4,red,circle,sounds/P.wav,,0,0,1555586918895,,0,,1,I arbejde,1,1,no,,0,,1,,0,0
Igle,male,27,training_train,practice,sc2,2,2,5,4,yellow,circle,sounds/V.wav,,0,0,1555586921497,,1,,1,I arbejde,1,1,no,,0,,1,,0,1
Igle,male,27,training_train,practice,sc2,2,2,6,4,red,circle,sounds/P.wav,,0,0,1555586924063,,1,,0,I arbejde,1,0,no,,1,,1,,0,0
Igle,male,27,training_train,practice,sc2,2,2,7,4,green,circle,sounds/G.wav,,0,0,1555586926637,,0,,1,I arbejde,1,1,no,,0,,1,,0,0
Igle,male,27,training_train,practice,sc2,2,2,8,4,red,circle,sounds/P.wav,,1,0,1555586929229,,1,,1,I arbejde,1,1,no,,1,,1,,0,1
Igle,male,27,training_train,practice,sc2,2,2,9,4,yellow,circle,sounds/T.wav,,0,0,1555586931801,,0,,1,I arbejde,1,1,no,,0,,1,,0,0
Igle,male,27,training_train,practice,sc2,2,2,10,4,red,circle,sounds/D.wav,,0,0,1555586934375,,0,,1,I arbejde,1,0,no,,1,,1,,0,0
Igle,male,27,training_train,practice,sc2,2,2,11,4,darkorange,circle,sounds/B.wav,,0,0,1555586936947,,0,,1,I arbejde,1,1,no,,0,,1,,0,0
Igle,male,27,training_train,practice,sc2,2,2,12,4,green,circle,sounds/D.wav,,0,0,1555586939536,,1,,1,I arbejde,1,1,no,,0,,1,,0,1
Igle,male,27,training_train,practice,sc2,2,2,13,4,darkorange,circle,sounds/C.wav,,0,0,1555586942134,,0,,0,I arbejde,1,0,no,,1,,1,,0,1
Igle,male,27,training_train,practice,sc2,2,2,14,4,red,circle,sounds/G.wav,,0,0,1555586944717,,0,,1,I arbejde,1,1,no,,0,,1,,0,0
Igle,male,27,training_train,practice,sc2,2,2,15,4,blue,circle,sounds/C.wav,,0,0,1555586947292,,1,,0,I arbejde,1,1,no,,0,,1,,0,0
Igle,male,27,training_train,practice,sc2,2,2,16,4,blue,circle,sounds/B.wav,,1,0,1555586949874,,0,,1,I arbejde,1,0,no,,0,,1,,0,0
Igle,male,27,training_train,practice,sc2,2,2,17,4,green,circle,sounds/C.wav,,0,0,1555586952467,,1,,1,I arbejde,1,1,no,,0,,1,,0,1
Igle,male,27,training_train,practice,sc2,2,2,18,4,red,circle,sounds/D.wav,,1,0,1555586955052,,0,,1,I arbejde,1,0,no,,0,,1,,0,0
Igle,male,27,training_train,practice,sc2,2,2,19,4,green,circle,sounds/E.wav,,1,0,1555586957634,,0,,1,I arbejde,1,1,no,,1,,1,,0,0
Igle,male,27,training_train,practice,sc2,2,2,20,4,darkorange,circle,sounds/P.wav,,0,0,1555586960211,,0,,1,I arbejde,1,1,no,,0,,1,,0,0
Igle,male,27,training_train,practice,sc2,2,2,21,4,green,circle,sounds/E.wav,,0,0,1555586962809,,1,,1,I arbejde,1,0,no,,1,,1,,0,1
Igle,male,27,training_train,practice,sc2,2,2,22,4,darkorange,circle,sounds/D.wav,,0,0,1555586965387,,0,,1,I arbejde,1,0,no,,1,,1,,0,0
Igle,male,27,training_train,practice,sc2,2,2,23,4,blue,circle,sounds/B.wav,,0,0,1555586967961,,0,,1,I arbejde,1,1,no,,0,,1,,0,0
Igle,male,27,training_train,practice,sc2,2,2,24,4,red,circle,sounds/D.wav,,0,0,1555586970539,,1,,0,I arbejde,1,1,no,,0,,1,,0,0
Igle,male,27,training_train,practice,sc2,2,2,25,4,green,circle,sounds/T.wav,,0,0,1555586973110,,0,,1,I arbejde,1,1,no,,0,,1,,0,0
Igle,male,27,training_train,practice,sc2,2,2,26,4,darkorange,circle,sounds/P.wav,,0,0,1555586975685,,0,,1,I arbejde,1,1,no,,0,,1,,0,0
Igle,male,27,training_train,practice,sc2,2,2,27,4,dimgray,circle,sounds/G.wav,,0,0,1555586978259,,0,,1,I arbejde,1,1,no,,0,,1,,0,0
Igle,male,27,training_train,practice,sc2,2,2,28,4,dimgray,circle,sounds/E.wav,,1,0,1555586980851,,0,,1,I arbejde,1,0,no,,0,,1,,0,0
Igle,male,27,training_train,practice,sc2,2,2,29,4,dimgray,circle,sounds/T.wav,,1,0,1555586983446,,0,,1,I arbejde,1,1,no,,1,,1,,0,0
Igle,male,27,training_train,practice,sc2,2,2,30,4,white,circle,sounds/C.wav,,0,0,1555586986036,,0,,0,I arbejde,1,1,no,,0,,1,,0,1
Igle,male,27,training_train,practice,sc2,2,2,31,4,blue,circle,sounds/B.wav,,0,0,1555586988604,,0,,1,I arbejde,1,1,no,,0,,1,,0,0
Igle,male,27,training_train,practice,sc2,2,2,32,4,red,circle,sounds/B.wav,,0,0,1555586991179,,0,,1,I arbejde,1,1,no,,0,,1,,0,0
Igle,male,27,training_train,practice,pcfs1,4,1,1,4,red,circle,sounds/V.wav,0,0,1,1555586998562,0,0,0,1,I arbejde,1,1,no,0,0,1,1,1,1,0
Igle,male,27,training_train,practice,pcfs1,4,1,2,5,white,triangle,sounds/B.wav,0,0,1,1555587002155,0,0,0,1,I arbejde,1,1,no,0,0,1,1,1,1,0
Igle,male,27,training_train,practice,pcfs1,4,1,3,5,blue,circle,sounds/T.wav,0,0,1,1555587005761,0,0,1,1,I arbejde,1,1,no,1,0,0,1,0,1,0
Igle,male,27,training_train,practice,pcfs1,4,1,4,2,dimgray,square,sounds/V.wav,0,0,1,1555587009356,0,0,0,1,I arbejde,1,1,no,0,0,1,1,1,1,0
