id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,figure_score,sound_response,position_response,simulate,position_score,figure_response,sound_target,timestamp,color_target,color_score,color_tested,position_tested,figure_target,sound_tested,color_response,figure_tested,sound_score,occupation,position_target
Insekt,male,34,training_train,practice,p1,1,1,1,3,white,circle,,,,0,no,1,,,1554790854196,,,0,1,,0,,0,,Ledig,0
Insekt,male,34,training_train,practice,p1,1,1,2,3,white,circle,,,,1,no,1,,,1554790856794,,,0,1,,0,,0,,Ledig,1
Insekt,male,34,training_train,practice,p1,1,1,3,8,white,circle,,,,0,no,1,,,1554790859360,,,0,1,,0,,0,,Ledig,0
Insekt,male,34,training_train,practice,p1,1,1,4,8,white,circle,,,,1,no,1,,,1554790861952,,,0,1,,0,,0,,Ledig,1
Insekt,male,34,training_train,practice,p1,1,1,5,2,white,circle,,,,0,no,1,,,1554790864523,,,0,1,,0,,0,,Ledig,0
Insekt,male,34,training_train,practice,p1,1,1,6,8,white,circle,,,,0,no,1,,,1554790867098,,,0,1,,0,,0,,Ledig,0
Insekt,male,34,training_train,practice,p1,1,1,7,3,white,circle,,,,0,no,1,,,1554790869662,,,0,1,,0,,0,,Ledig,0
Insekt,male,34,training_train,practice,p1,1,1,8,4,white,circle,,,,0,no,1,,,1554790872215,,,0,1,,0,,0,,Ledig,0
Insekt,male,34,training_train,practice,p1,1,1,9,4,white,circle,,,,1,no,1,,,1554790874798,,,0,1,,0,,0,,Ledig,1
Insekt,male,34,training_train,practice,p1,1,1,10,4,white,circle,,,,0,no,0,,,1554790877375,,,0,1,,0,,0,,Ledig,1
Insekt,male,34,training_train,practice,p1,1,1,11,8,white,circle,,,,0,no,1,,,1554790879965,,,0,1,,0,,0,,Ledig,0
Insekt,male,34,training_train,practice,p1,1,1,12,0,white,circle,,,,0,no,1,,,1554790882536,,,0,1,,0,,0,,Ledig,0
Insekt,male,34,training_train,practice,p1,1,1,13,3,white,circle,,,,0,no,1,,,1554790885114,,,0,1,,0,,0,,Ledig,0
Insekt,male,34,training_train,practice,p1,1,1,14,4,white,circle,,,,0,no,1,,,1554790887689,,,0,1,,0,,0,,Ledig,0
Insekt,male,34,training_train,practice,p1,1,1,15,4,white,circle,,,,1,no,1,,,1554790890278,,,0,1,,0,,0,,Ledig,1
Insekt,male,34,training_train,practice,p1,1,1,16,7,white,circle,,,,0,no,1,,,1554790892852,,,0,1,,0,,0,,Ledig,0
Insekt,male,34,training_train,practice,p1,1,1,17,1,white,circle,,,,0,no,1,,,1554790895424,,,0,1,,0,,0,,Ledig,0
Insekt,male,34,training_train,practice,p1,1,1,18,7,white,circle,,,,0,no,1,,,1554790897999,,,0,1,,0,,0,,Ledig,0
Insekt,male,34,training_train,practice,p1,1,1,19,4,white,circle,,,,0,no,1,,,1554790900573,,,0,1,,0,,0,,Ledig,0
Insekt,male,34,training_train,practice,p1,1,1,20,7,white,circle,,,,0,no,1,,,1554790903145,,,0,1,,0,,0,,Ledig,0
Insekt,male,34,training_train,practice,p1,1,1,21,7,white,circle,,,,1,no,1,,,1554790905731,,,0,1,,0,,0,,Ledig,1
Insekt,male,34,training_train,practice,p1,1,1,22,3,white,circle,,,,0,no,1,,,1554790908309,,,0,1,,0,,0,,Ledig,0
Insekt,male,34,training_train,practice,p1,1,1,23,3,white,circle,,,,1,no,1,,,1554790910898,,,0,1,,0,,0,,Ledig,1
Insekt,male,34,training_train,practice,p1,1,1,24,7,white,circle,,,,0,no,1,,,1554790913475,,,0,1,,0,,0,,Ledig,0
Insekt,male,34,training_train,practice,p1,1,1,25,4,white,circle,,,,0,no,1,,,1554790916047,,,0,1,,0,,0,,Ledig,0
Insekt,male,34,training_train,practice,p1,1,1,26,4,white,circle,,,,1,no,1,,,1554790918633,,,0,1,,0,,0,,Ledig,1
Insekt,male,34,training_train,practice,p1,1,1,27,1,white,circle,,,,0,no,1,,,1554790921219,,,0,1,,0,,0,,Ledig,0
Insekt,male,34,training_train,practice,p1,1,1,28,8,white,circle,,,,0,no,1,,,1554790923785,,,0,1,,0,,0,,Ledig,0
Insekt,male,34,training_train,practice,p1,1,1,29,5,white,circle,,,,0,no,1,,,1554790926359,,,0,1,,0,,0,,Ledig,0
Insekt,male,34,training_train,practice,p1,1,1,30,4,white,circle,,,,0,no,1,,,1554790928931,,,0,1,,0,,0,,Ledig,0
Insekt,male,34,training_train,practice,p1,1,1,31,1,white,circle,,,,0,no,1,,,1554790931506,,,0,1,,0,,0,,Ledig,0
Insekt,male,34,training_train,practice,f2,1,2,1,4,white,triangle,,1,,,no,,0,,1554790967969,,,0,0,0,0,,1,,Ledig,
Insekt,male,34,training_train,practice,f2,1,2,2,4,white,triangle,,0,,,no,,1,,1554790970561,,,0,0,0,0,,1,,Ledig,
Insekt,male,34,training_train,practice,f2,1,2,3,4,white,square,,1,,,no,,0,,1554790973135,,,0,0,0,0,,1,,Ledig,
Insekt,male,34,training_train,practice,f2,1,2,4,4,white,triangle,,0,,,no,,0,,1554790975707,,,0,0,1,0,,1,,Ledig,
Insekt,male,34,training_train,practice,f2,1,2,5,4,white,triangle,,1,,,no,,0,,1554790978282,,,0,0,0,0,,1,,Ledig,
Insekt,male,34,training_train,practice,f2,1,2,6,4,white,square,,1,,,no,,0,,1554790980855,,,0,0,0,0,,1,,Ledig,
Insekt,male,34,training_train,practice,f2,1,2,7,4,white,triangle,,1,,,no,,1,,1554790983445,,,0,0,1,0,,1,,Ledig,
Insekt,male,34,training_train,practice,f2,1,2,8,4,white,circle,,1,,,no,,0,,1554790986020,,,0,0,0,0,,1,,Ledig,
Insekt,male,34,training_train,practice,f2,1,2,9,4,white,circle,,1,,,no,,0,,1554790988592,,,0,0,0,0,,1,,Ledig,
Insekt,male,34,training_train,practice,f2,1,2,10,4,white,circle,,1,,,no,,1,,1554790991181,,,0,0,1,0,,1,,Ledig,
Insekt,male,34,training_train,practice,f2,1,2,11,4,white,circle,,0,,,no,,0,,1554790993758,,,0,0,1,0,,1,,Ledig,
Insekt,male,34,training_train,practice,f2,1,2,12,4,white,triangle,,1,,,no,,0,,1554790996325,,,0,0,0,0,,1,,Ledig,
Insekt,male,34,training_train,practice,f2,1,2,13,4,white,star,,1,,,no,,0,,1554790998904,,,0,0,0,0,,1,,Ledig,
Insekt,male,34,training_train,practice,f2,1,2,14,4,white,square,,1,,,no,,0,,1554791001476,,,0,0,0,0,,1,,Ledig,
Insekt,male,34,training_train,practice,f2,1,2,15,4,white,triangle,,1,,,no,,0,,1554791004051,,,0,0,0,0,,1,,Ledig,
Insekt,male,34,training_train,practice,f2,1,2,16,4,white,circle,,1,,,no,,0,,1554791006625,,,0,0,0,0,,1,,Ledig,
Insekt,male,34,training_train,practice,f2,1,2,17,4,white,circle,,1,,,no,,0,,1554791009197,,,0,0,0,0,,1,,Ledig,
Insekt,male,34,training_train,practice,f2,1,2,18,4,white,star,,1,,,no,,0,,1554791011771,,,0,0,0,0,,1,,Ledig,
Insekt,male,34,training_train,practice,f2,1,2,19,4,white,triangle,,1,,,no,,0,,1554791014346,,,0,0,0,0,,1,,Ledig,
Insekt,male,34,training_train,practice,f2,1,2,20,4,white,star,,1,,,no,,1,,1554791016926,,,0,0,1,0,,1,,Ledig,
Insekt,male,34,training_train,practice,f2,1,2,21,4,white,star,,1,,,no,,0,,1554791019492,,,0,0,0,0,,1,,Ledig,
Insekt,male,34,training_train,practice,f2,1,2,22,4,white,triangle,,1,,,no,,0,,1554791022067,,,0,0,0,0,,1,,Ledig,
Insekt,male,34,training_train,practice,f2,1,2,23,4,white,square,,1,,,no,,0,,1554791024638,,,0,0,0,0,,1,,Ledig,
Insekt,male,34,training_train,practice,f2,1,2,24,4,white,square,,1,,,no,,0,,1554791027213,,,0,0,0,0,,1,,Ledig,
Insekt,male,34,training_train,practice,f2,1,2,25,4,white,star,,1,,,no,,0,,1554791029788,,,0,0,0,0,,1,,Ledig,
Insekt,male,34,training_train,practice,f2,1,2,26,4,white,triangle,,1,,,no,,0,,1554791032359,,,0,0,0,0,,1,,Ledig,
Insekt,male,34,training_train,practice,f2,1,2,27,4,white,star,,0,,,no,,0,,1554791034934,,,0,0,1,0,,1,,Ledig,
Insekt,male,34,training_train,practice,f2,1,2,28,4,white,triangle,,0,,,no,,0,,1554791037506,,,0,0,1,0,,1,,Ledig,
Insekt,male,34,training_train,practice,f2,1,2,29,4,white,circle,,1,,,no,,0,,1554791040083,,,0,0,0,0,,1,,Ledig,
