id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,color_tested,color_response,color_target,position_target,figure_response,sound_score,occupation,timestamp,sound_tested,figure_score,position_score,sound_response,simulate,figure_target,figure_tested,position_tested,position_response,color_score,sound_target
Isbjørn,male,23,training_train,practice,p1,1,1,1,5,white,circle,,0,,,0,,,Studerende,1554984882660,0,,1,,no,,0,1,0,,
Isbjørn,male,23,training_train,practice,p1,1,1,2,5,white,circle,,0,,,1,,,Studerende,1554984885240,0,,1,,no,,0,1,1,,
Isbjørn,male,23,training_train,practice,p1,1,1,3,6,white,circle,,0,,,0,,,Studerende,1554984887800,0,,1,,no,,0,1,0,,
Isbjørn,male,23,training_train,practice,p1,1,1,4,6,white,circle,,0,,,1,,,Studerende,1554984890380,0,,1,,no,,0,1,1,,
Isbjørn,male,23,training_train,practice,p1,1,1,5,7,white,circle,,0,,,0,,,Studerende,1554984892940,0,,1,,no,,0,1,0,,
Isbjørn,male,23,training_train,practice,p1,1,1,6,8,white,circle,,0,,,0,,,Studerende,1554984895520,0,,0,,no,,0,1,1,,
Isbjørn,male,23,training_train,practice,p1,1,1,7,8,white,circle,,0,,,1,,,Studerende,1554984898080,0,,0,,no,,0,1,0,,
Isbjørn,male,23,training_train,practice,p1,1,1,8,4,white,circle,,0,,,0,,,Studerende,1554984900660,0,,1,,no,,0,1,0,,
Isbjørn,male,23,training_train,practice,p1,1,1,9,4,white,circle,,0,,,1,,,Studerende,1554984903240,0,,0,,no,,0,1,0,,
Isbjørn,male,23,training_train,practice,p1,1,1,10,0,white,circle,,0,,,0,,,Studerende,1554984905800,0,,1,,no,,0,1,0,,
Isbjørn,male,23,training_train,practice,p1,1,1,11,2,white,circle,,0,,,0,,,Studerende,1554984908380,0,,0,,no,,0,1,1,,
Isbjørn,male,23,training_train,practice,p1,1,1,12,5,white,circle,,0,,,0,,,Studerende,1554984910940,0,,1,,no,,0,1,0,,
Isbjørn,male,23,training_train,practice,p1,1,1,13,8,white,circle,,0,,,0,,,Studerende,1554984913560,0,,1,,no,,0,1,0,,
Isbjørn,male,23,training_train,practice,p1,1,1,14,8,white,circle,,0,,,1,,,Studerende,1554984916160,0,,0,,no,,0,1,0,,
Isbjørn,male,23,training_train,practice,p1,1,1,15,2,white,circle,,0,,,0,,,Studerende,1554984918720,0,,1,,no,,0,1,0,,
Isbjørn,male,23,training_train,practice,p1,1,1,16,4,white,circle,,0,,,0,,,Studerende,1554984921300,0,,0,,no,,0,1,1,,
Isbjørn,male,23,training_train,practice,p1,1,1,17,2,white,circle,,0,,,0,,,Studerende,1554984923860,0,,1,,no,,0,1,0,,
Isbjørn,male,23,training_train,practice,p1,1,1,18,0,white,circle,,0,,,0,,,Studerende,1554984926440,0,,1,,no,,0,1,0,,
Isbjørn,male,23,training_train,practice,p1,1,1,19,4,white,circle,,0,,,0,,,Studerende,1554984929060,0,,1,,no,,0,1,0,,
Isbjørn,male,23,training_train,practice,p1,1,1,20,6,white,circle,,0,,,0,,,Studerende,1554984931640,0,,1,,no,,0,1,0,,
Isbjørn,male,23,training_train,practice,p1,1,1,21,3,white,circle,,0,,,0,,,Studerende,1554984934240,0,,1,,no,,0,1,0,,
Isbjørn,male,23,training_train,practice,p1,1,1,22,3,white,circle,,0,,,1,,,Studerende,1554984936820,0,,0,,no,,0,1,0,,
Isbjørn,male,23,training_train,practice,p1,1,1,23,8,white,circle,,0,,,0,,,Studerende,1554984939460,0,,1,,no,,0,1,0,,
Isbjørn,male,23,training_train,practice,p1,1,1,24,8,white,circle,,0,,,1,,,Studerende,1554984942060,0,,0,,no,,0,1,0,,
Isbjørn,male,23,training_train,practice,p1,1,1,25,2,white,circle,,0,,,0,,,Studerende,1554984944640,0,,1,,no,,0,1,0,,
Isbjørn,male,23,training_train,practice,p1,1,1,26,4,white,circle,,0,,,0,,,Studerende,1554984947200,0,,1,,no,,0,1,0,,
Isbjørn,male,23,training_train,practice,p1,1,1,27,1,white,circle,,0,,,0,,,Studerende,1554984949760,0,,1,,no,,0,1,0,,
Isbjørn,male,23,training_train,practice,p1,1,1,28,1,white,circle,,0,,,1,,,Studerende,1554984952320,0,,0,,no,,0,1,0,,
Isbjørn,male,23,training_train,practice,p1,1,1,29,0,white,circle,,0,,,0,,,Studerende,1554984954900,0,,1,,no,,0,1,0,,
Isbjørn,male,23,training_train,practice,p1,1,1,30,3,white,circle,,0,,,0,,,Studerende,1554984957460,0,,1,,no,,0,1,0,,
Isbjørn,male,23,training_train,practice,p1,1,1,31,1,white,circle,,0,,,0,,,Studerende,1554984960020,0,,1,,no,,0,1,0,,
Isbjørn,male,23,training_train,practice,f2,1,2,1,4,white,star,,0,,,,0,,Studerende,1554985026160,0,1,,,no,0,1,0,,,
Isbjørn,male,23,training_train,practice,f2,1,2,2,4,white,triangle,,0,,,,0,,Studerende,1554985028720,0,1,,,no,0,1,0,,,
Isbjørn,male,23,training_train,practice,f2,1,2,3,4,white,square,,0,,,,0,,Studerende,1554985031280,0,1,,,no,0,1,0,,,
Isbjørn,male,23,training_train,practice,f2,1,2,4,4,white,star,,0,,,,1,,Studerende,1554985033860,0,0,,,no,0,1,0,,,
Isbjørn,male,23,training_train,practice,f2,1,2,5,4,white,circle,,0,,,,0,,Studerende,1554985036420,0,1,,,no,0,1,0,,,
Isbjørn,male,23,training_train,practice,f2,1,2,6,4,white,triangle,,0,,,,0,,Studerende,1554985038980,0,1,,,no,0,1,0,,,
Isbjørn,male,23,training_train,practice,f2,1,2,7,4,white,circle,,0,,,,1,,Studerende,1554985041560,0,1,,,no,1,1,0,,,
Isbjørn,male,23,training_train,practice,f2,1,2,8,4,white,star,,0,,,,0,,Studerende,1554985044120,0,1,,,no,0,1,0,,,
Isbjørn,male,23,training_train,practice,f2,1,2,9,4,white,star,,0,,,,0,,Studerende,1554985046680,0,1,,,no,0,1,0,,,
Isbjørn,male,23,training_train,practice,f2,1,2,10,4,white,triangle,,0,,,,0,,Studerende,1554985049240,0,1,,,no,0,1,0,,,
Isbjørn,male,23,training_train,practice,f2,1,2,11,4,white,circle,,0,,,,0,,Studerende,1554985051800,0,1,,,no,0,1,0,,,
Isbjørn,male,23,training_train,practice,f2,1,2,12,4,white,circle,,0,,,,0,,Studerende,1554985054360,0,1,,,no,0,1,0,,,
Isbjørn,male,23,training_train,practice,f2,1,2,13,4,white,triangle,,0,,,,0,,Studerende,1554985056920,0,1,,,no,0,1,0,,,
Isbjørn,male,23,training_train,practice,f2,1,2,14,4,white,circle,,0,,,,1,,Studerende,1554985059500,0,1,,,no,1,1,0,,,
Isbjørn,male,23,training_train,practice,f2,1,2,15,4,white,star,,0,,,,0,,Studerende,1554985062060,0,1,,,no,0,1,0,,,
Isbjørn,male,23,training_train,practice,f2,1,2,16,4,white,triangle,,0,,,,0,,Studerende,1554985064620,0,1,,,no,0,1,0,,,
Isbjørn,male,23,training_train,practice,f2,1,2,17,4,white,star,,0,,,,1,,Studerende,1554985067200,0,1,,,no,1,1,0,,,
Isbjørn,male,23,training_train,practice,f2,1,2,18,4,white,circle,,0,,,,0,,Studerende,1554985069760,0,1,,,no,0,1,0,,,
Isbjørn,male,23,training_train,practice,f2,1,2,19,4,white,circle,,0,,,,0,,Studerende,1554985072320,0,1,,,no,0,1,0,,,
Isbjørn,male,23,training_train,practice,f2,1,2,20,4,white,star,,0,,,,0,,Studerende,1554985074880,0,1,,,no,0,1,0,,,
Isbjørn,male,23,training_train,practice,f2,1,2,21,4,white,square,,0,,,,0,,Studerende,1554985077440,0,1,,,no,0,1,0,,,
Isbjørn,male,23,training_train,practice,f2,1,2,22,4,white,star,,0,,,,0,,Studerende,1554985080000,0,0,,,no,1,1,0,,,
Isbjørn,male,23,training_train,practice,f2,1,2,23,4,white,circle,,0,,,,0,,Studerende,1554985082560,0,1,,,no,0,1,0,,,
