id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_target,color_score,position_response,occupation,color_target,figure_score,simulate,color_response,figure_response,sound_score,position_tested,figure_target,color_tested,timestamp,sound_tested,sound_target,figure_tested,position_score,sound_response
jaerv,female,22,training_train,practice,p1,1,1,1,3,white,circle,,0,,0,Studerende,,,no,,,,1,,0,1554815767753,0,,0,1,
jaerv,female,22,training_train,practice,p1,1,1,2,1,white,circle,,0,,0,Studerende,,,no,,,,1,,0,1554815770325,0,,0,1,
jaerv,female,22,training_train,practice,p1,1,1,3,8,white,circle,,0,,0,Studerende,,,no,,,,1,,0,1554815772899,0,,0,1,
jaerv,female,22,training_train,practice,p1,1,1,4,8,white,circle,,1,,1,Studerende,,,no,,,,1,,0,1554815775483,0,,0,1,
jaerv,female,22,training_train,practice,p1,1,1,5,6,white,circle,,0,,0,Studerende,,,no,,,,1,,0,1554815778063,0,,0,1,
jaerv,female,22,training_train,practice,p1,1,1,6,7,white,circle,,0,,0,Studerende,,,no,,,,1,,0,1554815780638,0,,0,1,
jaerv,female,22,training_train,practice,p1,1,1,7,2,white,circle,,0,,0,Studerende,,,no,,,,1,,0,1554815783212,0,,0,1,
jaerv,female,22,training_train,practice,p1,1,1,8,5,white,circle,,0,,0,Studerende,,,no,,,,1,,0,1554815785787,0,,0,1,
jaerv,female,22,training_train,practice,p1,1,1,9,5,white,circle,,1,,1,Studerende,,,no,,,,1,,0,1554815788370,0,,0,1,
jaerv,female,22,training_train,practice,p1,1,1,10,7,white,circle,,0,,0,Studerende,,,no,,,,1,,0,1554815790951,0,,0,1,
jaerv,female,22,training_train,practice,p1,1,1,11,5,white,circle,,0,,0,Studerende,,,no,,,,1,,0,1554815793522,0,,0,1,
jaerv,female,22,training_train,practice,p1,1,1,12,5,white,circle,,1,,1,Studerende,,,no,,,,1,,0,1554815796107,0,,0,1,
jaerv,female,22,training_train,practice,p1,1,1,13,2,white,circle,,0,,0,Studerende,,,no,,,,1,,0,1554815798686,0,,0,1,
jaerv,female,22,training_train,practice,p1,1,1,14,1,white,circle,,0,,0,Studerende,,,no,,,,1,,0,1554815801261,0,,0,1,
jaerv,female,22,training_train,practice,p1,1,1,15,4,white,circle,,0,,0,Studerende,,,no,,,,1,,0,1554815803832,0,,0,1,
jaerv,female,22,training_train,practice,p1,1,1,16,1,white,circle,,0,,1,Studerende,,,no,,,,1,,0,1554815806422,0,,0,0,
jaerv,female,22,training_train,practice,p1,1,1,17,1,white,circle,,1,,0,Studerende,,,no,,,,1,,0,1554815808999,0,,0,0,
jaerv,female,22,training_train,practice,p1,1,1,18,5,white,circle,,0,,0,Studerende,,,no,,,,1,,0,1554815811571,0,,0,1,
jaerv,female,22,training_train,practice,p1,1,1,19,2,white,circle,,0,,0,Studerende,,,no,,,,1,,0,1554815814145,0,,0,1,
jaerv,female,22,training_train,practice,p1,1,1,20,8,white,circle,,0,,0,Studerende,,,no,,,,1,,0,1554815816720,0,,0,1,
jaerv,female,22,training_train,practice,p1,1,1,21,1,white,circle,,0,,0,Studerende,,,no,,,,1,,0,1554815819292,0,,0,1,
jaerv,female,22,training_train,practice,p1,1,1,22,8,white,circle,,0,,0,Studerende,,,no,,,,1,,0,1554815821866,0,,0,1,
jaerv,female,22,training_train,practice,p1,1,1,23,0,white,circle,,0,,0,Studerende,,,no,,,,1,,0,1554815824438,0,,0,1,
