id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,color_tested,sound_response,position_score,figure_score,sound_score,position_response,figure_response,color_target,color_response,figure_target,color_score,sound_tested,position_tested,timestamp,simulate,figure_tested,position_target,sound_target,occupation
Jaguar,female,25,training_transfer,practice,p1,1,1,1,7,white,circle,,0,,1,,,0,,,,,,0,1,1554902324370,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,practice,p1,1,1,2,7,white,circle,,0,,1,,,1,,,,,,0,1,1554902326976,no,0,1,,I arbejde
Jaguar,female,25,training_transfer,practice,p1,1,1,3,7,white,circle,,0,,0,,,0,,,,,,0,1,1554902329551,no,0,1,,I arbejde
Jaguar,female,25,training_transfer,practice,p1,1,1,4,5,white,circle,,0,,1,,,0,,,,,,0,1,1554902332125,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,practice,p1,1,1,5,5,white,circle,,0,,1,,,1,,,,,,0,1,1554902334708,no,0,1,,I arbejde
Jaguar,female,25,training_transfer,practice,p1,1,1,6,3,white,circle,,0,,1,,,0,,,,,,0,1,1554902337289,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,practice,p1,1,1,7,0,white,circle,,0,,1,,,0,,,,,,0,1,1554902339858,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,practice,p1,1,1,8,3,white,circle,,0,,1,,,0,,,,,,0,1,1554902342435,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,practice,p1,1,1,9,4,white,circle,,0,,1,,,0,,,,,,0,1,1554902345009,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,practice,p1,1,1,10,4,white,circle,,0,,0,,,0,,,,,,0,1,1554902347581,no,0,1,,I arbejde
Jaguar,female,25,training_transfer,practice,p1,1,1,11,1,white,circle,,0,,1,,,0,,,,,,0,1,1554902350155,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,practice,p1,1,1,12,4,white,circle,,0,,1,,,0,,,,,,0,1,1554902352730,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,practice,p1,1,1,13,7,white,circle,,0,,1,,,0,,,,,,0,1,1554902355301,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,practice,p1,1,1,14,2,white,circle,,0,,1,,,0,,,,,,0,1,1554902357873,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,practice,p1,1,1,15,8,white,circle,,0,,1,,,0,,,,,,0,1,1554902360451,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,practice,p1,1,1,16,2,white,circle,,0,,0,,,1,,,,,,0,1,1554902363039,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,practice,p1,1,1,17,5,white,circle,,0,,1,,,0,,,,,,0,1,1554902365614,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,practice,p1,1,1,18,0,white,circle,,0,,1,,,0,,,,,,0,1,1554902368189,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,practice,p1,1,1,19,4,white,circle,,0,,1,,,0,,,,,,0,1,1554902370760,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,practice,p1,1,1,20,3,white,circle,,0,,1,,,0,,,,,,0,1,1554902373335,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,practice,p1,1,1,21,3,white,circle,,0,,1,,,1,,,,,,0,1,1554902375927,no,0,1,,I arbejde
Jaguar,female,25,training_transfer,practice,p1,1,1,22,8,white,circle,,0,,1,,,0,,,,,,0,1,1554902378498,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,practice,p1,1,1,23,8,white,circle,,0,,1,,,1,,,,,,0,1,1554902381090,no,0,1,,I arbejde
Jaguar,female,25,training_transfer,practice,p1,1,1,24,0,white,circle,,0,,1,,,0,,,,,,0,1,1554902383664,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,practice,p1,1,1,25,5,white,circle,,0,,1,,,0,,,,,,0,1,1554902386236,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,practice,p1,1,1,26,8,white,circle,,0,,1,,,0,,,,,,0,1,1554902388811,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,practice,p1,1,1,27,2,white,circle,,0,,1,,,0,,,,,,0,1,1554902391382,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,practice,p1,1,1,28,2,white,circle,,0,,1,,,1,,,,,,0,1,1554902393967,no,0,1,,I arbejde
Jaguar,female,25,training_transfer,practice,p1,1,1,29,7,white,circle,,0,,1,,,0,,,,,,0,1,1554902396546,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,practice,p1,1,1,30,7,white,circle,,0,,1,,,1,,,,,,0,1,1554902399138,no,0,1,,I arbejde
Jaguar,female,25,training_transfer,practice,p1,1,1,31,0,white,circle,,0,,1,,,0,,,,,,0,1,1554902401709,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,practice,f2,1,2,1,4,white,square,,0,,,1,,,0,,,0,,0,0,1554902424805,no,1,,,I arbejde
Jaguar,female,25,training_transfer,practice,f2,1,2,2,4,white,circle,,0,,,1,,,0,,,0,,0,0,1554902427379,no,1,,,I arbejde
Jaguar,female,25,training_transfer,practice,f2,1,2,3,4,white,square,,0,,,0,,,0,,,1,,0,0,1554902429954,no,1,,,I arbejde
Jaguar,female,25,training_transfer,practice,f2,1,2,4,4,white,triangle,,0,,,1,,,0,,,0,,0,0,1554902432528,no,1,,,I arbejde
Jaguar,female,25,training_transfer,practice,f2,1,2,5,4,white,star,,0,,,1,,,0,,,0,,0,0,1554902435100,no,1,,,I arbejde
Jaguar,female,25,training_transfer,practice,f2,1,2,6,4,white,star,,0,,,0,,,1,,,0,,0,0,1554902437689,no,1,,,I arbejde
Jaguar,female,25,training_transfer,practice,f2,1,2,7,4,white,square,,0,,,1,,,0,,,0,,0,0,1554902440264,no,1,,,I arbejde
Jaguar,female,25,training_transfer,practice,f2,1,2,8,4,white,square,,0,,,1,,,0,,,0,,0,0,1554902442838,no,1,,,I arbejde
Jaguar,female,25,training_transfer,practice,f2,1,2,9,4,white,circle,,0,,,1,,,0,,,0,,0,0,1554902445407,no,1,,,I arbejde
Jaguar,female,25,training_transfer,practice,f2,1,2,10,4,white,triangle,,0,,,1,,,0,,,0,,0,0,1554902447984,no,1,,,I arbejde
Jaguar,female,25,training_transfer,practice,f2,1,2,11,4,white,square,,0,,,0,,,1,,,0,,0,0,1554902450573,no,1,,,I arbejde
Jaguar,female,25,training_transfer,practice,f2,1,2,12,4,white,triangle,,0,,,0,,,0,,,1,,0,0,1554902453148,no,1,,,I arbejde
Jaguar,female,25,training_transfer,practice,f2,1,2,13,4,white,square,,0,,,0,,,0,,,1,,0,0,1554902455722,no,1,,,I arbejde
Jaguar,female,25,training_transfer,practice,f2,1,2,14,4,white,circle,,0,,,1,,,0,,,0,,0,0,1554902458297,no,1,,,I arbejde
Jaguar,female,25,training_transfer,practice,f2,1,2,15,4,white,triangle,,0,,,0,,,1,,,0,,0,0,1554902460886,no,1,,,I arbejde
Jaguar,female,25,training_transfer,practice,f2,1,2,16,4,white,circle,,0,,,1,,,1,,,1,,0,0,1554902463472,no,1,,,I arbejde
Jaguar,female,25,training_transfer,practice,f2,1,2,17,4,white,circle,,0,,,1,,,0,,,0,,0,0,1554902466049,no,1,,,I arbejde
Jaguar,female,25,training_transfer,practice,f2,1,2,18,4,white,square,,0,,,0,,,1,,,0,,0,0,1554902468637,no,1,,,I arbejde
Jaguar,female,25,training_transfer,practice,f2,1,2,19,4,white,square,,0,,,1,,,0,,,0,,0,0,1554902471213,no,1,,,I arbejde
Jaguar,female,25,training_transfer,practice,f2,1,2,20,4,white,square,,0,,,1,,,1,,,1,,0,0,1554902473799,no,1,,,I arbejde
Jaguar,female,25,training_transfer,practice,f2,1,2,21,4,white,triangle,,0,,,1,,,0,,,0,,0,0,1554902476376,no,1,,,I arbejde
Jaguar,female,25,training_transfer,practice,f2,1,2,22,4,white,triangle,,0,,,1,,,0,,,0,,0,0,1554902478951,no,1,,,I arbejde
Jaguar,female,25,training_transfer,practice,f2,1,2,23,4,white,star,,0,,,1,,,0,,,0,,0,0,1554902481523,no,1,,,I arbejde
Jaguar,female,25,training_transfer,practice,f2,1,2,24,4,white,star,,0,,,1,,,0,,,0,,0,0,1554902484097,no,1,,,I arbejde
Jaguar,female,25,training_transfer,practice,f2,1,2,25,4,white,star,,0,,,1,,,1,,,1,,0,0,1554902486686,no,1,,,I arbejde
Jaguar,female,25,training_transfer,practice,f2,1,2,26,4,white,star,,0,,,1,,,1,,,1,,0,0,1554902489278,no,1,,,I arbejde
Jaguar,female,25,training_transfer,practice,f2,1,2,27,4,white,square,,0,,,1,,,0,,,0,,0,0,1554902491853,no,1,,,I arbejde
Jaguar,female,25,training_transfer,practice,f2,1,2,28,4,white,circle,,0,,,1,,,0,,,0,,0,0,1554902494427,no,1,,,I arbejde
Jaguar,female,25,training_transfer,practice,f2,1,2,29,4,white,square,,0,,,1,,,1,,,1,,0,0,1554902497016,no,1,,,I arbejde
Jaguar,female,25,training_transfer,practice,f2,1,2,30,4,white,triangle,,0,,,0,,,1,,,0,,0,0,1554902499601,no,1,,,I arbejde
Jaguar,female,25,training_transfer,practice,f2,1,2,31,4,white,star,,0,,,1,,,0,,,0,,0,0,1554902502179,no,1,,,I arbejde
Jaguar,female,25,training_transfer,practice,f2,1,2,32,4,white,star,,0,,,0,,,1,,,0,,0,0,1554902504768,no,1,,,I arbejde
Jaguar,female,25,training_transfer,practice,sc2,2,2,1,4,yellow,circle,sounds/G.wav,1,0,,,1,,,0,0,,1,1,0,1554902521212,no,0,,0,I arbejde
Jaguar,female,25,training_transfer,practice,sc2,2,2,2,4,red,circle,sounds/E.wav,1,0,,,1,,,0,0,,1,1,0,1554902523787,no,0,,0,I arbejde
Jaguar,female,25,training_transfer,practice,sc2,2,2,3,4,dimgray,circle,sounds/B.wav,1,1,,,0,,,0,1,,0,1,0,1554902526411,no,0,,0,I arbejde
Jaguar,female,25,training_transfer,practice,sc2,2,2,4,4,green,circle,sounds/G.wav,1,0,,,1,,,0,0,,1,1,0,1554902528981,no,0,,0,I arbejde
Jaguar,female,25,training_transfer,practice,sc2,2,2,5,4,yellow,circle,sounds/D.wav,1,1,,,0,,,0,0,,1,1,0,1554902531571,no,0,,0,I arbejde
Jaguar,female,25,training_transfer,practice,sc2,2,2,6,4,blue,circle,sounds/G.wav,1,0,,,0,,,0,0,,1,1,0,1554902534149,no,0,,1,I arbejde
Jaguar,female,25,training_transfer,practice,sc2,2,2,7,4,red,circle,sounds/D.wav,1,0,,,0,,,0,1,,0,1,0,1554902536738,no,0,,1,I arbejde
Jaguar,female,25,training_transfer,practice,sc2,2,2,8,4,blue,circle,sounds/T.wav,1,0,,,1,,,1,1,,1,1,0,1554902539324,no,0,,0,I arbejde
Jaguar,female,25,training_transfer,practice,sc2,2,2,9,4,white,circle,sounds/T.wav,1,0,,,1,,,0,0,,1,1,0,1554902541901,no,0,,0,I arbejde
Jaguar,female,25,training_transfer,practice,sc2,2,2,10,4,dimgray,circle,sounds/T.wav,1,0,,,0,,,0,1,,0,1,0,1554902544490,no,0,,1,I arbejde
Jaguar,female,25,training_transfer,practice,sc2,2,2,11,4,yellow,circle,sounds/P.wav,1,0,,,1,,,0,0,,1,1,0,1554902547065,no,0,,0,I arbejde
Jaguar,female,25,training_transfer,practice,sc2,2,2,12,4,yellow,circle,sounds/T.wav,1,0,,,0,,,0,0,,1,1,0,1554902549639,no,0,,1,I arbejde
Jaguar,female,25,training_transfer,practice,sc2,2,2,13,4,green,circle,sounds/V.wav,1,0,,,1,,,0,1,,0,1,0,1554902552228,no,0,,0,I arbejde
Jaguar,female,25,training_transfer,practice,sc2,2,2,14,4,yellow,circle,sounds/B.wav,1,1,,,0,,,1,1,,1,1,0,1554902554838,no,0,,0,I arbejde
Jaguar,female,25,training_transfer,practice,sc2,2,2,15,4,blue,circle,sounds/E.wav,1,0,,,1,,,0,0,,1,1,0,1554902557409,no,0,,0,I arbejde
Jaguar,female,25,training_transfer,practice,sc2,2,2,16,4,darkorange,circle,sounds/V.wav,1,0,,,1,,,0,0,,1,1,0,1554902559984,no,0,,0,I arbejde
Jaguar,female,25,training_transfer,practice,sc2,2,2,17,4,green,circle,sounds/T.wav,1,0,,,1,,,0,1,,0,1,0,1554902562576,no,0,,0,I arbejde
Jaguar,female,25,training_transfer,practice,sc2,2,2,18,4,darkorange,circle,sounds/T.wav,1,1,,,0,,,1,1,,1,1,0,1554902565172,no,0,,0,I arbejde
Jaguar,female,25,training_transfer,practice,sc2,2,2,19,4,red,circle,sounds/T.wav,1,0,,,0,,,0,0,,1,1,0,1554902567754,no,0,,1,I arbejde
Jaguar,female,25,training_transfer,practice,sc2,2,2,20,4,green,circle,sounds/T.wav,1,0,,,0,,,0,0,,1,1,0,1554902570328,no,0,,1,I arbejde
Jaguar,female,25,training_transfer,practice,sc2,2,2,21,4,red,circle,sounds/P.wav,1,0,,,1,,,1,1,,1,1,0,1554902572917,no,0,,0,I arbejde
Jaguar,female,25,training_transfer,practice,sc2,2,2,22,4,green,circle,sounds/T.wav,1,0,,,0,,,1,1,,1,1,0,1554902575506,no,0,,1,I arbejde
Jaguar,female,25,training_transfer,practice,sc2,2,2,23,4,yellow,circle,sounds/D.wav,1,0,,,1,,,0,0,,1,1,0,1554902578081,no,0,,0,I arbejde
Jaguar,female,25,training_transfer,practice,sc2,2,2,24,4,dimgray,circle,sounds/B.wav,1,0,,,1,,,0,0,,1,1,0,1554902580655,no,0,,0,I arbejde
Jaguar,female,25,training_transfer,practice,sc2,2,2,25,4,green,circle,sounds/E.wav,1,1,,,0,,,0,1,,0,1,0,1554902583263,no,0,,0,I arbejde
Jaguar,female,25,training_transfer,practice,sc2,2,2,26,4,darkorange,circle,sounds/G.wav,1,0,,,1,,,0,1,,0,1,0,1554902585851,no,0,,0,I arbejde
