id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,simulate,position_score,sound_score,figure_target,occupation,position_target,position_tested,figure_response,figure_tested,color_response,sound_response,sound_target,sound_tested,position_response,color_target,figure_score,color_tested,timestamp,color_score
jordbærdtærte-sommerfugl,female,21,training_transfer,practice,p1,1,1,1,8,white,circle,,no,1,,,Studerende,0,1,,0,,,,0,0,,,0,1554807581273,
jordbærdtærte-sommerfugl,female,21,training_transfer,practice,p1,1,1,2,2,white,circle,,no,1,,,Studerende,0,1,,0,,,,0,0,,,0,1554807583833,
jordbærdtærte-sommerfugl,female,21,training_transfer,practice,p1,1,1,3,2,white,circle,,no,0,,,Studerende,1,1,,0,,,,0,0,,,0,1554807586393,
jordbærdtærte-sommerfugl,female,21,training_transfer,practice,p1,1,1,4,5,white,circle,,no,1,,,Studerende,0,1,,0,,,,0,0,,,0,1554807588953,
jordbærdtærte-sommerfugl,female,21,training_transfer,practice,p1,1,1,5,5,white,circle,,no,0,,,Studerende,1,1,,0,,,,0,0,,,0,1554807591513,
jordbærdtærte-sommerfugl,female,21,training_transfer,practice,p1,1,1,6,5,white,circle,,no,0,,,Studerende,1,1,,0,,,,0,0,,,0,1554807594073,
jordbærdtærte-sommerfugl,female,21,training_transfer,practice,p1,1,1,7,4,white,circle,,no,1,,,Studerende,0,1,,0,,,,0,0,,,0,1554807596633,
jordbærdtærte-sommerfugl,female,21,training_transfer,practice,p1,1,1,8,8,white,circle,,no,1,,,Studerende,0,1,,0,,,,0,0,,,0,1554807599233,
jordbærdtærte-sommerfugl,female,21,training_transfer,practice,p1,1,1,9,0,white,circle,,no,1,,,Studerende,0,1,,0,,,,0,0,,,0,1554807601813,
jordbærdtærte-sommerfugl,female,21,training_transfer,practice,p1,1,1,10,6,white,circle,,no,1,,,Studerende,0,1,,0,,,,0,0,,,0,1554807604393,
jordbærdtærte-sommerfugl,female,21,training_transfer,practice,p1,1,1,11,6,white,circle,,no,1,,,Studerende,1,1,,0,,,,0,1,,,0,1554807606973,
jordbærdtærte-sommerfugl,female,21,training_transfer,practice,p1,1,1,12,8,white,circle,,no,1,,,Studerende,0,1,,0,,,,0,0,,,0,1554807609533,
jordbærdtærte-sommerfugl,female,21,training_transfer,practice,p1,1,1,13,0,white,circle,,no,1,,,Studerende,0,1,,0,,,,0,0,,,0,1554807612093,
jordbærdtærte-sommerfugl,female,21,training_transfer,practice,p1,1,1,14,5,white,circle,,no,1,,,Studerende,0,1,,0,,,,0,0,,,0,1554807614653,
jordbærdtærte-sommerfugl,female,21,training_transfer,practice,p1,1,1,15,6,white,circle,,no,1,,,Studerende,0,1,,0,,,,0,0,,,0,1554807617213,
jordbærdtærte-sommerfugl,female,21,training_transfer,practice,p1,1,1,16,8,white,circle,,no,0,,,Studerende,0,1,,0,,,,0,1,,,0,1554807619793,
jordbærdtærte-sommerfugl,female,21,training_transfer,practice,p1,1,1,17,6,white,circle,,no,1,,,Studerende,0,1,,0,,,,0,0,,,0,1554807622353,
jordbærdtærte-sommerfugl,female,21,training_transfer,practice,p1,1,1,18,0,white,circle,,no,1,,,Studerende,0,1,,0,,,,0,0,,,0,1554807624913,
jordbærdtærte-sommerfugl,female,21,training_transfer,practice,p1,1,1,19,6,white,circle,,no,0,,,Studerende,0,1,,0,,,,0,1,,,0,1554807627493,
jordbærdtærte-sommerfugl,female,21,training_transfer,practice,p1,1,1,20,3,white,circle,,no,1,,,Studerende,0,1,,0,,,,0,0,,,0,1554807630053,
jordbærdtærte-sommerfugl,female,21,training_transfer,practice,p1,1,1,21,3,white,circle,,no,1,,,Studerende,1,1,,0,,,,0,1,,,0,1554807632633,
