id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,figure_response,figure_tested,color_target,sound_score,color_score,simulate,position_score,position_response,occupation,color_response,color_tested,figure_target,timestamp,sound_tested,sound_target,sound_response,position_tested,position_target,figure_score
Koalabjørn,male,29,training_transfer,practice,p1,1,1,1,0,white,circle,,,0,,,,no,1,0,Studerende,,0,,1554884222041,0,,,1,0,
Koalabjørn,male,29,training_transfer,practice,p1,1,1,2,4,white,circle,,,0,,,,no,1,0,Studerende,,0,,1554884224591,0,,,1,0,
Koalabjørn,male,29,training_transfer,practice,p1,1,1,3,5,white,circle,,,0,,,,no,1,0,Studerende,,0,,1554884227141,0,,,1,0,
Koalabjørn,male,29,training_transfer,practice,p1,1,1,4,2,white,circle,,,0,,,,no,1,0,Studerende,,0,,1554884229691,0,,,1,0,
Koalabjørn,male,29,training_transfer,practice,p1,1,1,5,0,white,circle,,,0,,,,no,1,0,Studerende,,0,,1554884232242,0,,,1,0,
Koalabjørn,male,29,training_transfer,practice,p1,1,1,6,0,white,circle,,,0,,,,no,0,0,Studerende,,0,,1554884234808,0,,,1,1,
Koalabjørn,male,29,training_transfer,practice,p1,1,1,7,0,white,circle,,,0,,,,no,0,0,Studerende,,0,,1554884237358,0,,,1,1,
Koalabjørn,male,29,training_transfer,practice,p1,1,1,8,5,white,circle,,,0,,,,no,1,0,Studerende,,0,,1554884239908,0,,,1,0,
Koalabjørn,male,29,training_transfer,practice,p1,1,1,9,6,white,circle,,,0,,,,no,1,0,Studerende,,0,,1554884242458,0,,,1,0,
Koalabjørn,male,29,training_transfer,practice,p1,1,1,10,4,white,circle,,,0,,,,no,1,0,Studerende,,0,,1554884245008,0,,,1,0,
Koalabjørn,male,29,training_transfer,practice,p1,1,1,11,3,white,circle,,,0,,,,no,1,0,Studerende,,0,,1554884247558,0,,,1,0,
Koalabjørn,male,29,training_transfer,practice,p1,1,1,12,3,white,circle,,,0,,,,no,0,0,Studerende,,0,,1554884250126,0,,,1,1,
Koalabjørn,male,29,training_transfer,practice,p1,1,1,13,3,white,circle,,,0,,,,no,1,1,Studerende,,0,,1554884252692,0,,,1,1,
Koalabjørn,male,29,training_transfer,practice,p1,1,1,14,6,white,circle,,,0,,,,no,0,1,Studerende,,0,,1554884255259,0,,,1,0,
Koalabjørn,male,29,training_transfer,practice,p1,1,1,15,6,white,circle,,,0,,,,no,1,1,Studerende,,0,,1554884257825,0,,,1,1,
Koalabjørn,male,29,training_transfer,practice,p1,1,1,16,1,white,circle,,,0,,,,no,1,0,Studerende,,0,,1554884260375,0,,,1,0,
Koalabjørn,male,29,training_transfer,practice,p1,1,1,17,7,white,circle,,,0,,,,no,0,1,Studerende,,0,,1554884262942,0,,,1,0,
Koalabjørn,male,29,training_transfer,practice,p1,1,1,18,3,white,circle,,,0,,,,no,1,0,Studerende,,0,,1554884265492,0,,,1,0,
Koalabjørn,male,29,training_transfer,practice,p1,1,1,19,8,white,circle,,,0,,,,no,1,0,Studerende,,0,,1554884268060,0,,,1,0,
Koalabjørn,male,29,training_transfer,practice,p1,1,1,20,1,white,circle,,,0,,,,no,1,0,Studerende,,0,,1554884270626,0,,,1,0,
Koalabjørn,male,29,training_transfer,practice,p1,1,1,21,4,white,circle,,,0,,,,no,0,1,Studerende,,0,,1554884273193,0,,,1,0,
Koalabjørn,male,29,training_transfer,practice,p1,1,1,22,4,white,circle,,,0,,,,no,1,1,Studerende,,0,,1554884275760,0,,,1,1,
Koalabjørn,male,29,training_transfer,practice,p1,1,1,23,7,white,circle,,,0,,,,no,1,0,Studerende,,0,,1554884278309,0,,,1,0,
Koalabjørn,male,29,training_transfer,practice,p1,1,1,24,4,white,circle,,,0,,,,no,0,1,Studerende,,0,,1554884280876,0,,,1,0,
Koalabjørn,male,29,training_transfer,practice,p1,1,1,25,8,white,circle,,,0,,,,no,1,0,Studerende,,0,,1554884283443,0,,,1,0,
Koalabjørn,male,29,training_transfer,practice,p1,1,1,26,8,white,circle,,,0,,,,no,1,1,Studerende,,0,,1554884286010,0,,,1,1,
Koalabjørn,male,29,training_transfer,practice,p1,1,1,27,2,white,circle,,,0,,,,no,1,0,Studerende,,0,,1554884288560,0,,,1,0,
Koalabjørn,male,29,training_transfer,practice,p1,1,1,28,4,white,circle,,,0,,,,no,0,1,Studerende,,0,,1554884291126,0,,,1,0,
Koalabjørn,male,29,training_transfer,practice,p1,1,1,29,4,white,circle,,,0,,,,no,1,1,Studerende,,0,,1554884293693,0,,,1,1,
Koalabjørn,male,29,training_transfer,practice,p1,1,1,30,2,white,circle,,,0,,,,no,1,0,Studerende,,0,,1554884296243,0,,,1,0,
Koalabjørn,male,29,training_transfer,practice,p1,1,1,31,0,white,circle,,,0,,,,no,1,0,Studerende,,0,,1554884298793,0,,,1,0,
Koalabjørn,male,29,training_transfer,practice,f2,1,2,1,4,white,triangle,,0,1,,,,no,,,Studerende,,0,0,1554884334061,0,,,0,,1
Koalabjørn,male,29,training_transfer,practice,f2,1,2,2,4,white,circle,,0,1,,,,no,,,Studerende,,0,0,1554884336612,0,,,0,,1
Koalabjørn,male,29,training_transfer,practice,f2,1,2,3,4,white,square,,0,1,,,,no,,,Studerende,,0,0,1554884339162,0,,,0,,1
Koalabjørn,male,29,training_transfer,practice,f2,1,2,4,4,white,triangle,,1,1,,,,no,,,Studerende,,0,0,1554884341728,0,,,0,,0
Koalabjørn,male,29,training_transfer,practice,f2,1,2,5,4,white,star,,0,1,,,,no,,,Studerende,,0,0,1554884344278,0,,,0,,1
Koalabjørn,male,29,training_transfer,practice,f2,1,2,6,4,white,square,,0,1,,,,no,,,Studerende,,0,0,1554884346828,0,,,0,,1
Koalabjørn,male,29,training_transfer,practice,f2,1,2,7,4,white,square,,0,1,,,,no,,,Studerende,,0,0,1554884349378,0,,,0,,1
Koalabjørn,male,29,training_transfer,practice,f2,1,2,8,4,white,square,,0,1,,,,no,,,Studerende,,0,1,1554884351928,0,,,0,,0
Koalabjørn,male,29,training_transfer,practice,f2,1,2,9,4,white,square,,0,1,,,,no,,,Studerende,,0,1,1554884354479,0,,,0,,0
Koalabjørn,male,29,training_transfer,practice,f2,1,2,10,4,white,triangle,,0,1,,,,no,,,Studerende,,0,0,1554884357029,0,,,0,,1
Koalabjørn,male,29,training_transfer,practice,f2,1,2,11,4,white,square,,1,1,,,,no,,,Studerende,,0,1,1554884359595,0,,,0,,1
Koalabjørn,male,29,training_transfer,practice,f2,1,2,12,4,white,circle,,0,1,,,,no,,,Studerende,,0,0,1554884362145,0,,,0,,1
Koalabjørn,male,29,training_transfer,practice,f2,1,2,13,4,white,square,,0,1,,,,no,,,Studerende,,0,1,1554884364695,0,,,0,,0
Koalabjørn,male,29,training_transfer,practice,f2,1,2,14,4,white,square,,0,1,,,,no,,,Studerende,,0,0,1554884367245,0,,,0,,1
Koalabjørn,male,29,training_transfer,practice,f2,1,2,15,4,white,square,,1,1,,,,no,,,Studerende,,0,1,1554884369812,0,,,0,,1
Koalabjørn,male,29,training_transfer,practice,f2,1,2,16,4,white,star,,0,1,,,,no,,,Studerende,,0,0,1554884372363,0,,,0,,1
Koalabjørn,male,29,training_transfer,practice,f2,1,2,17,4,white,square,,1,1,,,,no,,,Studerende,,0,1,1554884374929,0,,,0,,1
Koalabjørn,male,29,training_transfer,practice,f2,1,2,18,4,white,circle,,0,1,,,,no,,,Studerende,,0,0,1554884377479,0,,,0,,1
Koalabjørn,male,29,training_transfer,practice,f2,1,2,19,4,white,square,,1,1,,,,no,,,Studerende,,0,1,1554884380046,0,,,0,,1
Koalabjørn,male,29,training_transfer,practice,f2,1,2,20,4,white,triangle,,0,1,,,,no,,,Studerende,,0,0,1554884382596,0,,,0,,1
Koalabjørn,male,29,training_transfer,practice,f2,1,2,21,4,white,triangle,,1,1,,,,no,,,Studerende,,0,0,1554884385162,0,,,0,,0
Koalabjørn,male,29,training_transfer,practice,f2,1,2,22,4,white,square,,0,1,,,,no,,,Studerende,,0,0,1554884387712,0,,,0,,1
Koalabjørn,male,29,training_transfer,practice,f2,1,2,23,4,white,star,,0,1,,,,no,,,Studerende,,0,0,1554884390263,0,,,0,,1
Koalabjørn,male,29,training_transfer,practice,f2,1,2,24,4,white,square,,1,1,,,,no,,,Studerende,,0,1,1554884392829,0,,,0,,1
Koalabjørn,male,29,training_transfer,practice,f2,1,2,25,4,white,triangle,,0,1,,,,no,,,Studerende,,0,0,1554884395381,0,,,0,,1
Koalabjørn,male,29,training_transfer,practice,f2,1,2,26,4,white,triangle,,0,1,,,,no,,,Studerende,,0,0,1554884397930,0,,,0,,1
Koalabjørn,male,29,training_transfer,practice,f2,1,2,27,4,white,star,,1,1,,,,no,,,Studerende,,0,0,1554884400496,0,,,0,,0
Koalabjørn,male,29,training_transfer,practice,f2,1,2,28,4,white,square,,0,1,,,,no,,,Studerende,,0,0,1554884403046,0,,,0,,1
Koalabjørn,male,29,training_transfer,practice,f2,1,2,29,4,white,square,,0,1,,,,no,,,Studerende,,0,0,1554884405596,0,,,0,,1
Koalabjørn,male,29,training_transfer,practice,f2,1,2,30,4,white,triangle,,0,1,,,,no,,,Studerende,,0,0,1554884408147,0,,,0,,1
Koalabjørn,male,29,training_transfer,practice,f2,1,2,31,4,white,triangle,,0,1,,,,no,,,Studerende,,0,0,1554884410697,0,,,0,,1
