id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,occupation,simulate,figure_response,figure_score,sound_target,figure_target,timestamp,position_response,sound_response,color_response,figure_tested,position_target,color_score,color_tested,sound_score,color_target,sound_tested,position_score,position_tested
kobra,male,19,training_train,practice,p1,1,1,1,4,white,circle,,Studerende,no,,,,,1554969077371,0,,,0,0,,0,,,0,1,1
kobra,male,19,training_train,practice,p1,1,1,2,7,white,circle,,Studerende,no,,,,,1554969079931,0,,,0,0,,0,,,0,1,1
kobra,male,19,training_train,practice,p1,1,1,3,3,white,circle,,Studerende,no,,,,,1554969082491,0,,,0,0,,0,,,0,1,1
kobra,male,19,training_train,practice,p1,1,1,4,3,white,circle,,Studerende,no,,,,,1554969085071,1,,,0,1,,0,,,0,1,1
kobra,male,19,training_train,practice,p1,1,1,5,5,white,circle,,Studerende,no,,,,,1554969087631,0,,,0,0,,0,,,0,1,1
kobra,male,19,training_train,practice,p1,1,1,6,5,white,circle,,Studerende,no,,,,,1554969090211,1,,,0,1,,0,,,0,1,1
kobra,male,19,training_train,practice,p1,1,1,7,5,white,circle,,Studerende,no,,,,,1554969092791,1,,,0,1,,0,,,0,1,1
kobra,male,19,training_train,practice,p1,1,1,8,6,white,circle,,Studerende,no,,,,,1554969095351,0,,,0,0,,0,,,0,1,1
kobra,male,19,training_train,practice,p1,1,1,9,0,white,circle,,Studerende,no,,,,,1554969097911,0,,,0,0,,0,,,0,1,1
kobra,male,19,training_train,practice,p1,1,1,10,0,white,circle,,Studerende,no,,,,,1554969100491,1,,,0,1,,0,,,0,1,1
kobra,male,19,training_train,practice,p1,1,1,11,3,white,circle,,Studerende,no,,,,,1554969103051,0,,,0,0,,0,,,0,1,1
kobra,male,19,training_train,practice,p1,1,1,12,6,white,circle,,Studerende,no,,,,,1554969105611,0,,,0,0,,0,,,0,1,1
kobra,male,19,training_train,practice,p1,1,1,13,6,white,circle,,Studerende,no,,,,,1554969108171,1,,,0,1,,0,,,0,1,1
kobra,male,19,training_train,practice,p1,1,1,14,3,white,circle,,Studerende,no,,,,,1554969110731,0,,,0,0,,0,,,0,1,1
kobra,male,19,training_train,practice,p1,1,1,15,2,white,circle,,Studerende,no,,,,,1554969113291,0,,,0,0,,0,,,0,1,1
kobra,male,19,training_train,practice,p1,1,1,16,3,white,circle,,Studerende,no,,,,,1554969115851,0,,,0,0,,0,,,0,1,1
kobra,male,19,training_train,practice,p1,1,1,17,8,white,circle,,Studerende,no,,,,,1554969118411,0,,,0,0,,0,,,0,1,1
kobra,male,19,training_train,practice,p1,1,1,18,8,white,circle,,Studerende,no,,,,,1554969120991,1,,,0,1,,0,,,0,1,1
kobra,male,19,training_train,practice,p1,1,1,19,4,white,circle,,Studerende,no,,,,,1554969123551,0,,,0,0,,0,,,0,1,1
kobra,male,19,training_train,practice,p1,1,1,20,7,white,circle,,Studerende,no,,,,,1554969126111,0,,,0,0,,0,,,0,1,1
kobra,male,19,training_train,practice,p1,1,1,21,4,white,circle,,Studerende,no,,,,,1554969128671,0,,,0,0,,0,,,0,1,1
kobra,male,19,training_train,practice,p1,1,1,22,0,white,circle,,Studerende,no,,,,,1554969131231,0,,,0,0,,0,,,0,1,1
kobra,male,19,training_train,practice,p1,1,1,23,7,white,circle,,Studerende,no,,,,,1554969133791,0,,,0,0,,0,,,0,1,1
kobra,male,19,training_train,practice,p1,1,1,24,1,white,circle,,Studerende,no,,,,,1554969136351,0,,,0,0,,0,,,0,1,1
kobra,male,19,training_train,practice,p1,1,1,25,3,white,circle,,Studerende,no,,,,,1554969138911,0,,,0,0,,0,,,0,1,1
kobra,male,19,training_train,practice,p1,1,1,26,1,white,circle,,Studerende,no,,,,,1554969141471,0,,,0,0,,0,,,0,1,1
kobra,male,19,training_train,practice,p1,1,1,27,1,white,circle,,Studerende,no,,,,,1554969144051,1,,,0,1,,0,,,0,1,1
kobra,male,19,training_train,practice,p1,1,1,28,6,white,circle,,Studerende,no,,,,,1554969146611,0,,,0,0,,0,,,0,1,1
kobra,male,19,training_train,practice,p1,1,1,29,4,white,circle,,Studerende,no,,,,,1554969149171,0,,,0,0,,0,,,0,1,1
kobra,male,19,training_train,practice,p1,1,1,30,4,white,circle,,Studerende,no,,,,,1554969151751,1,,,0,1,,0,,,0,1,1
kobra,male,19,training_train,practice,p1,1,1,31,1,white,circle,,Studerende,no,,,,,1554969154311,0,,,0,0,,0,,,0,1,1
kobra,male,19,training_train,practice,f2,1,2,1,4,white,star,,Studerende,no,0,1,,0,1554969182381,,,,1,,,0,,,0,,0
kobra,male,19,training_train,practice,f2,1,2,2,4,white,triangle,,Studerende,no,0,1,,0,1554969184941,,,,1,,,0,,,0,,0
kobra,male,19,training_train,practice,f2,1,2,3,4,white,circle,,Studerende,no,0,1,,0,1554969187501,,,,1,,,0,,,0,,0
kobra,male,19,training_train,practice,f2,1,2,4,4,white,star,,Studerende,no,0,1,,0,1554969190061,,,,1,,,0,,,0,,0
kobra,male,19,training_train,practice,f2,1,2,5,4,white,star,,Studerende,no,0,1,,0,1554969192621,,,,1,,,0,,,0,,0
kobra,male,19,training_train,practice,f2,1,2,6,4,white,square,,Studerende,no,0,1,,0,1554969195181,,,,1,,,0,,,0,,0
kobra,male,19,training_train,practice,f2,1,2,7,4,white,star,,Studerende,no,1,1,,1,1554969197761,,,,1,,,0,,,0,,0
kobra,male,19,training_train,practice,f2,1,2,8,4,white,star,,Studerende,no,1,0,,0,1554969200341,,,,1,,,0,,,0,,0
kobra,male,19,training_train,practice,f2,1,2,9,4,white,square,,Studerende,no,0,1,,0,1554969202901,,,,1,,,0,,,0,,0
kobra,male,19,training_train,practice,f2,1,2,10,4,white,circle,,Studerende,no,0,1,,0,1554969205461,,,,1,,,0,,,0,,0
kobra,male,19,training_train,practice,f2,1,2,11,4,white,square,,Studerende,no,1,1,,1,1554969208041,,,,1,,,0,,,0,,0
kobra,male,19,training_train,practice,f2,1,2,12,4,white,circle,,Studerende,no,1,1,,1,1554969210621,,,,1,,,0,,,0,,0
kobra,male,19,training_train,practice,f2,1,2,13,4,white,triangle,,Studerende,no,0,1,,0,1554969213181,,,,1,,,0,,,0,,0
kobra,male,19,training_train,practice,f2,1,2,14,4,white,square,,Studerende,no,0,1,,0,1554969215741,,,,1,,,0,,,0,,0
kobra,male,19,training_train,practice,f2,1,2,15,4,white,triangle,,Studerende,no,1,1,,1,1554969218321,,,,1,,,0,,,0,,0
kobra,male,19,training_train,practice,f2,1,2,16,4,white,circle,,Studerende,no,0,1,,0,1554969220881,,,,1,,,0,,,0,,0
kobra,male,19,training_train,practice,f2,1,2,17,4,white,triangle,,Studerende,no,1,1,,1,1554969223461,,,,1,,,0,,,0,,0
kobra,male,19,training_train,practice,f2,1,2,18,4,white,circle,,Studerende,no,1,1,,1,1554969226041,,,,1,,,0,,,0,,0
kobra,male,19,training_train,practice,f2,1,2,19,4,white,star,,Studerende,no,0,1,,0,1554969228601,,,,1,,,0,,,0,,0
kobra,male,19,training_train,practice,f2,1,2,20,4,white,star,,Studerende,no,0,1,,0,1554969231161,,,,1,,,0,,,0,,0
kobra,male,19,training_train,practice,f2,1,2,21,4,white,triangle,,Studerende,no,0,1,,0,1554969233721,,,,1,,,0,,,0,,0
kobra,male,19,training_train,practice,f2,1,2,22,4,white,circle,,Studerende,no,0,1,,0,1554969236281,,,,1,,,0,,,0,,0
kobra,male,19,training_train,practice,f2,1,2,23,4,white,star,,Studerende,no,0,1,,0,1554969238841,,,,1,,,0,,,0,,0
kobra,male,19,training_train,practice,f2,1,2,24,4,white,triangle,,Studerende,no,0,1,,0,1554969241401,,,,1,,,0,,,0,,0
kobra,male,19,training_train,practice,f2,1,2,25,4,white,star,,Studerende,no,1,1,,1,1554969243981,,,,1,,,0,,,0,,0
kobra,male,19,training_train,practice,f2,1,2,26,4,white,circle,,Studerende,no,0,1,,0,1554969246541,,,,1,,,0,,,0,,0
