id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_tested,sound_score,sound_target,sound_response,occupation,simulate,figure_tested,position_target,position_response,color_target,color_tested,figure_response,color_score,position_score,timestamp,figure_target,figure_score,sound_tested,color_response
Lemur,female,24,training_transfer,practice,p1,1,1,1,0,white,circle,,1,,,,Studerende,no,0,0,0,,0,,,1,1555067164740,,,0,
Lemur,female,24,training_transfer,practice,p1,1,1,2,1,white,circle,,1,,,,Studerende,no,0,0,0,,0,,,1,1555067167332,,,0,
Lemur,female,24,training_transfer,practice,p1,1,1,3,6,white,circle,,1,,,,Studerende,no,0,0,0,,0,,,1,1555067169904,,,0,
Lemur,female,24,training_transfer,practice,p1,1,1,4,4,white,circle,,1,,,,Studerende,no,0,0,0,,0,,,1,1555067172495,,,0,
Lemur,female,24,training_transfer,practice,p1,1,1,5,4,white,circle,,1,,,,Studerende,no,0,1,0,,0,,,0,1555067175072,,,0,
Lemur,female,24,training_transfer,practice,p1,1,1,6,1,white,circle,,1,,,,Studerende,no,0,0,0,,0,,,1,1555067177662,,,0,
Lemur,female,24,training_transfer,practice,p1,1,1,7,1,white,circle,,1,,,,Studerende,no,0,1,0,,0,,,0,1555067180274,,,0,
Lemur,female,24,training_transfer,practice,p1,1,1,8,1,white,circle,,1,,,,Studerende,no,0,1,0,,0,,,0,1555067182883,,,0,
Lemur,female,24,training_transfer,practice,p1,1,1,9,6,white,circle,,1,,,,Studerende,no,0,0,0,,0,,,1,1555067185457,,,0,
Lemur,female,24,training_transfer,practice,p1,1,1,10,5,white,circle,,1,,,,Studerende,no,0,0,0,,0,,,1,1555067188049,,,0,
Lemur,female,24,training_transfer,practice,p1,1,1,11,3,white,circle,,1,,,,Studerende,no,0,0,0,,0,,,1,1555067190624,,,0,
Lemur,female,24,training_transfer,practice,p1,1,1,12,3,white,circle,,1,,,,Studerende,no,0,1,0,,0,,,0,1555067193216,,,0,
Lemur,female,24,training_transfer,practice,p1,1,1,13,7,white,circle,,1,,,,Studerende,no,0,0,0,,0,,,1,1555067195804,,,0,
Lemur,female,24,training_transfer,practice,p1,1,1,14,3,white,circle,,1,,,,Studerende,no,0,0,0,,0,,,1,1555067198399,,,0,
Lemur,female,24,training_transfer,practice,p1,1,1,15,0,white,circle,,1,,,,Studerende,no,0,0,0,,0,,,1,1555067200993,,,0,
Lemur,female,24,training_transfer,practice,p1,1,1,16,0,white,circle,,1,,,,Studerende,no,0,1,0,,0,,,0,1555067203566,,,0,
Lemur,female,24,training_transfer,practice,p1,1,1,17,4,white,circle,,1,,,,Studerende,no,0,0,0,,0,,,1,1555067206157,,,0,
Lemur,female,24,training_transfer,practice,p1,1,1,18,3,white,circle,,1,,,,Studerende,no,0,0,0,,0,,,1,1555067208746,,,0,
Lemur,female,24,training_transfer,practice,p1,1,1,19,2,white,circle,,1,,,,Studerende,no,0,0,0,,0,,,1,1555067211324,,,0,
Lemur,female,24,training_transfer,practice,p1,1,1,20,4,white,circle,,1,,,,Studerende,no,0,0,0,,0,,,1,1555067213913,,,0,
Lemur,female,24,training_transfer,practice,p1,1,1,21,3,white,circle,,1,,,,Studerende,no,0,0,0,,0,,,1,1555067216507,,,0,
Lemur,female,24,training_transfer,practice,p1,1,1,22,0,white,circle,,1,,,,Studerende,no,0,0,0,,0,,,1,1555067219111,,,0,
Lemur,female,24,training_transfer,practice,p1,1,1,23,0,white,circle,,1,,,,Studerende,no,0,1,1,,0,,,1,1555067221727,,,0,
Lemur,female,24,training_transfer,practice,p1,1,1,24,0,white,circle,,1,,,,Studerende,no,0,1,0,,0,,,0,1555067224312,,,0,
Lemur,female,24,training_transfer,practice,p1,1,1,25,5,white,circle,,1,,,,Studerende,no,0,0,0,,0,,,1,1555067226907,,,0,
Lemur,female,24,training_transfer,practice,p1,1,1,26,0,white,circle,,1,,,,Studerende,no,0,0,0,,0,,,1,1555067229495,,,0,
Lemur,female,24,training_transfer,practice,p1,1,1,27,0,white,circle,,1,,,,Studerende,no,0,1,1,,0,,,1,1555067232122,,,0,
Lemur,female,24,training_transfer,practice,p1,1,1,28,2,white,circle,,1,,,,Studerende,no,0,0,0,,0,,,1,1555067234699,,,0,
Lemur,female,24,training_transfer,practice,p1,1,1,29,1,white,circle,,1,,,,Studerende,no,0,0,0,,0,,,1,1555067237291,,,0,
Lemur,female,24,training_transfer,practice,p1,1,1,30,3,white,circle,,1,,,,Studerende,no,0,0,0,,0,,,1,1555067239866,,,0,
Lemur,female,24,training_transfer,practice,p1,1,1,31,7,white,circle,,1,,,,Studerende,no,0,0,0,,0,,,1,1555067242440,,,0,
Lemur,female,24,training_transfer,practice,f2,1,2,1,4,white,triangle,,0,,,,Studerende,no,1,,,,0,0,,,1555067276149,0,1,0,
Lemur,female,24,training_transfer,practice,f2,1,2,2,4,white,circle,,0,,,,Studerende,no,1,,,,0,0,,,1555067278738,0,1,0,
Lemur,female,24,training_transfer,practice,f2,1,2,3,4,white,circle,,0,,,,Studerende,no,1,,,,0,1,,,1555067281341,0,0,0,
Lemur,female,24,training_transfer,practice,f2,1,2,4,4,white,circle,,0,,,,Studerende,no,1,,,,0,0,,,1555067283922,1,0,0,
Lemur,female,24,training_transfer,practice,f2,1,2,5,4,white,circle,,0,,,,Studerende,no,1,,,,0,0,,,1555067286496,1,0,0,
Lemur,female,24,training_transfer,practice,f2,1,2,6,4,white,star,,0,,,,Studerende,no,1,,,,0,0,,,1555067289090,0,1,0,
Lemur,female,24,training_transfer,practice,f2,1,2,7,4,white,star,,0,,,,Studerende,no,1,,,,0,1,,,1555067291717,0,0,0,
Lemur,female,24,training_transfer,practice,f2,1,2,8,4,white,star,,0,,,,Studerende,no,1,,,,0,0,,,1555067294307,1,0,0,
Lemur,female,24,training_transfer,practice,f2,1,2,9,4,white,circle,,0,,,,Studerende,no,1,,,,0,0,,,1555067296884,0,1,0,
Lemur,female,24,training_transfer,practice,f2,1,2,10,4,white,square,,0,,,,Studerende,no,1,,,,0,0,,,1555067299453,0,1,0,
Lemur,female,24,training_transfer,practice,f2,1,2,11,4,white,triangle,,0,,,,Studerende,no,1,,,,0,0,,,1555067302049,0,1,0,
Lemur,female,24,training_transfer,practice,f2,1,2,12,4,white,triangle,,0,,,,Studerende,no,1,,,,0,0,,,1555067304622,0,1,0,
Lemur,female,24,training_transfer,practice,f2,1,2,13,4,white,square,,0,,,,Studerende,no,1,,,,0,0,,,1555067307213,0,1,0,
Lemur,female,24,training_transfer,practice,f2,1,2,14,4,white,star,,0,,,,Studerende,no,1,,,,0,0,,,1555067309808,0,1,0,
Lemur,female,24,training_transfer,practice,f2,1,2,15,4,white,circle,,0,,,,Studerende,no,1,,,,0,0,,,1555067312383,0,1,0,
Lemur,female,24,training_transfer,practice,f2,1,2,16,4,white,triangle,,0,,,,Studerende,no,1,,,,0,0,,,1555067314954,0,1,0,
Lemur,female,24,training_transfer,practice,f2,1,2,17,4,white,square,,0,,,,Studerende,no,1,,,,0,0,,,1555067317530,0,1,0,
Lemur,female,24,training_transfer,practice,f2,1,2,18,4,white,triangle,,0,,,,Studerende,no,1,,,,0,1,,,1555067320152,1,1,0,
Lemur,female,24,training_transfer,practice,f2,1,2,19,4,white,triangle,,0,,,,Studerende,no,1,,,,0,0,,,1555067322749,0,1,0,
Lemur,female,24,training_transfer,practice,f2,1,2,20,4,white,triangle,,0,,,,Studerende,no,1,,,,0,0,,,1555067325325,1,0,0,
Lemur,female,24,training_transfer,practice,f2,1,2,21,4,white,triangle,,0,,,,Studerende,no,1,,,,0,0,,,1555067327919,1,0,0,
Lemur,female,24,training_transfer,practice,f2,1,2,22,4,white,square,,0,,,,Studerende,no,1,,,,0,0,,,1555067330505,0,1,0,
Lemur,female,24,training_transfer,practice,f2,1,2,23,4,white,triangle,,0,,,,Studerende,no,1,,,,0,0,,,1555067333083,1,0,0,
Lemur,female,24,training_transfer,practice,f2,1,2,24,4,white,triangle,,0,,,,Studerende,no,1,,,,0,0,,,1555067335672,0,1,0,
Lemur,female,24,training_transfer,practice,f2,1,2,25,4,white,circle,,0,,,,Studerende,no,1,,,,0,0,,,1555067338268,0,1,0,
Lemur,female,24,training_transfer,practice,f2,1,2,26,4,white,circle,,0,,,,Studerende,no,1,,,,0,1,,,1555067340866,0,0,0,
Lemur,female,24,training_transfer,practice,f2,1,2,27,4,white,square,,0,,,,Studerende,no,1,,,,0,0,,,1555067343441,0,1,0,
Lemur,female,24,training_transfer,practice,f2,1,2,28,4,white,triangle,,0,,,,Studerende,no,1,,,,0,0,,,1555067346016,0,1,0,
