id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_response,sound_response,color_tested,position_tested,color_score,figure_tested,timestamp,position_score,occupation,figure_response,color_response,figure_target,figure_score,sound_target,color_target,position_target,sound_tested,sound_score,simulate
Leopard,male,23,training_train,practice,p1,1,1,1,2,white,circle,,0,,0,1,,0,1555398391122,1,Studerende,,,,,,,0,0,,no
Leopard,male,23,training_train,practice,p1,1,1,2,2,white,circle,,1,,0,1,,0,1555398393689,1,Studerende,,,,,,,1,0,,no
Leopard,male,23,training_train,practice,p1,1,1,3,7,white,circle,,0,,0,1,,0,1555398396240,1,Studerende,,,,,,,0,0,,no
Leopard,male,23,training_train,practice,p1,1,1,4,7,white,circle,,1,,0,1,,0,1555398398807,1,Studerende,,,,,,,1,0,,no
Leopard,male,23,training_train,practice,p1,1,1,5,0,white,circle,,0,,0,1,,0,1555398401356,1,Studerende,,,,,,,0,0,,no
Leopard,male,23,training_train,practice,p1,1,1,6,2,white,circle,,0,,0,1,,0,1555398403906,1,Studerende,,,,,,,0,0,,no
Leopard,male,23,training_train,practice,p1,1,1,7,1,white,circle,,0,,0,1,,0,1555398406456,1,Studerende,,,,,,,0,0,,no
Leopard,male,23,training_train,practice,p1,1,1,8,5,white,circle,,0,,0,1,,0,1555398409006,1,Studerende,,,,,,,0,0,,no
Leopard,male,23,training_train,practice,p1,1,1,9,3,white,circle,,0,,0,1,,0,1555398411557,1,Studerende,,,,,,,0,0,,no
Leopard,male,23,training_train,practice,p1,1,1,10,0,white,circle,,0,,0,1,,0,1555398414107,1,Studerende,,,,,,,0,0,,no
Leopard,male,23,training_train,practice,p1,1,1,11,8,white,circle,,0,,0,1,,0,1555398416657,1,Studerende,,,,,,,0,0,,no
Leopard,male,23,training_train,practice,p1,1,1,12,5,white,circle,,0,,0,1,,0,1555398419207,1,Studerende,,,,,,,0,0,,no
Leopard,male,23,training_train,practice,p1,1,1,13,5,white,circle,,1,,0,1,,0,1555398421773,1,Studerende,,,,,,,1,0,,no
Leopard,male,23,training_train,practice,p1,1,1,14,5,white,circle,,1,,0,1,,0,1555398424340,1,Studerende,,,,,,,1,0,,no
Leopard,male,23,training_train,practice,p1,1,1,15,8,white,circle,,0,,0,1,,0,1555398426890,1,Studerende,,,,,,,0,0,,no
Leopard,male,23,training_train,practice,p1,1,1,16,5,white,circle,,0,,0,1,,0,1555398429441,1,Studerende,,,,,,,0,0,,no
Leopard,male,23,training_train,practice,p1,1,1,17,6,white,circle,,0,,0,1,,0,1555398431991,1,Studerende,,,,,,,0,0,,no
Leopard,male,23,training_train,practice,p1,1,1,18,0,white,circle,,0,,0,1,,0,1555398434541,1,Studerende,,,,,,,0,0,,no
Leopard,male,23,training_train,practice,p1,1,1,19,0,white,circle,,1,,0,1,,0,1555398437107,1,Studerende,,,,,,,1,0,,no
Leopard,male,23,training_train,practice,p1,1,1,20,2,white,circle,,0,,0,1,,0,1555398439657,1,Studerende,,,,,,,0,0,,no
Leopard,male,23,training_train,practice,p1,1,1,21,2,white,circle,,1,,0,1,,0,1555398442224,1,Studerende,,,,,,,1,0,,no
Leopard,male,23,training_train,practice,p1,1,1,22,2,white,circle,,1,,0,1,,0,1555398444790,1,Studerende,,,,,,,1,0,,no
Leopard,male,23,training_train,practice,p1,1,1,23,4,white,circle,,0,,0,1,,0,1555398447341,1,Studerende,,,,,,,0,0,,no
Leopard,male,23,training_train,practice,p1,1,1,24,3,white,circle,,0,,0,1,,0,1555398449891,1,Studerende,,,,,,,0,0,,no
Leopard,male,23,training_train,practice,p1,1,1,25,3,white,circle,,1,,0,1,,0,1555398452458,1,Studerende,,,,,,,1,0,,no
Leopard,male,23,training_train,practice,p1,1,1,26,2,white,circle,,0,,0,1,,0,1555398455008,1,Studerende,,,,,,,0,0,,no
Leopard,male,23,training_train,practice,p1,1,1,27,4,white,circle,,0,,0,1,,0,1555398457558,1,Studerende,,,,,,,0,0,,no
Leopard,male,23,training_train,practice,p1,1,1,28,3,white,circle,,0,,0,1,,0,1555398460108,1,Studerende,,,,,,,0,0,,no
Leopard,male,23,training_train,practice,p1,1,1,29,1,white,circle,,0,,0,1,,0,1555398462657,1,Studerende,,,,,,,0,0,,no
