id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,color_response,figure_score,sound_response,color_score,timestamp,figure_tested,figure_target,sound_score,sound_tested,position_tested,position_target,color_target,simulate,figure_response,sound_target,occupation,position_response,position_score,color_tested
Moskusokse,female,25,training_transfer,practice,p1,1,1,1,1,white,circle,,,,,,1555326331285,0,,,0,1,0,,no,,,Studerende,0,1,0
Moskusokse,female,25,training_transfer,practice,p1,1,1,2,6,white,circle,,,,,,1555326333848,0,,,0,1,0,,no,,,Studerende,0,1,0
Moskusokse,female,25,training_transfer,practice,p1,1,1,3,7,white,circle,,,,,,1555326336417,0,,,0,1,0,,no,,,Studerende,0,1,0
Moskusokse,female,25,training_transfer,practice,p1,1,1,4,7,white,circle,,,,,,1555326338986,0,,,0,1,1,,no,,,Studerende,0,0,0
Moskusokse,female,25,training_transfer,practice,p1,1,1,5,3,white,circle,,,,,,1555326341554,0,,,0,1,0,,no,,,Studerende,0,1,0
Moskusokse,female,25,training_transfer,practice,p1,1,1,6,3,white,circle,,,,,,1555326344120,0,,,0,1,1,,no,,,Studerende,0,0,0
Moskusokse,female,25,training_transfer,practice,p1,1,1,7,1,white,circle,,,,,,1555326346689,0,,,0,1,0,,no,,,Studerende,0,1,0
Moskusokse,female,25,training_transfer,practice,p1,1,1,8,3,white,circle,,,,,,1555326349258,0,,,0,1,0,,no,,,Studerende,0,1,0
Moskusokse,female,25,training_transfer,practice,p1,1,1,9,4,white,circle,,,,,,1555326351827,0,,,0,1,0,,no,,,Studerende,0,1,0
Moskusokse,female,25,training_transfer,practice,p1,1,1,10,1,white,circle,,,,,,1555326354392,0,,,0,1,0,,no,,,Studerende,0,1,0
Moskusokse,female,25,training_transfer,practice,p1,1,1,11,5,white,circle,,,,,,1555326356961,0,,,0,1,0,,no,,,Studerende,0,1,0
Moskusokse,female,25,training_transfer,practice,p1,1,1,12,8,white,circle,,,,,,1555326359530,0,,,0,1,0,,no,,,Studerende,0,1,0
Moskusokse,female,25,training_transfer,practice,p1,1,1,13,1,white,circle,,,,,,1555326362097,0,,,0,1,0,,no,,,Studerende,0,1,0
Moskusokse,female,25,training_transfer,practice,p1,1,1,14,2,white,circle,,,,,,1555326364664,0,,,0,1,0,,no,,,Studerende,0,1,0
Moskusokse,female,25,training_transfer,practice,p1,1,1,15,8,white,circle,,,,,,1555326367232,0,,,0,1,0,,no,,,Studerende,0,1,0
Moskusokse,female,25,training_transfer,practice,p1,1,1,16,4,white,circle,,,,,,1555326369802,0,,,0,1,0,,no,,,Studerende,0,1,0
Moskusokse,female,25,training_transfer,practice,p1,1,1,17,1,white,circle,,,,,,1555326372368,0,,,0,1,0,,no,,,Studerende,0,1,0
Moskusokse,female,25,training_transfer,practice,p1,1,1,18,6,white,circle,,,,,,1555326374937,0,,,0,1,0,,no,,,Studerende,0,1,0
Moskusokse,female,25,training_transfer,practice,p1,1,1,19,7,white,circle,,,,,,1555326377505,0,,,0,1,0,,no,,,Studerende,0,1,0
Moskusokse,female,25,training_transfer,practice,p1,1,1,20,0,white,circle,,,,,,1555326380070,0,,,0,1,0,,no,,,Studerende,0,1,0
Moskusokse,female,25,training_transfer,practice,p1,1,1,21,4,white,circle,,,,,,1555326382640,0,,,0,1,0,,no,,,Studerende,0,1,0
Moskusokse,female,25,training_transfer,practice,p1,1,1,22,4,white,circle,,,,,,1555326385211,0,,,0,1,1,,no,,,Studerende,0,0,0
Moskusokse,female,25,training_transfer,practice,p1,1,1,23,7,white,circle,,,,,,1555326387778,0,,,0,1,0,,no,,,Studerende,0,1,0
Moskusokse,female,25,training_transfer,practice,p1,1,1,24,7,white,circle,,,,,,1555326390345,0,,,0,1,1,,no,,,Studerende,0,0,0
Moskusokse,female,25,training_transfer,practice,p1,1,1,25,2,white,circle,,,,,,1555326392913,0,,,0,1,0,,no,,,Studerende,0,1,0
Moskusokse,female,25,training_transfer,practice,p1,1,1,26,1,white,circle,,,,,,1555326395481,0,,,0,1,0,,no,,,Studerende,0,1,0
Moskusokse,female,25,training_transfer,practice,p1,1,1,27,1,white,circle,,,,,,1555326398047,0,,,0,1,1,,no,,,Studerende,0,0,0
Moskusokse,female,25,training_transfer,practice,p1,1,1,28,1,white,circle,,,,,,1555326400616,0,,,0,1,1,,no,,,Studerende,0,0,0
Moskusokse,female,25,training_transfer,practice,p1,1,1,29,3,white,circle,,,,,,1555326403185,0,,,0,1,0,,no,,,Studerende,0,1,0
Moskusokse,female,25,training_transfer,practice,p1,1,1,30,3,white,circle,,,,,,1555326405771,0,,,0,1,1,,no,,,Studerende,0,0,0
Moskusokse,female,25,training_transfer,practice,p1,1,1,31,3,white,circle,,,,,,1555326408337,0,,,0,1,1,,no,,,Studerende,0,0,0
Moskusokse,female,25,training_transfer,practice,f2,1,2,1,4,white,circle,,,1,,,1555326470999,1,0,,0,0,,,no,0,,Studerende,,,0
Moskusokse,female,25,training_transfer,practice,f2,1,2,2,4,white,square,,,1,,,1555326473571,1,0,,0,0,,,no,0,,Studerende,,,0
Moskusokse,female,25,training_transfer,practice,f2,1,2,3,4,white,star,,,1,,,1555326476140,1,0,,0,0,,,no,0,,Studerende,,,0
Moskusokse,female,25,training_transfer,practice,f2,1,2,4,4,white,triangle,,,1,,,1555326478709,1,0,,0,0,,,no,0,,Studerende,,,0
Moskusokse,female,25,training_transfer,practice,f2,1,2,5,4,white,square,,,0,,,1555326481292,1,0,,0,0,,,no,1,,Studerende,,,0
Moskusokse,female,25,training_transfer,practice,f2,1,2,6,4,white,square,,,1,,,1555326483861,1,0,,0,0,,,no,0,,Studerende,,,0
Moskusokse,female,25,training_transfer,practice,f2,1,2,7,4,white,square,,,0,,,1555326486430,1,1,,0,0,,,no,0,,Studerende,,,0
Moskusokse,female,25,training_transfer,practice,f2,1,2,8,4,white,triangle,,,1,,,1555326488995,1,0,,0,0,,,no,0,,Studerende,,,0
Moskusokse,female,25,training_transfer,practice,f2,1,2,9,4,white,circle,,,1,,,1555326491564,1,0,,0,0,,,no,0,,Studerende,,,0
Moskusokse,female,25,training_transfer,practice,f2,1,2,10,4,white,triangle,,,1,,,1555326494150,1,1,,0,0,,,no,1,,Studerende,,,0
Moskusokse,female,25,training_transfer,practice,f2,1,2,11,4,white,star,,,1,,,1555326496716,1,0,,0,0,,,no,0,,Studerende,,,0
Moskusokse,female,25,training_transfer,practice,f2,1,2,12,4,white,triangle,,,0,,,1555326499282,1,1,,0,0,,,no,0,,Studerende,,,0
Moskusokse,female,25,training_transfer,practice,f2,1,2,13,4,white,triangle,,,1,,,1555326501854,1,0,,0,0,,,no,0,,Studerende,,,0
Moskusokse,female,25,training_transfer,practice,f2,1,2,14,4,white,circle,,,1,,,1555326504420,1,0,,0,0,,,no,0,,Studerende,,,0
Moskusokse,female,25,training_transfer,practice,f2,1,2,15,4,white,triangle,,,0,,,1555326506989,1,1,,0,0,,,no,0,,Studerende,,,0
Moskusokse,female,25,training_transfer,practice,f2,1,2,16,4,white,square,,,1,,,1555326509557,1,0,,0,0,,,no,0,,Studerende,,,0
Moskusokse,female,25,training_transfer,practice,f2,1,2,17,4,white,star,,,1,,,1555326512126,1,0,,0,0,,,no,0,,Studerende,,,0
Moskusokse,female,25,training_transfer,practice,f2,1,2,18,4,white,square,,,1,,,1555326514709,1,1,,0,0,,,no,1,,Studerende,,,0
Moskusokse,female,25,training_transfer,practice,f2,1,2,19,4,white,star,,,0,,,1555326517278,1,1,,0,0,,,no,0,,Studerende,,,0
Moskusokse,female,25,training_transfer,practice,f2,1,2,20,4,white,triangle,,,1,,,1555326519844,1,0,,0,0,,,no,0,,Studerende,,,0
Moskusokse,female,25,training_transfer,practice,f2,1,2,21,4,white,square,,,1,,,1555326522413,1,0,,0,0,,,no,0,,Studerende,,,0
Moskusokse,female,25,training_transfer,practice,f2,1,2,22,4,white,star,,,0,,,1555326524998,1,0,,0,0,,,no,1,,Studerende,,,0
Moskusokse,female,25,training_transfer,practice,f2,1,2,23,4,white,triangle,,,1,,,1555326527567,1,0,,0,0,,,no,0,,Studerende,,,0
Moskusokse,female,25,training_transfer,practice,f2,1,2,24,4,white,square,,,1,,,1555326530137,1,0,,0,0,,,no,0,,Studerende,,,0
Moskusokse,female,25,training_transfer,practice,f2,1,2,25,4,white,triangle,,,1,,,1555326532722,1,1,,0,0,,,no,1,,Studerende,,,0
Moskusokse,female,25,training_transfer,practice,f2,1,2,26,4,white,star,,,1,,,1555326535290,1,0,,0,0,,,no,0,,Studerende,,,0
Moskusokse,female,25,training_transfer,practice,f2,1,2,27,4,white,circle,,,1,,,1555326537859,1,0,,0,0,,,no,0,,Studerende,,,0
Moskusokse,female,25,training_transfer,practice,f2,1,2,28,4,white,circle,,,1,,,1555326540428,1,0,,0,0,,,no,0,,Studerende,,,0
