id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,color_tested,occupation,figure_response,color_score,position_response,position_target,figure_score,sound_score,sound_tested,color_target,sound_response,position_score,figure_tested,figure_target,position_tested,sound_target,timestamp,simulate,color_response
næbdyr,male,21,training_transfer,practice,p1,1,1,1,8,white,circle,,0,Studerende,,,0,0,,,0,,,1,0,,1,,1555504522009,no,
næbdyr,male,21,training_transfer,practice,p1,1,1,2,5,white,circle,,0,Studerende,,,0,0,,,0,,,1,0,,1,,1555504524559,no,
næbdyr,male,21,training_transfer,practice,p1,1,1,3,5,white,circle,,0,Studerende,,,0,1,,,0,,,0,0,,1,,1555504527109,no,
næbdyr,male,21,training_transfer,practice,p1,1,1,4,6,white,circle,,0,Studerende,,,0,0,,,0,,,1,0,,1,,1555504529659,no,
næbdyr,male,21,training_transfer,practice,p1,1,1,5,5,white,circle,,0,Studerende,,,0,0,,,0,,,1,0,,1,,1555504532209,no,
næbdyr,male,21,training_transfer,practice,p1,1,1,6,6,white,circle,,0,Studerende,,,0,0,,,0,,,1,0,,1,,1555504534760,no,
næbdyr,male,21,training_transfer,practice,p1,1,1,7,8,white,circle,,0,Studerende,,,0,0,,,0,,,1,0,,1,,1555504537311,no,
næbdyr,male,21,training_transfer,practice,p1,1,1,8,8,white,circle,,0,Studerende,,,0,1,,,0,,,0,0,,1,,1555504539860,no,
næbdyr,male,21,training_transfer,practice,p1,1,1,9,0,white,circle,,0,Studerende,,,0,0,,,0,,,1,0,,1,,1555504542409,no,
næbdyr,male,21,training_transfer,practice,p1,1,1,10,8,white,circle,,0,Studerende,,,0,0,,,0,,,1,0,,1,,1555504544963,no,
næbdyr,male,21,training_transfer,practice,p1,1,1,11,6,white,circle,,0,Studerende,,,0,0,,,0,,,1,0,,1,,1555504547512,no,
næbdyr,male,21,training_transfer,practice,p1,1,1,12,6,white,circle,,0,Studerende,,,0,1,,,0,,,0,0,,1,,1555504550062,no,
næbdyr,male,21,training_transfer,practice,p1,1,1,13,2,white,circle,,0,Studerende,,,0,0,,,0,,,1,0,,1,,1555504552630,no,
næbdyr,male,21,training_transfer,practice,p1,1,1,14,5,white,circle,,0,Studerende,,,0,0,,,0,,,1,0,,1,,1555504555180,no,
næbdyr,male,21,training_transfer,practice,p1,1,1,15,6,white,circle,,0,Studerende,,,0,0,,,0,,,1,0,,1,,1555504557730,no,
næbdyr,male,21,training_transfer,practice,p1,1,1,16,1,white,circle,,0,Studerende,,,0,0,,,0,,,1,0,,1,,1555504560280,no,
næbdyr,male,21,training_transfer,practice,p1,1,1,17,1,white,circle,,0,Studerende,,,0,1,,,0,,,0,0,,1,,1555504562830,no,
næbdyr,male,21,training_transfer,practice,p1,1,1,18,1,white,circle,,0,Studerende,,,0,1,,,0,,,0,0,,1,,1555504565380,no,
næbdyr,male,21,training_transfer,practice,p1,1,1,19,7,white,circle,,0,Studerende,,,0,0,,,0,,,1,0,,1,,1555504567929,no,
næbdyr,male,21,training_transfer,practice,p1,1,1,20,6,white,circle,,0,Studerende,,,0,0,,,0,,,1,0,,1,,1555504570480,no,
næbdyr,male,21,training_transfer,practice,p1,1,1,21,8,white,circle,,0,Studerende,,,0,0,,,0,,,1,0,,1,,1555504573030,no,
næbdyr,male,21,training_transfer,practice,p1,1,1,22,6,white,circle,,0,Studerende,,,0,0,,,0,,,1,0,,1,,1555504575580,no,
næbdyr,male,21,training_transfer,practice,p1,1,1,23,5,white,circle,,0,Studerende,,,0,0,,,0,,,1,0,,1,,1555504578130,no,
næbdyr,male,21,training_transfer,practice,p1,1,1,24,8,white,circle,,0,Studerende,,,0,0,,,0,,,1,0,,1,,1555504580680,no,
næbdyr,male,21,training_transfer,practice,p1,1,1,25,3,white,circle,,0,Studerende,,,0,0,,,0,,,1,0,,1,,1555504583230,no,
næbdyr,male,21,training_transfer,practice,p1,1,1,26,3,white,circle,,0,Studerende,,,0,1,,,0,,,0,0,,1,,1555504585780,no,
næbdyr,male,21,training_transfer,practice,p1,1,1,27,0,white,circle,,0,Studerende,,,0,0,,,0,,,1,0,,1,,1555504588331,no,
næbdyr,male,21,training_transfer,practice,p1,1,1,28,0,white,circle,,0,Studerende,,,0,1,,,0,,,0,0,,1,,1555504590881,no,
næbdyr,male,21,training_transfer,practice,p1,1,1,29,0,white,circle,,0,Studerende,,,0,1,,,0,,,0,0,,1,,1555504593430,no,
næbdyr,male,21,training_transfer,practice,p1,1,1,30,3,white,circle,,0,Studerende,,,0,0,,,0,,,1,0,,1,,1555504595980,no,
næbdyr,male,21,training_transfer,practice,p1,1,1,31,0,white,circle,,0,Studerende,,,0,0,,,0,,,1,0,,1,,1555504598532,no,
