id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,occupation,sound_score,position_tested,figure_response,position_score,figure_tested,simulate,color_score,sound_response,timestamp,color_target,position_response,figure_target,color_tested,position_target,color_response,figure_score,sound_target,sound_tested
næseabe,female,23,training_train,practice,p1,1,1,1,6,white,circle,,Studerende,,1,,1,0,no,,,1555489058995,,0,,0,0,,,,0
næseabe,female,23,training_train,practice,p1,1,1,2,6,white,circle,,Studerende,,1,,0,0,no,,,1555489061562,,0,,0,1,,,,0
næseabe,female,23,training_train,practice,p1,1,1,3,4,white,circle,,Studerende,,1,,1,0,no,,,1555489064112,,0,,0,0,,,,0
næseabe,female,23,training_train,practice,p1,1,1,4,6,white,circle,,Studerende,,1,,1,0,no,,,1555489066661,,0,,0,0,,,,0
næseabe,female,23,training_train,practice,p1,1,1,5,1,white,circle,,Studerende,,1,,1,0,no,,,1555489069211,,0,,0,0,,,,0
næseabe,female,23,training_train,practice,p1,1,1,6,4,white,circle,,Studerende,,1,,1,0,no,,,1555489071761,,0,,0,0,,,,0
næseabe,female,23,training_train,practice,p1,1,1,7,0,white,circle,,Studerende,,1,,1,0,no,,,1555489074312,,0,,0,0,,,,0
næseabe,female,23,training_train,practice,p1,1,1,8,3,white,circle,,Studerende,,1,,1,0,no,,,1555489076862,,0,,0,0,,,,0
næseabe,female,23,training_train,practice,p1,1,1,9,7,white,circle,,Studerende,,1,,1,0,no,,,1555489079412,,0,,0,0,,,,0
næseabe,female,23,training_train,practice,p1,1,1,10,2,white,circle,,Studerende,,1,,1,0,no,,,1555489081962,,0,,0,0,,,,0
næseabe,female,23,training_train,practice,p1,1,1,11,4,white,circle,,Studerende,,1,,1,0,no,,,1555489084512,,0,,0,0,,,,0
næseabe,female,23,training_train,practice,p1,1,1,12,0,white,circle,,Studerende,,1,,1,0,no,,,1555489087062,,0,,0,0,,,,0
næseabe,female,23,training_train,practice,p1,1,1,13,6,white,circle,,Studerende,,1,,1,0,no,,,1555489089612,,0,,0,0,,,,0
næseabe,female,23,training_train,practice,p1,1,1,14,0,white,circle,,Studerende,,1,,1,0,no,,,1555489092163,,0,,0,0,,,,0
næseabe,female,23,training_train,practice,p1,1,1,15,0,white,circle,,Studerende,,1,,0,0,no,,,1555489094713,,0,,0,1,,,,0
næseabe,female,23,training_train,practice,p1,1,1,16,0,white,circle,,Studerende,,1,,0,0,no,,,1555489097262,,0,,0,1,,,,0
næseabe,female,23,training_train,practice,p1,1,1,17,1,white,circle,,Studerende,,1,,1,0,no,,,1555489099812,,0,,0,0,,,,0
næseabe,female,23,training_train,practice,p1,1,1,18,8,white,circle,,Studerende,,1,,1,0,no,,,1555489102362,,0,,0,0,,,,0
