id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_tested,color_tested,sound_target,simulate,position_response,figure_score,occupation,sound_tested,color_response,color_score,timestamp,figure_target,position_target,sound_score,figure_tested,position_score,figure_response,color_target,sound_response
odder,female,26,training_transfer,practice,p1,1,1,1,2,white,circle,,1,0,,no,0,,Studerende,0,,,1555350788357,,0,,0,1,,,
odder,female,26,training_transfer,practice,p1,1,1,2,4,white,circle,,1,0,,no,0,,Studerende,0,,,1555350790946,,0,,0,1,,,
odder,female,26,training_transfer,practice,p1,1,1,3,6,white,circle,,1,0,,no,0,,Studerende,0,,,1555350793549,,0,,0,1,,,
odder,female,26,training_transfer,practice,p1,1,1,4,0,white,circle,,1,0,,no,0,,Studerende,0,,,1555350796127,,0,,0,1,,,
odder,female,26,training_transfer,practice,p1,1,1,5,2,white,circle,,1,0,,no,1,,Studerende,0,,,1555350798727,,0,,0,0,,,
odder,female,26,training_transfer,practice,p1,1,1,6,2,white,circle,,1,0,,no,0,,Studerende,0,,,1555350801296,,1,,0,0,,,
odder,female,26,training_transfer,practice,p1,1,1,7,2,white,circle,,1,0,,no,1,,Studerende,0,,,1555350803888,,1,,0,1,,,
odder,female,26,training_transfer,practice,p1,1,1,8,7,white,circle,,1,0,,no,0,,Studerende,0,,,1555350806466,,0,,0,1,,,
odder,female,26,training_transfer,practice,p1,1,1,9,6,white,circle,,1,0,,no,0,,Studerende,0,,,1555350809032,,0,,0,1,,,
odder,female,26,training_transfer,practice,p1,1,1,10,6,white,circle,,1,0,,no,0,,Studerende,0,,,1555350811600,,1,,0,0,,,
odder,female,26,training_transfer,practice,p1,1,1,11,5,white,circle,,1,0,,no,0,,Studerende,0,,,1555350814169,,0,,0,1,,,
odder,female,26,training_transfer,practice,p1,1,1,12,4,white,circle,,1,0,,no,0,,Studerende,0,,,1555350816738,,0,,0,1,,,
odder,female,26,training_transfer,practice,p1,1,1,13,0,white,circle,,1,0,,no,0,,Studerende,0,,,1555350819304,,0,,0,1,,,
odder,female,26,training_transfer,practice,p1,1,1,14,0,white,circle,,1,0,,no,1,,Studerende,0,,,1555350821887,,1,,0,1,,,
odder,female,26,training_transfer,practice,p1,1,1,15,0,white,circle,,1,0,,no,1,,Studerende,0,,,1555350824491,,1,,0,1,,,
