id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,figure_response,position_target,figure_tested,timestamp,sound_target,color_tested,sound_response,color_score,figure_target,sound_score,sound_tested,figure_score,simulate,position_response,occupation,color_target,position_score,color_response,position_tested
Orangutan,male,55,training_transfer,practice,p1,1,1,1,0,white,circle,,,0,0,1555673378867,,0,,,,,0,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,practice,p1,1,1,2,8,white,circle,,,0,0,1555673381417,,0,,,,,0,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,practice,p1,1,1,3,4,white,circle,,,0,0,1555673383967,,0,,,,,0,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,practice,p1,1,1,4,1,white,circle,,,0,0,1555673386517,,0,,,,,0,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,practice,p1,1,1,5,7,white,circle,,,0,0,1555673389066,,0,,,,,0,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,practice,p1,1,1,6,1,white,circle,,,0,0,1555673391621,,0,,,,,0,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,practice,p1,1,1,7,8,white,circle,,,0,0,1555673394188,,0,,,,,0,,no,1,Andet,,0,,1
Orangutan,male,55,training_transfer,practice,p1,1,1,8,7,white,circle,,,0,0,1555673396738,,0,,,,,0,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,practice,p1,1,1,9,7,white,circle,,,1,0,1555673399287,,0,,,,,0,,no,0,Andet,,0,,1
Orangutan,male,55,training_transfer,practice,p1,1,1,10,7,white,circle,,,1,0,1555673401854,,0,,,,,0,,no,1,Andet,,1,,1
Orangutan,male,55,training_transfer,practice,p1,1,1,11,5,white,circle,,,0,0,1555673404404,,0,,,,,0,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,practice,p1,1,1,12,5,white,circle,,,1,0,1555673406954,,0,,,,,0,,no,0,Andet,,0,,1
Orangutan,male,55,training_transfer,practice,p1,1,1,13,5,white,circle,,,1,0,1555673409521,,0,,,,,0,,no,1,Andet,,1,,1
