id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_tested,occupation,figure_score,position_target,sound_target,simulate,figure_response,timestamp,figure_target,position_response,color_tested,color_score,position_score,figure_tested,sound_response,color_target,sound_score,sound_tested,color_response
Pindsvin,male,23,training_train,practice,p1,1,1,1,5,white,circle,,1,Studerende,,0,,no,,1555583789571,,0,0,,1,0,,,,0,
Pindsvin,male,23,training_train,practice,p1,1,1,2,6,white,circle,,1,Studerende,,0,,no,,1555583792121,,0,0,,1,0,,,,0,
Pindsvin,male,23,training_train,practice,p1,1,1,3,2,white,circle,,1,Studerende,,0,,no,,1555583794672,,0,0,,1,0,,,,0,
Pindsvin,male,23,training_train,practice,p1,1,1,4,2,white,circle,,1,Studerende,,1,,no,,1555583797238,,0,0,,0,0,,,,0,
Pindsvin,male,23,training_train,practice,p1,1,1,5,4,white,circle,,1,Studerende,,0,,no,,1555583799788,,0,0,,1,0,,,,0,
Pindsvin,male,23,training_train,practice,p1,1,1,6,4,white,circle,,1,Studerende,,1,,no,,1555583802354,,1,0,,1,0,,,,0,
Pindsvin,male,23,training_train,practice,p1,1,1,7,6,white,circle,,1,Studerende,,0,,no,,1555583804905,,0,0,,1,0,,,,0,
Pindsvin,male,23,training_train,practice,p1,1,1,8,6,white,circle,,1,Studerende,,1,,no,,1555583807472,,1,0,,1,0,,,,0,
Pindsvin,male,23,training_train,practice,p1,1,1,9,0,white,circle,,1,Studerende,,0,,no,,1555583810021,,0,0,,1,0,,,,0,
Pindsvin,male,23,training_train,practice,p1,1,1,10,1,white,circle,,1,Studerende,,0,,no,,1555583812572,,0,0,,1,0,,,,0,
Pindsvin,male,23,training_train,practice,p1,1,1,11,0,white,circle,,1,Studerende,,0,,no,,1555583815122,,0,0,,1,0,,,,0,
Pindsvin,male,23,training_train,practice,p1,1,1,12,5,white,circle,,1,Studerende,,0,,no,,1555583817672,,0,0,,1,0,,,,0,
Pindsvin,male,23,training_train,practice,p1,1,1,13,5,white,circle,,1,Studerende,,1,,no,,1555583820238,,1,0,,1,0,,,,0,
Pindsvin,male,23,training_train,practice,p1,1,1,14,4,white,circle,,1,Studerende,,0,,no,,1555583822788,,0,0,,1,0,,,,0,
Pindsvin,male,23,training_train,practice,p1,1,1,15,4,white,circle,,1,Studerende,,1,,no,,1555583825360,,1,0,,1,0,,,,0,
Pindsvin,male,23,training_train,practice,p1,1,1,16,2,white,circle,,1,Studerende,,0,,no,,1555583827910,,0,0,,1,0,,,,0,
Pindsvin,male,23,training_train,practice,p1,1,1,17,7,white,circle,,1,Studerende,,0,,no,,1555583830461,,0,0,,1,0,,,,0,
Pindsvin,male,23,training_train,practice,p1,1,1,18,2,white,circle,,1,Studerende,,0,,no,,1555583833011,,0,0,,1,0,,,,0,
Pindsvin,male,23,training_train,practice,p1,1,1,19,8,white,circle,,1,Studerende,,0,,no,,1555583835561,,0,0,,1,0,,,,0,
Pindsvin,male,23,training_train,practice,p1,1,1,20,2,white,circle,,1,Studerende,,0,,no,,1555583838111,,0,0,,1,0,,,,0,
Pindsvin,male,23,training_train,practice,p1,1,1,21,8,white,circle,,1,Studerende,,0,,no,,1555583840666,,0,0,,1,0,,,,0,
Pindsvin,male,23,training_train,practice,p1,1,1,22,8,white,circle,,1,Studerende,,1,,no,,1555583843227,,1,0,,1,0,,,,0,
