id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,occupation,sound_response,figure_response,timestamp,position_response,simulate,figure_tested,color_response,sound_target,color_tested,color_target,sound_tested,position_score,position_target,sound_score,position_tested,color_score,figure_target,figure_score
Rokke,male,32,training_transfer,practice,p1,1,1,1,5,white,circle,,Studerende,,,1555490046313,0,no,0,,,0,,0,1,0,,1,,,
Rokke,male,32,training_transfer,practice,p1,1,1,2,7,white,circle,,Studerende,,,1555490048881,0,no,0,,,0,,0,1,0,,1,,,
Rokke,male,32,training_transfer,practice,p1,1,1,3,5,white,circle,,Studerende,,,1555490051449,0,no,0,,,0,,0,1,0,,1,,,
Rokke,male,32,training_transfer,practice,p1,1,1,4,0,white,circle,,Studerende,,,1555490054015,0,no,0,,,0,,0,1,0,,1,,,
Rokke,male,32,training_transfer,practice,p1,1,1,5,3,white,circle,,Studerende,,,1555490056581,0,no,0,,,0,,0,1,0,,1,,,
Rokke,male,32,training_transfer,practice,p1,1,1,6,0,white,circle,,Studerende,,,1555490059164,1,no,0,,,0,,0,0,0,,1,,,
Rokke,male,32,training_transfer,practice,p1,1,1,7,0,white,circle,,Studerende,,,1555490061748,1,no,0,,,0,,0,1,1,,1,,,
Rokke,male,32,training_transfer,practice,p1,1,1,8,8,white,circle,,Studerende,,,1555490064322,0,no,0,,,0,,0,1,0,,1,,,
Rokke,male,32,training_transfer,practice,p1,1,1,9,8,white,circle,,Studerende,,,1555490066904,1,no,0,,,0,,0,1,1,,1,,,
Rokke,male,32,training_transfer,practice,p1,1,1,10,2,white,circle,,Studerende,,,1555490069474,0,no,0,,,0,,0,1,0,,1,,,
Rokke,male,32,training_transfer,practice,p1,1,1,11,2,white,circle,,Studerende,,,1555490072058,1,no,0,,,0,,0,1,1,,1,,,
Rokke,male,32,training_transfer,practice,p1,1,1,12,1,white,circle,,Studerende,,,1555490074626,0,no,0,,,0,,0,1,0,,1,,,
Rokke,male,32,training_transfer,practice,p1,1,1,13,1,white,circle,,Studerende,,,1555490077210,1,no,0,,,0,,0,1,1,,1,,,
Rokke,male,32,training_transfer,practice,p1,1,1,14,2,white,circle,,Studerende,,,1555490079780,0,no,0,,,0,,0,1,0,,1,,,
Rokke,male,32,training_transfer,practice,p1,1,1,15,4,white,circle,,Studerende,,,1555490082346,0,no,0,,,0,,0,1,0,,1,,,
Rokke,male,32,training_transfer,practice,p1,1,1,16,1,white,circle,,Studerende,,,1555490084915,0,no,0,,,0,,0,1,0,,1,,,
Rokke,male,32,training_transfer,practice,p1,1,1,17,2,white,circle,,Studerende,,,1555490087483,0,no,0,,,0,,0,1,0,,1,,,
Rokke,male,32,training_transfer,practice,p1,1,1,18,2,white,circle,,Studerende,,,1555490090065,1,no,0,,,0,,0,1,1,,1,,,
Rokke,male,32,training_transfer,practice,p1,1,1,19,3,white,circle,,Studerende,,,1555490092637,0,no,0,,,0,,0,1,0,,1,,,
Rokke,male,32,training_transfer,practice,p1,1,1,20,3,white,circle,,Studerende,,,1555490095217,1,no,0,,,0,,0,1,1,,1,,,
Rokke,male,32,training_transfer,practice,p1,1,1,21,2,white,circle,,Studerende,,,1555490097789,0,no,0,,,0,,0,1,0,,1,,,
Rokke,male,32,training_transfer,practice,p1,1,1,22,3,white,circle,,Studerende,,,1555490100355,0,no,0,,,0,,0,1,0,,1,,,
Rokke,male,32,training_transfer,practice,p1,1,1,23,5,white,circle,,Studerende,,,1555490102925,0,no,0,,,0,,0,1,0,,1,,,
Rokke,male,32,training_transfer,practice,p1,1,1,24,5,white,circle,,Studerende,,,1555490105507,1,no,0,,,0,,0,1,1,,1,,,
Rokke,male,32,training_transfer,practice,p1,1,1,25,6,white,circle,,Studerende,,,1555490108076,0,no,0,,,0,,0,1,0,,1,,,
Rokke,male,32,training_transfer,practice,p1,1,1,26,7,white,circle,,Studerende,,,1555490110646,0,no,0,,,0,,0,1,0,,1,,,
Rokke,male,32,training_transfer,practice,p1,1,1,27,1,white,circle,,Studerende,,,1555490113213,0,no,0,,,0,,0,1,0,,1,,,
Rokke,male,32,training_transfer,practice,p1,1,1,28,8,white,circle,,Studerende,,,1555490115779,0,no,0,,,0,,0,1,0,,1,,,
Rokke,male,32,training_transfer,practice,p1,1,1,29,3,white,circle,,Studerende,,,1555490118347,0,no,0,,,0,,0,1,0,,1,,,
Rokke,male,32,training_transfer,practice,p1,1,1,30,5,white,circle,,Studerende,,,1555490120917,0,no,0,,,0,,0,1,0,,1,,,
Rokke,male,32,training_transfer,practice,p1,1,1,31,5,white,circle,,Studerende,,,1555490123500,1,no,0,,,0,,0,1,1,,1,,,
Rokke,male,32,training_transfer,practice,f2,1,2,1,4,white,square,,Studerende,,0,1555490182266,,no,1,,,0,,0,,,,0,,0,1
Rokke,male,32,training_transfer,practice,f2,1,2,2,4,white,triangle,,Studerende,,0,1555490184849,,no,1,,,0,,0,,,,0,,0,1
Rokke,male,32,training_transfer,practice,f2,1,2,3,4,white,triangle,,Studerende,,0,1555490187417,,no,1,,,0,,0,,,,0,,0,1
Rokke,male,32,training_transfer,practice,f2,1,2,4,4,white,square,,Studerende,,1,1555490190004,,no,1,,,0,,0,,,,0,,0,0
Rokke,male,32,training_transfer,practice,f2,1,2,5,4,white,circle,,Studerende,,0,1555490192570,,no,1,,,0,,0,,,,0,,0,1
Rokke,male,32,training_transfer,practice,f2,1,2,6,4,white,square,,Studerende,,1,1555490195162,,no,1,,,0,,0,,,,0,,1,1
Rokke,male,32,training_transfer,practice,f2,1,2,7,4,white,star,,Studerende,,0,1555490197739,,no,1,,,0,,0,,,,0,,0,1
Rokke,male,32,training_transfer,practice,f2,1,2,8,4,white,circle,,Studerende,,1,1555490200322,,no,1,,,0,,0,,,,0,,0,0
Rokke,male,32,training_transfer,practice,f2,1,2,9,4,white,circle,,Studerende,,0,1555490202891,,no,1,,,0,,0,,,,0,,0,1
Rokke,male,32,training_transfer,practice,f2,1,2,10,4,white,square,,Studerende,,1,1555490205484,,no,1,,,0,,0,,,,0,,0,0
Rokke,male,32,training_transfer,practice,f2,1,2,11,4,white,triangle,,Studerende,,0,1555490208061,,no,1,,,0,,0,,,,0,,0,1
Rokke,male,32,training_transfer,practice,f2,1,2,12,4,white,square,,Studerende,,1,1555490210638,,no,1,,,0,,0,,,,0,,1,1
Rokke,male,32,training_transfer,practice,f2,1,2,13,4,white,triangle,,Studerende,,1,1555490213224,,no,1,,,0,,0,,,,0,,1,1
Rokke,male,32,training_transfer,practice,f2,1,2,14,4,white,triangle,,Studerende,,0,1555490215799,,no,1,,,0,,0,,,,0,,0,1
Rokke,male,32,training_transfer,practice,f2,1,2,15,4,white,star,,Studerende,,0,1555490218375,,no,1,,,0,,0,,,,0,,0,1
Rokke,male,32,training_transfer,practice,f2,1,2,16,4,white,square,,Studerende,,1,1555490220962,,no,1,,,0,,0,,,,0,,0,0
Rokke,male,32,training_transfer,practice,f2,1,2,17,4,white,star,,Studerende,,1,1555490223543,,no,1,,,0,,0,,,,0,,1,1
Rokke,male,32,training_transfer,practice,f2,1,2,18,4,white,triangle,,Studerende,,1,1555490226129,,no,1,,,0,,0,,,,0,,0,0
Rokke,male,32,training_transfer,practice,f2,1,2,19,4,white,star,,Studerende,,1,1555490228721,,no,1,,,0,,0,,,,0,,1,1
Rokke,male,32,training_transfer,practice,f2,1,2,20,4,white,triangle,,Studerende,,1,1555490231299,,no,1,,,0,,0,,,,0,,1,1
Rokke,male,32,training_transfer,practice,f2,1,2,21,4,white,circle,,Studerende,,0,1555490233873,,no,1,,,0,,0,,,,0,,0,1
Rokke,male,32,training_transfer,practice,f2,1,2,22,4,white,square,,Studerende,,0,1555490236442,,no,1,,,0,,0,,,,0,,0,1
Rokke,male,32,training_transfer,practice,f2,1,2,23,4,white,star,,Studerende,,0,1555490239011,,no,1,,,0,,0,,,,0,,0,1
Rokke,male,32,training_transfer,practice,f2,1,2,24,4,white,circle,,Studerende,,0,1555490241594,,no,1,,,0,,0,,,,0,,0,1
Rokke,male,32,training_transfer,practice,f2,1,2,25,4,white,circle,,Studerende,,0,1555490244163,,no,1,,,0,,0,,,,0,,0,1
Rokke,male,32,training_transfer,practice,f2,1,2,26,4,white,triangle,,Studerende,,0,1555490246729,,no,1,,,0,,0,,,,0,,0,1
