id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,color_tested,position_target,position_score,timestamp,sound_tested,position_response,sound_response,figure_score,sound_target,figure_response,position_tested,occupation,figure_target,sound_score,simulate,color_target,color_score,color_response,figure_tested
Tangloppe,female,18,training_transfer,practice,p1,1,1,1,5,white,circle,,0,0,1,1555411577851,0,0,,,,,1,Studerende,,,no,,,,0
Tangloppe,female,18,training_transfer,practice,p1,1,1,2,5,white,circle,,0,1,0,1555411580434,0,0,,,,,1,Studerende,,,no,,,,0
Tangloppe,female,18,training_transfer,practice,p1,1,1,3,3,white,circle,,0,0,1,1555411583021,0,0,,,,,1,Studerende,,,no,,,,0
Tangloppe,female,18,training_transfer,practice,p1,1,1,4,2,white,circle,,0,0,1,1555411585586,0,0,,,,,1,Studerende,,,no,,,,0
Tangloppe,female,18,training_transfer,practice,p1,1,1,5,4,white,circle,,0,0,1,1555411588172,0,0,,,,,1,Studerende,,,no,,,,0
Tangloppe,female,18,training_transfer,practice,p1,1,1,6,3,white,circle,,0,0,1,1555411590759,0,0,,,,,1,Studerende,,,no,,,,0
Tangloppe,female,18,training_transfer,practice,p1,1,1,7,3,white,circle,,0,1,0,1555411593336,0,0,,,,,1,Studerende,,,no,,,,0
Tangloppe,female,18,training_transfer,practice,p1,1,1,8,3,white,circle,,0,1,0,1555411595919,0,0,,,,,1,Studerende,,,no,,,,0
Tangloppe,female,18,training_transfer,practice,p1,1,1,9,4,white,circle,,0,0,1,1555411598506,0,0,,,,,1,Studerende,,,no,,,,0
Tangloppe,female,18,training_transfer,practice,p1,1,1,10,5,white,circle,,0,0,1,1555411601083,0,0,,,,,1,Studerende,,,no,,,,0
Tangloppe,female,18,training_transfer,practice,p1,1,1,11,8,white,circle,,0,0,0,1555411603669,0,1,,,,,1,Studerende,,,no,,,,0
Tangloppe,female,18,training_transfer,practice,p1,1,1,12,0,white,circle,,0,0,1,1555411606285,0,0,,,,,1,Studerende,,,no,,,,0
Tangloppe,female,18,training_transfer,practice,p1,1,1,13,0,white,circle,,0,1,0,1555411608871,0,0,,,,,1,Studerende,,,no,,,,0
Tangloppe,female,18,training_transfer,practice,p1,1,1,14,2,white,circle,,0,0,0,1555411611463,0,1,,,,,1,Studerende,,,no,,,,0
Tangloppe,female,18,training_transfer,practice,p1,1,1,15,5,white,circle,,0,0,1,1555411614070,0,0,,,,,1,Studerende,,,no,,,,0
Tangloppe,female,18,training_transfer,practice,p1,1,1,16,2,white,circle,,0,0,1,1555411616656,0,0,,,,,1,Studerende,,,no,,,,0
Tangloppe,female,18,training_transfer,practice,p1,1,1,17,2,white,circle,,0,1,0,1555411619222,0,0,,,,,1,Studerende,,,no,,,,0
Tangloppe,female,18,training_transfer,practice,p1,1,1,18,2,white,circle,,0,1,0,1555411621805,0,0,,,,,1,Studerende,,,no,,,,0
Tangloppe,female,18,training_transfer,practice,p1,1,1,19,8,white,circle,,0,0,1,1555411624388,0,0,,,,,1,Studerende,,,no,,,,0
Tangloppe,female,18,training_transfer,practice,p1,1,1,20,2,white,circle,,0,0,1,1555411626972,0,0,,,,,1,Studerende,,,no,,,,0
Tangloppe,female,18,training_transfer,practice,p1,1,1,21,2,white,circle,,0,1,0,1555411629555,0,0,,,,,1,Studerende,,,no,,,,0
Tangloppe,female,18,training_transfer,practice,p1,1,1,22,1,white,circle,,0,0,1,1555411632124,0,0,,,,,1,Studerende,,,no,,,,0
Tangloppe,female,18,training_transfer,practice,p1,1,1,23,5,white,circle,,0,0,1,1555411634707,0,0,,,,,1,Studerende,,,no,,,,0
Tangloppe,female,18,training_transfer,practice,p1,1,1,24,4,white,circle,,0,0,1,1555411637289,0,0,,,,,1,Studerende,,,no,,,,0
Tangloppe,female,18,training_transfer,practice,p1,1,1,25,8,white,circle,,0,0,1,1555411639856,0,0,,,,,1,Studerende,,,no,,,,0
Tangloppe,female,18,training_transfer,practice,p1,1,1,26,6,white,circle,,0,0,1,1555411642439,0,0,,,,,1,Studerende,,,no,,,,0
Tangloppe,female,18,training_transfer,practice,p1,1,1,27,3,white,circle,,0,0,1,1555411645011,0,0,,,,,1,Studerende,,,no,,,,0
Tangloppe,female,18,training_transfer,practice,p1,1,1,28,3,white,circle,,0,1,0,1555411647591,0,0,,,,,1,Studerende,,,no,,,,0
Tangloppe,female,18,training_transfer,practice,p1,1,1,29,4,white,circle,,0,0,1,1555411650157,0,0,,,,,1,Studerende,,,no,,,,0
Tangloppe,female,18,training_transfer,practice,p1,1,1,30,8,white,circle,,0,0,1,1555411652741,0,0,,,,,1,Studerende,,,no,,,,0
Tangloppe,female,18,training_transfer,practice,p1,1,1,31,4,white,circle,,0,0,1,1555411655324,0,0,,,,,1,Studerende,,,no,,,,0
Tangloppe,female,18,training_transfer,practice,f2,1,2,1,4,white,circle,,0,,,1555411730348,0,,,1,,0,0,Studerende,0,,no,,,,1
Tangloppe,female,18,training_transfer,practice,f2,1,2,2,4,white,circle,,0,,,1555411732949,0,,,0,,1,0,Studerende,0,,no,,,,1
Tangloppe,female,18,training_transfer,practice,f2,1,2,3,4,white,triangle,,0,,,1555411735529,0,,,1,,0,0,Studerende,0,,no,,,,1
Tangloppe,female,18,training_transfer,practice,f2,1,2,4,4,white,circle,,0,,,1555411738101,0,,,0,,0,0,Studerende,1,,no,,,,1
Tangloppe,female,18,training_transfer,practice,f2,1,2,5,4,white,circle,,0,,,1555411740667,0,,,1,,0,0,Studerende,0,,no,,,,1
Tangloppe,female,18,training_transfer,practice,f2,1,2,6,4,white,triangle,,0,,,1555411743250,0,,,1,,0,0,Studerende,0,,no,,,,1
