id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,color_response,position_target,position_tested,sound_target,simulate,sound_score,color_score,position_score,color_target,sound_tested,figure_response,occupation,timestamp,figure_score,sound_response,color_tested,position_response,figure_target,figure_tested
Tiger,female,56,training_train,practice,p1,1,1,1,4,white,circle,,,0,1,,no,,,1,,0,,I arbejde,1555595023688,,,0,0,,0
Tiger,female,56,training_train,practice,p1,1,1,2,1,white,circle,,,0,1,,no,,,1,,0,,I arbejde,1555595026270,,,0,0,,0
Tiger,female,56,training_train,practice,p1,1,1,3,4,white,circle,,,0,1,,no,,,0,,0,,I arbejde,1555595028859,,,0,1,,0
Tiger,female,56,training_train,practice,p1,1,1,4,3,white,circle,,,0,1,,no,,,1,,0,,I arbejde,1555595031438,,,0,0,,0
Tiger,female,56,training_train,practice,p1,1,1,5,3,white,circle,,,1,1,,no,,,0,,0,,I arbejde,1555595034027,,,0,0,,0
Tiger,female,56,training_train,practice,p1,1,1,6,3,white,circle,,,1,1,,no,,,0,,0,,I arbejde,1555595036604,,,0,0,,0
Tiger,female,56,training_train,practice,p1,1,1,7,0,white,circle,,,0,1,,no,,,1,,0,,I arbejde,1555595039187,,,0,0,,0
Tiger,female,56,training_train,practice,p1,1,1,8,7,white,circle,,,0,1,,no,,,0,,0,,I arbejde,1555595041782,,,0,1,,0
Tiger,female,56,training_train,practice,p1,1,1,9,7,white,circle,,,1,1,,no,,,1,,0,,I arbejde,1555595044368,,,0,1,,0
Tiger,female,56,training_train,practice,p1,1,1,10,6,white,circle,,,0,1,,no,,,1,,0,,I arbejde,1555595046937,,,0,0,,0
Tiger,female,56,training_train,practice,p1,1,1,11,0,white,circle,,,0,1,,no,,,1,,0,,I arbejde,1555595049553,,,0,0,,0
Tiger,female,56,training_train,practice,p1,1,1,12,2,white,circle,,,0,1,,no,,,1,,0,,I arbejde,1555595052122,,,0,0,,0
Tiger,female,56,training_train,practice,p1,1,1,13,2,white,circle,,,1,1,,no,,,0,,0,,I arbejde,1555595054705,,,0,0,,0
Tiger,female,56,training_train,practice,p1,1,1,14,6,white,circle,,,0,1,,no,,,1,,0,,I arbejde,1555595057273,,,0,0,,0
Tiger,female,56,training_train,practice,p1,1,1,15,0,white,circle,,,0,1,,no,,,1,,0,,I arbejde,1555595059837,,,0,0,,0
Tiger,female,56,training_train,practice,p1,1,1,16,2,white,circle,,,0,1,,no,,,0,,0,,I arbejde,1555595062415,,,0,1,,0
Tiger,female,56,training_train,practice,p1,1,1,17,6,white,circle,,,0,1,,no,,,1,,0,,I arbejde,1555595064989,,,0,0,,0
Tiger,female,56,training_train,practice,p1,1,1,18,6,white,circle,,,1,1,,no,,,1,,0,,I arbejde,1555595067575,,,0,1,,0
Tiger,female,56,training_train,practice,p1,1,1,19,6,white,circle,,,1,1,,no,,,1,,0,,I arbejde,1555595070167,,,0,1,,0
Tiger,female,56,training_train,practice,p1,1,1,20,5,white,circle,,,0,1,,no,,,1,,0,,I arbejde,1555595072742,,,0,0,,0
Tiger,female,56,training_train,practice,p1,1,1,21,1,white,circle,,,0,1,,no,,,1,,0,,I arbejde,1555595075308,,,0,0,,0
Tiger,female,56,training_train,practice,p1,1,1,22,2,white,circle,,,0,1,,no,,,1,,0,,I arbejde,1555595077891,,,0,0,,0
Tiger,female,56,training_train,practice,p1,1,1,23,4,white,circle,,,0,1,,no,,,1,,0,,I arbejde,1555595080477,,,0,0,,0
Tiger,female,56,training_train,practice,p1,1,1,24,5,white,circle,,,0,1,,no,,,0,,0,,I arbejde,1555595083072,,,0,1,,0
Tiger,female,56,training_train,practice,p1,1,1,25,2,white,circle,,,0,1,,no,,,1,,0,,I arbejde,1555595085655,,,0,0,,0
Tiger,female,56,training_train,practice,p1,1,1,26,1,white,circle,,,0,1,,no,,,1,,0,,I arbejde,1555595088236,,,0,0,,0
Tiger,female,56,training_train,practice,p1,1,1,27,1,white,circle,,,1,1,,no,,,0,,0,,I arbejde,1555595090831,,,0,0,,0
Tiger,female,56,training_train,practice,p1,1,1,28,7,white,circle,,,0,1,,no,,,1,,0,,I arbejde,1555595093411,,,0,0,,0
Tiger,female,56,training_train,practice,p1,1,1,29,1,white,circle,,,0,1,,no,,,1,,0,,I arbejde,1555595095983,,,0,0,,0
Tiger,female,56,training_train,practice,p1,1,1,30,1,white,circle,,,1,1,,no,,,1,,0,,I arbejde,1555595098554,,,0,1,,0
Tiger,female,56,training_train,practice,p1,1,1,31,0,white,circle,,,0,1,,no,,,1,,0,,I arbejde,1555595101129,,,0,0,,0
Tiger,female,56,training_train,practice,f2,1,2,1,4,white,square,,,,0,,no,,,,,0,0,I arbejde,1555595125796,1,,0,,0,1
Tiger,female,56,training_train,practice,f2,1,2,2,4,white,triangle,,,,0,,no,,,,,0,0,I arbejde,1555595128377,1,,0,,0,1
Tiger,female,56,training_train,practice,f2,1,2,3,4,white,star,,,,0,,no,,,,,0,0,I arbejde,1555595130948,1,,0,,0,1
Tiger,female,56,training_train,practice,f2,1,2,4,4,white,triangle,,,,0,,no,,,,,0,1,I arbejde,1555595133546,1,,0,,1,1
Tiger,female,56,training_train,practice,f2,1,2,5,4,white,star,,,,0,,no,,,,,0,1,I arbejde,1555595136144,1,,0,,1,1
Tiger,female,56,training_train,practice,f2,1,2,6,4,white,square,,,,0,,no,,,,,0,0,I arbejde,1555595138716,1,,0,,0,1
Tiger,female,56,training_train,practice,f2,1,2,7,4,white,square,,,,0,,no,,,,,0,1,I arbejde,1555595141308,0,,0,,0,1
Tiger,female,56,training_train,practice,f2,1,2,8,4,white,circle,,,,0,,no,,,,,0,0,I arbejde,1555595143882,1,,0,,0,1
Tiger,female,56,training_train,practice,f2,1,2,9,4,white,triangle,,,,0,,no,,,,,0,0,I arbejde,1555595146466,1,,0,,0,1
Tiger,female,56,training_train,practice,f2,1,2,10,4,white,square,,,,0,,no,,,,,0,0,I arbejde,1555595149049,1,,0,,0,1
Tiger,female,56,training_train,practice,f2,1,2,11,4,white,square,,,,0,,no,,,,,0,1,I arbejde,1555595151644,0,,0,,0,1
Tiger,female,56,training_train,practice,f2,1,2,12,4,white,square,,,,0,,no,,,,,0,1,I arbejde,1555595154227,1,,0,,1,1
