id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,figure_tested,sound_tested,position_target,position_response,figure_score,color_target,position_score,occupation,figure_response,color_tested,figure_target,timestamp,sound_score,sound_target,sound_response,color_response,position_tested,simulate,color_score
Torsk,female,28,training_transfer,practice,p1,1,1,1,5,white,circle,,0,0,0,0,,,1,I arbejde,,0,,1555404085567,,,,,1,no,
Torsk,female,28,training_transfer,practice,p1,1,1,2,1,white,circle,,0,0,0,0,,,1,I arbejde,,0,,1555404088151,,,,,1,no,
Torsk,female,28,training_transfer,practice,p1,1,1,3,4,white,circle,,0,0,0,0,,,1,I arbejde,,0,,1555404090717,,,,,1,no,
Torsk,female,28,training_transfer,practice,p1,1,1,4,3,white,circle,,0,0,0,0,,,1,I arbejde,,0,,1555404093300,,,,,1,no,
Torsk,female,28,training_transfer,practice,p1,1,1,5,8,white,circle,,0,0,0,0,,,1,I arbejde,,0,,1555404095882,,,,,1,no,
Torsk,female,28,training_transfer,practice,p1,1,1,6,3,white,circle,,0,0,0,0,,,1,I arbejde,,0,,1555404098449,,,,,1,no,
Torsk,female,28,training_transfer,practice,p1,1,1,7,2,white,circle,,0,0,0,0,,,1,I arbejde,,0,,1555404101016,,,,,1,no,
Torsk,female,28,training_transfer,practice,p1,1,1,8,0,white,circle,,0,0,0,0,,,1,I arbejde,,0,,1555404103584,,,,,1,no,
Torsk,female,28,training_transfer,practice,p1,1,1,9,0,white,circle,,0,0,1,0,,,0,I arbejde,,0,,1555404106167,,,,,1,no,
Torsk,female,28,training_transfer,practice,p1,1,1,10,0,white,circle,,0,0,1,1,,,1,I arbejde,,0,,1555404108768,,,,,1,no,
Torsk,female,28,training_transfer,practice,p1,1,1,11,1,white,circle,,0,0,0,0,,,1,I arbejde,,0,,1555404111351,,,,,1,no,
Torsk,female,28,training_transfer,practice,p1,1,1,12,4,white,circle,,0,0,0,0,,,1,I arbejde,,0,,1555404113934,,,,,1,no,
Torsk,female,28,training_transfer,practice,p1,1,1,13,4,white,circle,,0,0,1,1,,,1,I arbejde,,0,,1555404116518,,,,,1,no,
Torsk,female,28,training_transfer,practice,p1,1,1,14,4,white,circle,,0,0,1,0,,,0,I arbejde,,0,,1555404119104,,,,,1,no,
Torsk,female,28,training_transfer,practice,p1,1,1,15,0,white,circle,,0,0,0,0,,,1,I arbejde,,0,,1555404121687,,,,,1,no,
Torsk,female,28,training_transfer,practice,p1,1,1,16,4,white,circle,,0,0,0,0,,,1,I arbejde,,0,,1555404124271,,,,,1,no,
Torsk,female,28,training_transfer,practice,p1,1,1,17,7,white,circle,,0,0,0,0,,,1,I arbejde,,0,,1555404126854,,,,,1,no,
Torsk,female,28,training_transfer,practice,p1,1,1,18,5,white,circle,,0,0,0,0,,,1,I arbejde,,0,,1555404129437,,,,,1,no,
Torsk,female,28,training_transfer,practice,p1,1,1,19,5,white,circle,,0,0,1,1,,,1,I arbejde,,0,,1555404132035,,,,,1,no,
Torsk,female,28,training_transfer,practice,p1,1,1,20,6,white,circle,,0,0,0,0,,,1,I arbejde,,0,,1555404134604,,,,,1,no,
Torsk,female,28,training_transfer,practice,p1,1,1,21,0,white,circle,,0,0,0,0,,,1,I arbejde,,0,,1555404137186,,,,,1,no,
Torsk,female,28,training_transfer,practice,p1,1,1,22,0,white,circle,,0,0,1,1,,,1,I arbejde,,0,,1555404139770,,,,,1,no,
Torsk,female,28,training_transfer,practice,p1,1,1,23,2,white,circle,,0,0,0,0,,,1,I arbejde,,0,,1555404142357,,,,,1,no,
Torsk,female,28,training_transfer,practice,p1,1,1,24,4,white,circle,,0,0,0,0,,,1,I arbejde,,0,,1555404144940,,,,,1,no,
Torsk,female,28,training_transfer,practice,p1,1,1,25,7,white,circle,,0,0,0,0,,,1,I arbejde,,0,,1555404147506,,,,,1,no,
Torsk,female,28,training_transfer,practice,p1,1,1,26,8,white,circle,,0,0,0,0,,,1,I arbejde,,0,,1555404150089,,,,,1,no,
Torsk,female,28,training_transfer,practice,p1,1,1,27,0,white,circle,,0,0,0,0,,,1,I arbejde,,0,,1555404152655,,,,,1,no,
Torsk,female,28,training_transfer,practice,p1,1,1,28,2,white,circle,,0,0,0,0,,,1,I arbejde,,0,,1555404155241,,,,,1,no,
Torsk,female,28,training_transfer,practice,p1,1,1,29,2,white,circle,,0,0,1,1,,,1,I arbejde,,0,,1555404157821,,,,,1,no,
Torsk,female,28,training_transfer,practice,p1,1,1,30,0,white,circle,,0,0,0,0,,,1,I arbejde,,0,,1555404160408,,,,,1,no,
Torsk,female,28,training_transfer,practice,p1,1,1,31,0,white,circle,,0,0,1,1,,,1,I arbejde,,0,,1555404163003,,,,,1,no,
Torsk,female,28,training_transfer,practice,f2,1,2,1,4,white,star,,1,0,,,1,,,I arbejde,0,0,0,1555404198943,,,,,0,no,
Torsk,female,28,training_transfer,practice,f2,1,2,2,4,white,circle,,1,0,,,1,,,I arbejde,0,0,0,1555404201526,,,,,0,no,
Torsk,female,28,training_transfer,practice,f2,1,2,3,4,white,triangle,,1,0,,,1,,,I arbejde,0,0,0,1555404204095,,,,,0,no,
Torsk,female,28,training_transfer,practice,f2,1,2,4,4,white,star,,1,0,,,1,,,I arbejde,0,0,0,1555404206679,,,,,0,no,
Torsk,female,28,training_transfer,practice,f2,1,2,5,4,white,circle,,1,0,,,0,,,I arbejde,1,0,0,1555404209258,,,,,0,no,
Torsk,female,28,training_transfer,practice,f2,1,2,6,4,white,circle,,1,0,,,1,,,I arbejde,0,0,0,1555404211827,,,,,0,no,
Torsk,female,28,training_transfer,practice,f2,1,2,7,4,white,circle,,1,0,,,1,,,I arbejde,1,0,1,1555404214429,,,,,0,no,
Torsk,female,28,training_transfer,practice,f2,1,2,8,4,white,star,,1,0,,,1,,,I arbejde,0,0,0,1555404216994,,,,,0,no,
Torsk,female,28,training_transfer,practice,f2,1,2,9,4,white,star,,1,0,,,0,,,I arbejde,1,0,0,1555404219586,,,,,0,no,
Torsk,female,28,training_transfer,practice,f2,1,2,10,4,white,circle,,1,0,,,1,,,I arbejde,0,0,0,1555404222164,,,,,0,no,
Torsk,female,28,training_transfer,practice,f2,1,2,11,4,white,square,,1,0,,,1,,,I arbejde,0,0,0,1555404224747,,,,,0,no,
Torsk,female,28,training_transfer,practice,f2,1,2,12,4,white,circle,,1,0,,,1,,,I arbejde,1,0,1,1555404227344,,,,,0,no,
Torsk,female,28,training_transfer,practice,f2,1,2,13,4,white,circle,,1,0,,,1,,,I arbejde,0,0,0,1555404229914,,,,,0,no,
Torsk,female,28,training_transfer,practice,f2,1,2,14,4,white,square,,1,0,,,1,,,I arbejde,0,0,0,1555404232497,,,,,0,no,
Torsk,female,28,training_transfer,practice,f2,1,2,15,4,white,square,,1,0,,,0,,,I arbejde,1,0,0,1555404235075,,,,,0,no,
Torsk,female,28,training_transfer,practice,f2,1,2,16,4,white,square,,1,0,,,0,,,I arbejde,0,0,1,1555404237649,,,,,0,no,
Torsk,female,28,training_transfer,practice,f2,1,2,17,4,white,square,,1,0,,,0,,,I arbejde,0,0,1,1555404240230,,,,,0,no,
Torsk,female,28,training_transfer,practice,f2,1,2,18,4,white,circle,,1,0,,,1,,,I arbejde,0,0,0,1555404242816,,,,,0,no,
Torsk,female,28,training_transfer,practice,f2,1,2,19,4,white,triangle,,1,0,,,1,,,I arbejde,0,0,0,1555404245399,,,,,0,no,
Torsk,female,28,training_transfer,practice,f2,1,2,20,4,white,circle,,1,0,,,1,,,I arbejde,1,0,1,1555404247997,,,,,0,no,
Torsk,female,28,training_transfer,practice,f2,1,2,21,4,white,star,,1,0,,,1,,,I arbejde,0,0,0,1555404250583,,,,,0,no,
Torsk,female,28,training_transfer,practice,f2,1,2,22,4,white,square,,1,0,,,1,,,I arbejde,0,0,0,1555404253166,,,,,0,no,
Torsk,female,28,training_transfer,practice,f2,1,2,23,4,white,circle,,1,0,,,1,,,I arbejde,0,0,0,1555404255750,,,,,0,no,
Torsk,female,28,training_transfer,practice,f2,1,2,24,4,white,circle,,1,0,,,1,,,I arbejde,0,0,0,1555404258332,,,,,0,no,
Torsk,female,28,training_transfer,practice,f2,1,2,25,4,white,triangle,,1,0,,,1,,,I arbejde,0,0,0,1555404260902,,,,,0,no,
Torsk,female,28,training_transfer,practice,f2,1,2,26,4,white,circle,,1,0,,,1,,,I arbejde,1,0,1,1555404263500,,,,,0,no,
Torsk,female,28,training_transfer,practice,f2,1,2,27,4,white,triangle,,1,0,,,0,,,I arbejde,0,0,1,1555404266086,,,,,0,no,
Torsk,female,28,training_transfer,practice,f2,1,2,28,4,white,square,,1,0,,,0,,,I arbejde,1,0,0,1555404268684,,,,,0,no,
Torsk,female,28,training_transfer,practice,f2,1,2,29,4,white,star,,1,0,,,1,,,I arbejde,0,0,0,1555404271267,,,,,0,no,
Torsk,female,28,training_transfer,practice,f2,1,2,30,4,white,triangle,,1,0,,,1,,,I arbejde,0,0,0,1555404273853,,,,,0,no,
Torsk,female,28,training_transfer,practice,f2,1,2,31,4,white,circle,,1,0,,,1,,,I arbejde,0,0,0,1555404276437,,,,,0,no,
Torsk,female,28,training_transfer,practice,f2,1,2,32,4,white,triangle,,1,0,,,0,,,I arbejde,0,0,1,1555404279020,,,,,0,no,
Torsk,female,28,training_transfer,practice,sc2,2,2,1,4,green,circle,sounds/C.wav,0,1,,,,0,,I arbejde,,1,,1555404293804,1,0,0,0,0,no,1
Torsk,female,28,training_transfer,practice,sc2,2,2,2,4,red,circle,sounds/E.wav,0,1,,,,0,,I arbejde,,1,,1555404296384,1,0,0,0,0,no,1
Torsk,female,28,training_transfer,practice,sc2,2,2,3,4,green,circle,sounds/D.wav,0,1,,,,1,,I arbejde,,1,,1555404298971,1,0,0,1,0,no,1
Torsk,female,28,training_transfer,practice,sc2,2,2,4,4,blue,circle,sounds/B.wav,0,1,,,,0,,I arbejde,,1,,1555404301554,1,0,0,0,0,no,1
