id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,figure_score,position_tested,position_target,timestamp,sound_tested,position_score,figure_response,color_score,simulate,sound_response,occupation,sound_target,color_target,color_response,position_response,sound_score,color_tested,figure_target,figure_tested
ugle,male,26,training_train,practice,p1,1,1,1,1,white,circle,,,1,0,1555697514025,0,1,,,no,,I arbejde,,,,0,,0,,0
ugle,male,26,training_train,practice,p1,1,1,2,4,white,circle,,,1,0,1555697516595,0,1,,,no,,I arbejde,,,,0,,0,,0
ugle,male,26,training_train,practice,p1,1,1,3,6,white,circle,,,1,0,1555697519161,0,1,,,no,,I arbejde,,,,0,,0,,0
ugle,male,26,training_train,practice,p1,1,1,4,6,white,circle,,,1,1,1555697521729,0,0,,,no,,I arbejde,,,,0,,0,,0
ugle,male,26,training_train,practice,p1,1,1,5,2,white,circle,,,1,0,1555697524295,0,1,,,no,,I arbejde,,,,0,,0,,0
ugle,male,26,training_train,practice,p1,1,1,6,5,white,circle,,,1,0,1555697526863,0,1,,,no,,I arbejde,,,,0,,0,,0
ugle,male,26,training_train,practice,p1,1,1,7,7,white,circle,,,1,0,1555697529433,0,1,,,no,,I arbejde,,,,0,,0,,0
ugle,male,26,training_train,practice,p1,1,1,8,7,white,circle,,,1,1,1555697532025,0,1,,,no,,I arbejde,,,,1,,0,,0
ugle,male,26,training_train,practice,p1,1,1,9,7,white,circle,,,1,1,1555697534617,0,1,,,no,,I arbejde,,,,1,,0,,0
ugle,male,26,training_train,practice,p1,1,1,10,6,white,circle,,,1,0,1555697537193,0,1,,,no,,I arbejde,,,,0,,0,,0
ugle,male,26,training_train,practice,p1,1,1,11,1,white,circle,,,1,0,1555697539786,0,1,,,no,,I arbejde,,,,0,,0,,0
ugle,male,26,training_train,practice,p1,1,1,12,4,white,circle,,,1,0,1555697542403,0,0,,,no,,I arbejde,,,,1,,0,,0
ugle,male,26,training_train,practice,p1,1,1,13,4,white,circle,,,1,1,1555697544964,0,1,,,no,,I arbejde,,,,1,,0,,0
ugle,male,26,training_train,practice,p1,1,1,14,4,white,circle,,,1,1,1555697547559,0,1,,,no,,I arbejde,,,,1,,0,,0
ugle,male,26,training_train,practice,p1,1,1,15,5,white,circle,,,1,0,1555697550140,0,0,,,no,,I arbejde,,,,1,,0,,0
ugle,male,26,training_train,practice,p1,1,1,16,8,white,circle,,,1,0,1555697552711,0,1,,,no,,I arbejde,,,,0,,0,,0
ugle,male,26,training_train,practice,p1,1,1,17,1,white,circle,,,1,0,1555697555242,0,1,,,no,,I arbejde,,,,0,,0,,0
ugle,male,26,training_train,practice,p1,1,1,18,8,white,circle,,,1,0,1555697557823,0,0,,,no,,I arbejde,,,,1,,0,,0
ugle,male,26,training_train,practice,p1,1,1,19,8,white,circle,,,1,1,1555697560398,0,0,,,no,,I arbejde,,,,0,,0,,0
ugle,male,26,training_train,practice,p1,1,1,20,4,white,circle,,,1,0,1555697562989,0,1,,,no,,I arbejde,,,,0,,0,,0
ugle,male,26,training_train,practice,p1,1,1,21,4,white,circle,,,1,1,1555697565579,0,0,,,no,,I arbejde,,,,0,,0,,0
ugle,male,26,training_train,practice,p1,1,1,22,7,white,circle,,,1,0,1555697568174,0,0,,,no,,I arbejde,,,,1,,0,,0
ugle,male,26,training_train,practice,p1,1,1,23,3,white,circle,,,1,0,1555697570768,0,1,,,no,,I arbejde,,,,0,,0,,0
ugle,male,26,training_train,practice,p1,1,1,24,6,white,circle,,,1,0,1555697573349,0,0,,,no,,I arbejde,,,,1,,0,,0
ugle,male,26,training_train,practice,p1,1,1,25,0,white,circle,,,1,0,1555697575970,0,1,,,no,,I arbejde,,,,0,,0,,0
ugle,male,26,training_train,practice,p1,1,1,26,3,white,circle,,,1,0,1555697578556,0,0,,,no,,I arbejde,,,,1,,0,,0
ugle,male,26,training_train,practice,p1,1,1,27,0,white,circle,,,1,0,1555697581148,0,1,,,no,,I arbejde,,,,0,,0,,0
ugle,male,26,training_train,practice,p1,1,1,28,0,white,circle,,,1,1,1555697583728,0,0,,,no,,I arbejde,,,,0,,0,,0
ugle,male,26,training_train,practice,p1,1,1,29,6,white,circle,,,1,0,1555697586297,0,1,,,no,,I arbejde,,,,0,,0,,0
ugle,male,26,training_train,practice,p1,1,1,30,2,white,circle,,,1,0,1555697588862,0,1,,,no,,I arbejde,,,,0,,0,,0
ugle,male,26,training_train,practice,p1,1,1,31,5,white,circle,,,1,0,1555697591440,0,1,,,no,,I arbejde,,,,0,,0,,0
ugle,male,26,training_train,practice,f2,1,2,1,4,white,circle,,1,0,,1555697669095,0,,0,,no,,I arbejde,,,,,,0,0,1
ugle,male,26,training_train,practice,f2,1,2,2,4,white,circle,,1,0,,1555697671660,0,,0,,no,,I arbejde,,,,,,0,0,1
ugle,male,26,training_train,practice,f2,1,2,3,4,white,square,,0,0,,1555697674243,0,,1,,no,,I arbejde,,,,,,0,0,1
ugle,male,26,training_train,practice,f2,1,2,4,4,white,triangle,,1,0,,1555697676797,0,,0,,no,,I arbejde,,,,,,0,0,1
ugle,male,26,training_train,practice,f2,1,2,5,4,white,square,,0,0,,1555697679364,0,,0,,no,,I arbejde,,,,,,0,1,1
ugle,male,26,training_train,practice,f2,1,2,6,4,white,circle,,1,0,,1555697681931,0,,0,,no,,I arbejde,,,,,,0,0,1
ugle,male,26,training_train,practice,f2,1,2,7,4,white,circle,,1,0,,1555697684501,0,,0,,no,,I arbejde,,,,,,0,0,1
ugle,male,26,training_train,practice,f2,1,2,8,4,white,triangle,,0,0,,1555697687085,0,,1,,no,,I arbejde,,,,,,0,0,1
ugle,male,26,training_train,practice,f2,1,2,9,4,white,triangle,,1,0,,1555697689660,0,,0,,no,,I arbejde,,,,,,0,0,1
ugle,male,26,training_train,practice,f2,1,2,10,4,white,square,,0,0,,1555697692249,0,,1,,no,,I arbejde,,,,,,0,0,1
ugle,male,26,training_train,practice,f2,1,2,11,4,white,triangle,,0,0,,1555697694809,0,,0,,no,,I arbejde,,,,,,0,1,1
ugle,male,26,training_train,practice,f2,1,2,12,4,white,circle,,1,0,,1555697697378,0,,0,,no,,I arbejde,,,,,,0,0,1
ugle,male,26,training_train,practice,f2,1,2,13,4,white,triangle,,0,0,,1555697699945,0,,0,,no,,I arbejde,,,,,,0,1,1
ugle,male,26,training_train,practice,f2,1,2,14,4,white,triangle,,1,0,,1555697702519,0,,0,,no,,I arbejde,,,,,,0,0,1
ugle,male,26,training_train,practice,f2,1,2,15,4,white,circle,,1,0,,1555697705090,0,,0,,no,,I arbejde,,,,,,0,0,1
