id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,figure_tested,figure_score,color_tested,sound_response,simulate,figure_response,position_target,sound_score,color_target,position_tested,occupation,color_response,timestamp,sound_tested,position_score,position_response,color_score,sound_target,figure_target
kalkun,male,21,training_transfer,practice,p1,1,1,1,2,white,circle,,0,,0,,no,,0,,,1,Studerende,,1554901385583,0,1,0,,,
kalkun,male,21,training_transfer,practice,p1,1,1,2,1,white,circle,,0,,0,,no,,0,,,1,Studerende,,1554901388176,0,1,0,,,
kalkun,male,21,training_transfer,practice,p1,1,1,3,8,white,circle,,0,,0,,no,,0,,,1,Studerende,,1554901390751,0,1,0,,,
kalkun,male,21,training_transfer,practice,p1,1,1,4,0,white,circle,,0,,0,,no,,0,,,1,Studerende,,1554901393341,0,1,0,,,
kalkun,male,21,training_transfer,practice,p1,1,1,5,1,white,circle,,0,,0,,no,,0,,,1,Studerende,,1554901395908,0,1,0,,,
kalkun,male,21,training_transfer,practice,p1,1,1,6,0,white,circle,,0,,0,,no,,0,,,1,Studerende,,1554901398468,0,1,0,,,
kalkun,male,21,training_transfer,practice,p1,1,1,7,1,white,circle,,0,,0,,no,,0,,,1,Studerende,,1554901401041,0,1,0,,,
kalkun,male,21,training_transfer,practice,p1,1,1,8,2,white,circle,,0,,0,,no,,0,,,1,Studerende,,1554901403621,0,1,0,,,
kalkun,male,21,training_transfer,practice,p1,1,1,9,2,white,circle,,0,,0,,no,,1,,,1,Studerende,,1554901406191,0,0,0,,,
kalkun,male,21,training_transfer,practice,p1,1,1,10,4,white,circle,,0,,0,,no,,0,,,1,Studerende,,1554901408778,0,1,0,,,
kalkun,male,21,training_transfer,practice,p1,1,1,11,2,white,circle,,0,,0,,no,,0,,,1,Studerende,,1554901411341,0,1,0,,,
kalkun,male,21,training_transfer,practice,p1,1,1,12,2,white,circle,,0,,0,,no,,1,,,1,Studerende,,1554901413924,0,1,1,,,
kalkun,male,21,training_transfer,practice,p1,1,1,13,7,white,circle,,0,,0,,no,,0,,,1,Studerende,,1554901416493,0,1,0,,,
kalkun,male,21,training_transfer,practice,p1,1,1,14,3,white,circle,,0,,0,,no,,0,,,1,Studerende,,1554901419084,0,1,0,,,
kalkun,male,21,training_transfer,practice,p1,1,1,15,1,white,circle,,0,,0,,no,,0,,,1,Studerende,,1554901421646,0,1,0,,,
kalkun,male,21,training_transfer,practice,p1,1,1,16,7,white,circle,,0,,0,,no,,0,,,1,Studerende,,1554901424213,0,1,0,,,
kalkun,male,21,training_transfer,practice,p1,1,1,17,7,white,circle,,0,,0,,no,,1,,,1,Studerende,,1554901426784,0,0,0,,,
kalkun,male,21,training_transfer,practice,p1,1,1,18,2,white,circle,,0,,0,,no,,0,,,1,Studerende,,1554901429351,0,1,0,,,
kalkun,male,21,training_transfer,practice,p1,1,1,19,2,white,circle,,0,,0,,no,,1,,,1,Studerende,,1554901431934,0,1,1,,,
kalkun,male,21,training_transfer,practice,p1,1,1,20,2,white,circle,,0,,0,,no,,1,,,1,Studerende,,1554901434506,0,0,0,,,
kalkun,male,21,training_transfer,practice,p1,1,1,21,6,white,circle,,0,,0,,no,,0,,,1,Studerende,,1554901437072,0,1,0,,,
kalkun,male,21,training_transfer,practice,p1,1,1,22,8,white,circle,,0,,0,,no,,0,,,1,Studerende,,1554901439643,0,1,0,,,
kalkun,male,21,training_transfer,practice,p1,1,1,23,0,white,circle,,0,,0,,no,,0,,,1,Studerende,,1554901442211,0,1,0,,,
kalkun,male,21,training_transfer,practice,p1,1,1,24,0,white,circle,,0,,0,,no,,1,,,1,Studerende,,1554901444778,0,0,0,,,
kalkun,male,21,training_transfer,practice,p1,1,1,25,7,white,circle,,0,,0,,no,,0,,,1,Studerende,,1554901447345,0,1,0,,,
kalkun,male,21,training_transfer,practice,p1,1,1,26,4,white,circle,,0,,0,,no,,0,,,1,Studerende,,1554901449911,0,1,0,,,
kalkun,male,21,training_transfer,practice,p1,1,1,27,4,white,circle,,0,,0,,no,,1,,,1,Studerende,,1554901452478,0,0,0,,,
kalkun,male,21,training_transfer,practice,p1,1,1,28,1,white,circle,,0,,0,,no,,0,,,1,Studerende,,1554901455045,0,1,0,,,
kalkun,male,21,training_transfer,practice,p1,1,1,29,8,white,circle,,0,,0,,no,,0,,,1,Studerende,,1554901457614,0,1,0,,,
kalkun,male,21,training_transfer,practice,p1,1,1,30,8,white,circle,,0,,0,,no,,1,,,1,Studerende,,1554901460186,0,0,0,,,
kalkun,male,21,training_transfer,practice,p1,1,1,31,2,white,circle,,0,,0,,no,,0,,,1,Studerende,,1554901462755,0,1,0,,,
kalkun,male,21,training_transfer,practice,f2,1,2,1,4,white,square,,1,1,0,,no,0,,,,0,Studerende,,1554901510841,0,,,,,0
kalkun,male,21,training_transfer,practice,f2,1,2,2,4,white,triangle,,1,1,0,,no,0,,,,0,Studerende,,1554901513413,0,,,,,0
kalkun,male,21,training_transfer,practice,f2,1,2,3,4,white,star,,1,1,0,,no,0,,,,0,Studerende,,1554901515976,0,,,,,0
kalkun,male,21,training_transfer,practice,f2,1,2,4,4,white,triangle,,1,0,0,,no,0,,,,0,Studerende,,1554901518554,0,,,,,1
kalkun,male,21,training_transfer,practice,f2,1,2,5,4,white,square,,1,1,0,,no,0,,,,0,Studerende,,1554901521123,0,,,,,0
kalkun,male,21,training_transfer,practice,f2,1,2,6,4,white,star,,1,0,0,,no,1,,,,0,Studerende,,1554901523710,0,,,,,0
kalkun,male,21,training_transfer,practice,f2,1,2,7,4,white,circle,,1,1,0,,no,0,,,,0,Studerende,,1554901526280,0,,,,,0
kalkun,male,21,training_transfer,practice,f2,1,2,8,4,white,circle,,1,0,0,,no,1,,,,0,Studerende,,1554901528868,0,,,,,0
kalkun,male,21,training_transfer,practice,f2,1,2,9,4,white,circle,,1,1,0,,no,1,,,,0,Studerende,,1554901531461,0,,,,,1
kalkun,male,21,training_transfer,practice,f2,1,2,10,4,white,triangle,,1,1,0,,no,0,,,,0,Studerende,,1554901534029,0,,,,,0
kalkun,male,21,training_transfer,practice,f2,1,2,11,4,white,star,,1,1,0,,no,0,,,,0,Studerende,,1554901536597,0,,,,,0
